Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,2358,2358,2358,2358,2368.0,-10.0,-0.004222972972972973,,-0.15875847306457366,0,1.0,0.0,2286.2,2295.6,2325.733333333333,2314.0853986614457,40.39996712759637,52.734030856511616,43.88057236379053,70.44094784195379,1.0271417866129133,50.66945950185023,61.43999999999996
2020-04-17,2368,2368,2368,2368,2235.0,133.0,0.059507829977628636,1.0042408821034776,-0.15519086692829112,0,1.0,0.0,2265.2,2288.866666666667,2332.5,2292.1280979921685,32.78839223575366,41.78397311403571,39.45384311742998,46.44423310724716,1.0627194213654734,51.52030908120201,41.11999999999989
2020-04-16,2235,2235,2235,2235,2205.0,30.0,0.013605442176870748,0.9478371501272265,-0.2026400285408491,0,1.0,0.0,2252.6,2281.3333333333335,2340.133333333333,2254.1921469882527,17.827673920285008,22.919862110077958,38.28877811912712,-7.817969908020373,0.6349461626773801,38.83590647643072,26.08000000000002
2020-04-15,2205,2205,2205,2205,2265.0,-60.0,-0.026490066225165563,0.935114503816794,-0.21334284694969674,0,1.0,0.0,2281.4,2282.2,2353.1666666666665,2263.788220482379,21.632221918908158,27.062719994385233,45.9732361236517,-10.758312264147705,0.5453481117169309,35.28966111791031,48.48000000000002
2020-04-14,2265,2265,2265,2265,2253.0,12.0,0.005326231691078562,0.9605597964376591,-0.19193721013200143,0,1.0,0.0,2322.4,2286.866666666667,2368.1,2293.1823307235686,34.1479832457498,40.59407999157785,55.42849418828494,10.925251598163683,0.6542055466952655,39.548020377650325,57.68000000000002
2020-04-13,2253,2253,2253,2253,2305.0,-52.0,-0.022559652928416486,0.9554707379134861,-0.1962183374955405,0,1.0,0.0,2342.6,2286.3333333333335,2381.3,2307.2734960853527,41.2667066058888,50.508606326164596,62.84570128663848,25.834416405216828,0.6171349483978897,38.16224174793148,50.88000000000002
2020-04-09,2305,2305,2305,2305,2379.0,-74.0,-0.031105506515342583,0.9775233248515692,-0.1776667855868712,0,1.0,0.0,2344.8,2284.8,2395.266666666667,2334.410244128029,53.965309740834755,68.65908435263488,69.01424876687543,67.9487555241538,0.7253286096672771,42.04002678696401,48.23999999999997
2020-04-08,2379,2379,2379,2379,2410.0,-31.0,-0.012863070539419087,1.008905852417303,-0.1512665001783803,0,1.0,0.0,2340.8,2278.866666666667,2409.9333333333334,2349.115366192043,61.62162591468726,81.67715111911626,69.19183097399569,106.64779140935738,0.9440297515277658,48.56045802724345,53.039999999999964
2020-04-07,2410,2410,2410,2410,2366.0,44.0,0.018596787827557058,1.0220525869380832,-0.14020692115590438,0,1.0,0.0,2310.4,2272.5333333333333,2421.9333333333334,2334.1730492880642,56.309093483309766,80.98567203386565,62.949170901435394,117.05867429872617,1.0694677861539752,51.67839737875501,62.08000000000002
2020-04-06,2366,2366,2366,2366,2264.0,102.0,0.045053003533568906,1.003392705682782,-0.15590438815554764,0,1.0,0.0,2278.2,2266.4,2435.133333333333,2296.2595739320964,39.73011576572304,71.47850805079848,53.930920335220264,106.5736834819549,0.8943420964847266,47.21122431604778,37.83999999999996
2020-04-03,2264,2264,2264,2264,2285.0,-21.0,-0.009190371991247264,0.9601357082273113,-0.19229397074562968,0,1.0,0.0,2258.0,2264.0666666666666,2449.633333333333,2261.3893608981443,22.04012972690981,57.21776207619771,45.157126477431156,81.3390332737308,0.5173669917746229,34.09636525502252,16.0
2020-04-02,2285,2285,2285,2285,2227.0,58.0,0.026044005388414906,0.9690415606446142,-0.18480199785943632,0,1.0,0.0,2256.6,2274.8,2468.9333333333334,2260.0840413472165,16.01248875617236,53.93009139015862,39.12680867804789,83.5366568143801,0.5575488517448852,35.796556308347974,14.880000000000019
2020-04-01,2227,2227,2227,2227,2249.0,-22.0,-0.009782125389061804,0.9444444444444446,-0.20549411344987514,0,1.0,0.0,2250.6,2288.8,2488.1,2247.626062020825,4.128592406059369,30.895137085237934,31.72516732199252,29.235076611728765,0.35836444602737866,26.38205432094736,10.080000000000018
