Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2015-04-21,0.6263,0.6263,0.6263,0.6263,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.6263,0.0,,,,,,
2015-04-22,0.6249,0.6249,0.6249,0.6249,0.6263,-0.0013999999999999568,-0.2235350471020209,0.0,100.0,0.0,0.0,0.0,0.0,0.62546,-0.00017111111111109227,0.0,0.0,0.0,,,
2015-04-23,0.6459,0.6526,0.6526,0.6526,0.6249,0.02100000000000002,3.360537686029768,0.0,100.0,0.0,0.0,0.0,0.0,0.6351421052631578,0.0038236128715411844,45.487364620938756,27.292418772563252,81.87725631768976,,,
2015-04-24,0.6526,0.6526,0.6526,0.6526,0.6459,0.006699999999999928,1.0373122774423174,0.0,100.0,0.0,0.0,0.0,0.0,0.6423938461538461,0.006427053757689376,71.30913927417828,48.14244427332826,117.64252927587832,,,
2015-04-27,0.6623,0.6662,0.6662,0.6662,0.6526,0.009700000000000042,1.4863622433343615,0.0,100.0,0.0,0.6424000000000001,0.0,0.0,0.6500355450236966,0.009625353712775423,79.30436326202098,61.08662600709293,115.73983777187709,,,0.013439999999999985
2015-04-28,0.6639,0.6639,0.6639,0.6639,0.6623,0.0016000000000000458,0.24158236448739934,0.0,100.0,0.0,0.64992,0.0,0.0,0.6551018045112783,0.010859138944773288,85.11126841556877,70.30935603119978,114.71509318430677,,,0.011615999999999982
2015-04-29,0.6709,0.6725,0.6725,0.6725,0.6639,0.007000000000000006,1.0543756589847877,0.0,100.0,0.0,0.65912,0.0,0.0,0.6606952404079651,0.012981364011076784,89.32353165215186,77.25739313780333,113.45580868084889,,,0.007896000000000037
2015-04-30,0.6788,0.6788,0.6788,0.6788,0.6709,0.007899999999999907,1.1775227306602931,0.0,100.0,0.0,0.6657,0.0,0.0,0.6669751942902459,0.015933733300577946,93.10359256792715,82.86782508756548,113.57512752865051,,,0.007319999999999993
2015-05-01,0.6661,0.6661,0.6661,0.6661,0.6788,-0.012699999999999934,-1.8709487330583288,0.0,100.0,0.0,0.6684,0.0,0.0,0.6666756715872934,0.01186605024844266,87.32278627733278,84.41310662951965,93.14214557295904,,,0.005159999999999987
2015-05-04,0.6667,0.6667,0.6667,0.6667,0.6661,0.0005999999999999339,0.09007656508030835,0.0,100.0,0.0,0.66928,0.0,0.0,0.6666839241706161,0.009183700822231812,83.97853945308673,84.26438224140342,83.40685387645331,,,0.004455999999999993
2015-05-05,0.6675,0.6629999999999999,0.6629999999999999,0.6629999999999999,0.6667,0.0008000000000000229,0.11999400029998844,0.0,100.0,0.0,0.6699999999999999,0.0,0.0,0.6669591311201092,0.007481904858797447,74.78297074136157,81.04813713058354,62.25263796291762,,,0.0038800000000000167
2015-05-06,0.6586,0.6586,0.6586,0.6586,0.6675,-0.008900000000000019,-1.3333333333333361,0.0,100.0,0.0,0.6675399999999999,0.0,0.0,0.6641511117010686,0.0025090136252323746,57.286626023606814,73.03499331276694,25.78989144528657,,,0.004504000000000019
2015-05-07,0.6553,0.6553,0.6553,0.6553,0.6586,-0.0032999999999999696,-0.5010628606134178,0.0,100.0,0.0,0.6628399999999999,0.0,0.0,0.6611855031520095,-0.0017787323205364827,38.04276490763174,61.28031983471277,-8.432344946530321,,,0.004712000000000005
2015-05-08,0.6616,0.6616,0.6616,0.6616,0.6553,0.006299999999999972,0.9613917289790894,0.0,100.0,0.0,0.6619399999999999,0.0,0.0,0.6613241436793847,-0.0014426669573993625,34.278672708974064,52.23328503736646,-1.6305519478107158,,,0.004127999999999998
2015-05-11,0.6539,0.652,0.652,0.652,0.6616,-0.007699999999999929,-1.1638452237001102,0.0,100.0,0.0,0.6593799999999999,0.6570199999999999,0.0,0.6588437647818313,-0.004518353488658534,25.18448051154977,43.18602558893249,-10.818609643215666,2.3422053231939226,70.07963594994317,0.004135999999999984
2015-05-12,0.6502,0.6494,0.6494,0.6494,0.6539,-0.0037000000000000366,-0.5658357547025595,0.0,100.0,0.0,0.6559199999999998,0.6586133333333333,0.0,0.655958116631731,-0.007661686572293762,17.679544443578283,34.664404737296884,-16.290176143858915,2.0340360680721377,67.04060276266222,0.0033439999999999694
