Date,Close/Last,Open,High,Low
2020-04-21,19.33,19.13,20.22,18.32
2020-04-20,25.57,25.47,26.54,25.38
2020-04-17,28.08,28.47,29.0,27.6
2020-04-16,27.82,28.06,29.01,27.2
2020-04-15,27.69,30.01,30.42,27.17
2020-04-14,29.6,32.09,32.38,29.4
2020-04-13,31.74,32.44,33.23,30.64
2020-04-09,31.48,33.66,36.43,31.24
2020-04-08,32.84,32.41,33.78,32.73
2020-04-07,31.87,33.31,34.18,31.73
2020-04-06,33.05,31.25,33.32,33.02
2020-04-03,34.11,29.96,35.0,28.28
2020-04-02,29.94,30.65,32.21,28.03
2020-04-01,24.74,25.93,26.27,24.54
2020-03-31,26.35,26.46,27.91,25.7
2020-03-30,22.76,24.0,23.06,21.69
2020-03-27,24.93,26.71,27.0,24.17
2020-03-26,26.34,27.59,27.67,26.04
2020-03-25,27.39,27.6,28.28,25.73
2020-03-24,27.15,27.64,28.64,26.69
2020-03-23,27.03,26.5,27.52,24.68
2020-03-20,26.98,28.0,30.93,26.79
2020-03-19,28.47,26.44,29.38,24.98
2020-03-18,24.88,28.66,29.19,24.51
2020-03-17,28.73,29.7,31.22,28.46
2020-03-16,30.05,29.57,31.27,29.47
2020-03-13,33.85,32.86,35.99,32.17
2020-03-12,33.22,36.13,36.53,32.48
2020-03-11,35.79,37.8,36.1,35.49
2020-03-10,37.22,33.46,38.21,33.44
2020-03-09,34.36,39.24,39.24,31.25
2020-03-06,45.27,50.12,49.68,45.16
2020-03-05,49.99,51.96,52.01,49.7
2020-03-04,51.13,51.73,53.03,51.04
2020-03-03,51.86,52.98,53.87,51.24
2020-03-02,51.9,49.04,52.78,48.38
2020-02-28,50.52,51.37,51.49,50.12
2020-02-27,52.18,52.79,53.12,51.05
2020-02-26,53.43,55.08,53.44,53.34
2020-02-25,54.95,55.14,55.18,54.61
2020-02-24,56.3,58.02,56.36,56.0
2020-02-21,58.5,59.16,59.27,57.74
2020-02-20,59.31,59.34,60.02,58.9
2020-02-19,59.12,57.7,59.41,57.54
2020-02-18,57.75,57.54,57.82,56.29
2020-02-14,57.32,56.4,57.53,56.16
2020-02-13,56.34,56.34,56.83,54.97
2020-02-12,55.79,54.18,56.3,54.18
2020-02-11,54.01,53.35,54.66,53.35
2020-02-10,53.27,54.24,54.7,53.11
2020-02-07,54.47,55.36,55.47,54.21
2020-02-06,54.93,55.57,56.56,54.24
2020-02-05,55.28,53.88,56.47,53.88
2020-02-04,53.96,54.15,55.64,53.69
2020-02-03,54.45,55.85,56.76,54.07
2020-01-31,58.16,59.07,59.53,57.98
2020-01-30,58.29,59.61,59.61,57.73
2020-01-29,59.81,59.67,60.61,59.25
2020-01-28,59.51,58.95,60.11,58.5
2020-01-27,59.32,60.28,60.49,58.5
2020-01-24,60.69,60.73,60.86,60.62
2020-01-23,62.04,62.63,62.78,61.25
2020-01-22,63.21,63.17,63.47,62.53
2020-01-21,64.59,65.3,66.0,64.06
2020-01-17,64.85,64.75,65.14,64.49
2020-01-16,64.62,64.31,64.96,63.92
2020-01-15,64.0,64.46,64.61,63.55
2020-01-14,64.49,64.22,65.04,63.91
2020-01-13,64.2,65.18,65.25,63.92
2020-01-10,64.98,65.41,65.66,64.86
2020-01-09,65.37,65.79,66.09,64.55
2020-01-08,65.44,68.47,66.31,65.68
