Date,Close/Last,Open,High,Low
2020-04-21,513.0,513.0,513.0,513.0
2020-04-20,502.25,487.0,514.0,486.5
2020-04-17,485.25,477.0,486.5,472.75
2020-04-16,476.75,485.75,494.0,475.75
2020-04-15,487.0,489.0,491.25,476.5
2020-04-14,491.0,500.0,502.5,486.5
2020-04-13,500.75,502.0,508.5,497.0
2020-04-09,499.0,485.0,500.0,484.5
2020-04-08,478.0,474.0,481.0,471.0
2020-04-07,499.0,501.0,504.0,496.25
2020-04-06,475.75,472.25,485.0,472.25
2020-04-03,472.0,464.0,477.75,463.75
2020-04-02,464.0,475.25,478.0,460.5
2020-04-01,475.0,493.0,496.75,470.75
2020-03-31,493.0,486.75,497.0,482.5
2020-03-30,487.25,487.25,494.5,479.75
2020-03-27,486.75,487.0,505.0,483.0
2020-03-26,487.25,501.0,503.5,485.0
2020-03-25,501.0,490.0,505.75,486.5
2020-03-24,490.75,489.0,491.5,480.5
2020-03-23,489.5,472.25,491.75,468.0
2020-03-20,469.0,466.0,477.25,464.75
2020-03-19,465.5,447.5,476.25,447.5
2020-03-18,446.5,433.75,448.5,429.0
2020-03-17,432.25,422.75,438.75,420.25
2020-03-16,423.75,429.25,432.0,420.0
2020-03-13,431.5,432.75,440.5,426.75
2020-03-12,432.75,436.0,436.25,424.0
2020-03-11,435.5,443.0,447.5,434.25
2020-03-10,444.75,442.75,448.0,437.75
2020-03-09,441.0,441.0,446.5,433.0
2020-03-06,444.0,446.5,447.75,440.5
2020-03-05,446.25,453.0,455.0,444.5
2020-03-04,453.25,458.25,458.75,450.25
2020-03-03,458.25,460.0,465.75,455.5
2020-03-02,457.75,447.5,459.75,445.5
2020-02-28,453.25,451.5,456.0,439.0
2020-02-27,451.75,457.0,458.75,451.0
2020-02-26,459.25,462.0,466.5,458.0
2020-02-25,462.0,461.0,464.25,455.25
2020-02-24,459.25,475.0,475.25,458.5
2020-02-21,475.5,480.25,486.75,475.0
2020-02-20,481.0,481.25,482.0,479.25
2020-02-19,486.75,491.75,492.0,478.75
2020-02-18,493.0,474.0,493.5,473.25
2020-02-14,472.25,474.0,478.25,471.75
2020-02-13,472.75,476.5,477.25,469.25
2020-02-12,471.0,467.0,472.75,464.5
2020-02-11,468.25,472.25,474.0,465.5
2020-02-10,471.75,472.5,476.5,469.0
2020-02-07,472.5,467.25,474.0,466.0
2020-02-06,467.75,473.75,477.0,467.0
2020-02-05,473.75,467.75,474.75,467.5
2020-02-04,467.25,464.25,475.25,464.0
2020-02-03,466.75,464.0,468.75,458.5
2020-01-31,465.5,471.0,469.25,463.5
2020-01-30,471.0,471.75,473.0,463.25
2020-01-29,472.0,482.75,485.5,471.25
2020-01-28,482.0,486.75,490.25,480.0
2020-01-27,486.5,483.0,487.75,476.5
2020-01-24,486.0,492.5,493.0,483.75
2020-01-23,492.25,492.5,496.25,490.0
2020-01-22,532.25,532.25,532.25,532.25
2020-01-21,500.0,495.25,500.75,487.75
2020-01-17,494.25,485.0,496.0,480.5
2020-01-16,484.75,496.75,496.75,482.25
2020-01-15,496.5,496.0,504.25,493.75
2020-01-14,497.0,491.25,500.75,490.0
2020-01-13,492.75,491.25,494.75,488.25
2020-01-10,494.75,490.25,498.25,484.75
2020-01-09,490.25,480.0,492.75,479.25
2020-01-08,480.0,473.0,482.75,469.75
2020-01-07,475.0,476.0,477.0,470.5
2020-01-06,477.25,477.5,479.0,476.75
2020-01-03,475.0,485.25,486.0,473.0
2020-01-02,485.25,485.25,496.75,483.5
2019-12-31,486.0,480.0,487.0,477.5
2019-12-30,480.5,482.0,485.0,474.0
2019-12-27,479.75,471.75,481.5,471.0
2019-12-26,470.5,461.5,471.75,460.0
2019-12-24,460.5,459.0,466.75,458.5
2019-12-23,458.5,461.5,466.75,458.0
2019-12-20,462.25,460.5,464.75,457.0
2019-12-19,460.5,462.0,467.75,459.25
2019-12-18,462.25,464.25,467.0,459.0
2019-12-17,467.0,465.5,466.0,465.25
2019-12-16,462.0,444.5,467.0,444.5
2019-12-13,443.0,446.5,451.5,437.5
2019-12-12,442.75,428.0,446.5,428.0
2019-12-11,430.75,430.75,433.75,427.5
2019-12-10,431.25,426.25,434.75,423.5
2019-12-09,426.0,430.5,431.75,425.0
2019-12-06,431.0,434.5,435.25,428.75
2019-12-05,435.5,439.75,444.25,435.25
2019-12-04,440.5,437.0,444.5,434.25
2019-12-03,436.75,442.0,445.5,436.25
2019-12-02,439.25,446.5,447.0,438.0
2019-11-29,447.0,439.25,451.25,438.75
2019-11-27,437.5,441.0,444.5,436.5
2019-11-26,441.5,445.0,445.25,436.25
2019-11-25,445.25,433.5,446.25,433.0
2019-11-22,433.25,429.0,435.25,427.5
2019-11-21,428.5,432.75,436.25,427.75
2019-11-20,433.0,432.75,433.75,431.75
2019-11-19,431.75,425.0,434.0,425.0
2019-11-18,426.25,425.5,431.75,423.0
2019-11-15,425.75,430.0,432.0,425.25
2019-11-14,430.75,434.75,437.5,427.5
2019-11-13,424.75,438.5,439.0,423.75
2019-11-12,438.75,424.5,439.25,423.5
2019-11-11,422.75,421.25,425.0,418.0
2019-11-08,421.5,424.25,430.0,417.75
2019-11-07,424.75,427.5,429.25,420.25
2019-11-06,427.75,429.25,430.25,426.25
2019-11-05,428.5,423.0,430.0,421.5
2019-11-04,423.0,424.75,427.5,421.0
2019-11-01,426.0,418.5,427.0,417.5
2019-10-31,419.75,413.0,420.75,410.0
2019-10-30,418.25,419.25,422.0,416.25
2019-10-29,419.0,417.75,421.75,415.5
2019-10-28,417.0,423.0,423.25,415.5
2019-10-25,422.75,420.0,425.25,417.0
2019-10-24,419.5,424.0,426.75,418.5
2019-10-23,423.25,421.25,425.0,418.5
2019-10-22,421.25,424.75,433.75,420.5
2019-10-21,425.5,432.75,437.25,424.75
2019-10-18,433.75,430.75,434.0,426.75
2019-10-17,431.25,425.5,433.25,423.75
2019-10-16,425.0,420.0,425.75,417.5
2019-10-15,421.25,423.75,426.0,418.75
2019-10-14,425.75,424.0,427.75,419.5
2019-10-11,419.5,403.0,423.25,402.5
2019-10-10,403.25,411.5,417.0,400.5
2019-10-09,413.25,409.5,417.75,407.5
2019-10-08,410.25,402.25,412.25,398.75
2019-10-07,402.25,405.0,408.0,401.75
2019-10-04,404.0,404.75,409.25,403.25
2019-10-03,404.25,404.0,408.25,400.5
2019-10-02,405.75,411.5,412.75,401.5
2019-10-01,411.5,414.0,416.75,406.5
2019-09-30,415.0,408.0,420.0,403.0
2019-09-27,407.5,409.5,412.5,407.0
2019-09-26,408.25,403.25,411.25,403.25
2019-09-25,404.0,404.5,408.0,402.0
2019-09-24,405.0,405.5,408.25,402.75
2019-09-23,406.5,409.5,414.0,405.0
2019-09-20,407.5,408.25,411.75,406.75
2019-09-19,409.5,409.0,414.0,405.5
2019-09-18,409.75,402.25,411.0,399.0
2019-09-17,402.25,407.0,407.75,400.75
2019-09-16,409.0,403.0,409.75,398.75
2019-09-13,399.75,404.75,410.0,397.25
2019-09-12,403.5,398.5,404.5,390.0
2019-09-11,398.5,403.5,403.5,397.25
2019-09-10,403.75,398.25,404.25,397.25
2019-09-09,398.0,390.5,399.0,386.25
2019-09-06,393.25,393.75,394.5,390.0
2019-09-05,393.75,385.5,395.0,384.5
2019-09-04,384.5,383.25,388.75,383.0
2019-09-03,382.25,398.25,400.0,381.0
2019-08-30,395.25,400.0,403.75,393.75
2019-08-29,401.5,403.75,406.25,400.0
2019-08-28,404.25,403.75,406.0,397.75
2019-08-27,404.75,401.75,406.25,400.25
2019-08-26,402.0,401.5,408.5,400.25
2019-08-23,404.75,404.0,406.5,399.25
2019-08-22,404.25,402.0,406.75,401.0
2019-08-21,400.5,401.5,403.0,398.5
2019-08-20,402.0,405.0,409.0,400.0
2019-08-19,406.75,409.25,409.5,404.0
2019-08-16,409.5,403.75,409.75,403.75
2019-08-15,404.25,401.25,406.75,400.25
2019-08-14,400.75,399.75,406.5,397.5
2019-08-13,400.5,409.75,413.25,399.75
2019-08-12,392.25,417.0,417.0,387.5
2019-08-09,417.0,417.0,421.0,414.75
2019-08-08,418.5,418.25,422.0,414.75
2019-08-07,417.75,418.0,420.25,410.5
2019-08-06,418.0,423.5,425.75,416.5
2019-08-05,426.75,421.25,427.5,413.5
2019-08-02,421.75,415.75,422.5,415.75
2019-08-01,415.75,422.75,425.5,410.75
2019-07-31,422.75,432.0,434.5,421.25
2019-07-30,433.5,434.5,436.0,430.0
2019-07-29,436.5,431.0,440.25,430.0
2019-07-26,432.0,437.0,438.25,431.0
2019-07-25,437.5,439.5,450.0,436.0
2019-07-24,439.5,430.5,441.5,430.25
2019-07-23,431.5,430.0,435.5,426.5
2019-07-22,429.25,440.0,443.25,428.0
2019-07-19,440.0,432.75,452.25,431.25
2019-07-18,432.75,440.0,441.25,432.0
2019-07-17,441.75,446.25,451.75,440.0
2019-07-16,446.25,449.25,451.75,442.25
2019-07-15,449.0,467.25,472.5,447.25
2019-07-12,467.25,461.0,469.0,458.0
2019-07-11,461.5,440.25,462.5,435.25
2019-07-10,441.5,438.25,442.75,434.25
2019-07-09,439.25,439.5,440.25,430.5
2019-07-08,440.75,447.5,450.0,439.25
2019-07-05,445.25,442.0,447.75,435.25
2019-07-03,443.75,432.25,444.25,431.0
2019-07-02,432.5,443.75,448.0,432.25
2019-07-01,444.0,465.0,466.0,439.0
2019-06-28,461.5,480.5,487.0,456.5
2019-06-27,481.5,481.5,492.0,476.5
2019-06-26,482.0,476.75,483.5,471.5
2019-06-25,478.25,480.0,485.25,475.5
2019-06-24,477.5,465.0,478.75,462.0
2019-06-21,464.5,470.5,473.25,462.5
2019-06-20,470.75,465.25,475.0,461.25
2019-06-19,468.0,476.75,476.75,463.5
2019-06-18,477.0,486.75,488.0,471.75
2019-06-17,487.5,488.75,499.25,485.5
2019-06-14,488.5,480.0,490.0,479.0
2019-06-13,468.25,461.75,472.0,460.5
2019-06-12,462.75,458.25,465.25,451.25
2019-06-11,457.5,449.0,459.5,441.5
2019-06-10,453.0,447.25,454.0,439.0
2019-06-07,449.0,456.0,457.25,445.75
2019-06-06,455.25,448.25,460.75,440.75
2019-06-05,445.75,469.25,469.5,445.0
2019-06-04,468.5,493.0,497.0,462.75
2019-06-03,486.75,476.5,495.0,473.5
2019-05-31,473.0,481.0,490.0,467.5
2019-05-30,479.0,451.75,479.5,445.25
2019-05-29,453.25,474.75,481.25,450.0
2019-05-28,460.75,448.0,463.5,447.25
2019-05-24,442.0,424.0,444.0,421.75
2019-05-23,425.25,431.5,439.25,421.25
2019-05-22,432.25,432.5,440.5,428.25
2019-05-21,436.0,442.0,453.0,431.25
2019-05-20,434.5,424.75,439.75,424.0
2019-05-17,420.25,419.75,425.5,415.5
2019-05-16,416.75,401.0,420.0,401.0
2019-05-15,402.0,410.0,423.25,401.0
2019-05-14,408.75,399.5,411.25,398.0
2019-05-13,397.0,387.25,399.75,382.0
2019-05-10,387.0,399.5,401.75,385.25
2019-05-09,397.75,402.75,403.0,395.25
2019-05-08,403.5,404.5,406.5,398.25
2019-05-07,404.0,402.5,406.75,397.25
2019-05-06,403.0,396.25,404.5,391.5
2019-05-03,401.5,405.25,409.0,399.25
2019-05-02,405.0,400.5,408.0,399.5
2019-05-01,400.0,394.5,402.25,394.0
2019-04-30,394.0,396.75,399.25,390.5
2019-04-29,397.0,408.25,412.5,396.0
2019-04-26,407.5,411.5,415.5,406.75
2019-04-25,411.5,411.0,413.75,407.5
2019-04-24,411.5,420.0,421.75,410.75
2019-04-23,421.0,417.75,421.5,414.5
2019-04-22,418.25,425.75,425.75,417.0
2019-04-18,425.75,426.25,430.0,420.75
2019-04-17,426.25,423.25,429.0,422.25
2019-04-16,422.5,433.0,434.25,420.0
2019-04-15,433.5,440.5,441.25,432.5
2019-04-12,441.25,439.0,441.75,435.25
2019-04-11,437.5,430.75,439.75,430.75
2019-04-10,426.25,426.75,430.0,424.5
2019-04-09,427.5,428.0,430.5,422.0
2019-04-08,431.5,430.5,435.25,427.75
2019-04-05,431.25,438.5,438.5,430.0
2019-04-04,439.5,437.0,443.5,434.25
2019-04-03,436.75,431.75,438.75,430.75
2019-04-02,433.25,435.5,437.25,422.75
2019-04-01,434.5,431.0,438.25,427.0
2019-03-29,430.0,438.0,441.0,427.25
2019-03-28,438.75,444.5,444.5,435.75
2019-03-27,444.5,443.0,446.0,441.0
2019-03-26,443.25,449.5,454.0,442.25
2019-03-25,449.25,445.25,451.5,441.5
2019-03-22,445.0,446.0,452.0,443.25
2019-03-21,447.0,444.0,448.25,439.25
2019-03-20,444.0,436.75,444.75,436.0
2019-03-19,435.75,439.0,443.25,433.5
2019-03-18,436.5,443.5,444.5,433.5
2019-03-15,443.0,436.75,444.5,433.0
2019-03-14,436.5,436.75,446.75,435.0
2019-03-13,436.75,444.0,444.75,431.0
2019-03-12,442.75,420.0,445.0,418.25
2019-03-11,420.25,431.75,433.25,418.75
2019-03-08,430.75,427.5,434.5,425.5
2019-03-07,427.5,439.25,439.75,426.5
2019-03-06,438.5,452.5,452.75,437.75
2019-03-05,451.25,445.25,452.5,441.25
2019-03-04,443.0,445.25,450.0,441.75
2019-03-01,444.75,444.0,448.0,432.5
2019-02-28,444.5,447.25,450.0,442.5
2019-02-27,445.5,444.0,452.75,442.75
2019-02-26,444.25,450.5,453.25,440.25
2019-02-25,450.25,468.0,470.0,449.0
2019-02-22,466.0,464.5,470.0,462.5
2019-02-21,463.25,458.75,470.0,458.5
2019-02-20,458.0,470.25,473.0,457.5
2019-02-19,468.25,482.75,486.5,467.5
2019-02-15,484.5,490.0,491.25,479.5
2019-02-14,488.25,499.75,501.0,488.0
2019-02-13,494.0,491.5,495.25,490.0
2019-02-12,492.0,492.75,495.0,488.25
2019-02-11,493.75,493.25,495.5,487.5
2019-02-08,494.25,496.5,500.5,492.5
2019-02-07,496.25,507.5,508.75,495.0
2019-02-06,509.25,510.0,513.5,507.25
2019-02-05,511.25,509.25,512.0,506.0
2019-02-04,510.5,510.0,513.0,505.75
2019-02-01,508.75,500.0,510.75,498.5
2019-01-31,499.0,502.0,504.0,497.0
2019-01-30,502.25,500.0,505.75,498.0
2019-01-29,500.25,506.75,509.25,498.25
2019-01-28,506.75,510.0,513.25,504.5
2019-01-25,509.5,510.0,513.25,506.25
2019-01-24,511.5,515.0,518.0,510.5
2019-01-23,515.0,510.25,515.5,510.25
2019-01-22,509.75,506.0,514.0,502.75
2019-01-18,506.0,505.75,509.0,503.25
2019-01-17,504.0,494.75,508.25,493.25
2019-01-16,495.5,495.5,500.75,494.25
2019-01-15,495.5,499.0,502.75,492.25
2019-01-14,499.0,504.5,509.25,498.75
2019-01-11,504.5,497.5,508.75,497.5
2019-01-10,498.75,504.75,505.5,496.25
2019-01-09,505.5,506.25,511.0,504.75
2019-01-08,505.0,501.0,510.25,499.0
2019-01-07,503.0,506.25,507.25,500.5
2019-01-04,506.0,504.0,508.75,503.5
2019-01-03,503.5,492.25,504.5,492.25
2019-01-02,492.5,490.0,497.25,487.75
2018-12-31,488.75,496.0,497.0,487.25
2018-12-28,496.0,494.25,497.75,493.0
2018-12-27,495.0,497.25,498.75,491.25
2018-12-26,495.5,503.25,508.25,494.5
2018-12-24,502.5,502.5,506.75,497.5
2018-12-21,502.75,509.5,510.0,499.25
2018-12-20,509.5,511.0,514.25,507.0
2018-12-19,508.5,517.75,517.75,508.0
2018-12-18,517.25,520.25,522.5,515.75
2018-12-17,522.0,518.0,524.25,517.0
2018-12-14,518.25,520.0,524.5,514.75
2018-12-13,520.0,512.0,522.5,510.25
2018-12-12,511.25,505.75,514.0,505.75
2018-12-11,504.75,510.25,514.5,501.5
2018-12-10,510.25,513.0,513.5,507.5
2018-12-07,512.0,497.0,513.0,496.25
2018-12-06,495.5,497.5,498.75,490.0
2018-12-04,498.0,502.5,504.0,494.25
2018-12-03,506.5,508.0,512.5,502.0
2018-11-30,500.25,492.0,503.0,492.0
2018-11-29,492.5,492.5,498.0,491.0
2018-11-28,492.25,483.0,494.75,483.0
2018-11-27,483.5,489.75,494.5,482.25
2018-11-26,489.75,490.0,491.5,484.75
2018-11-23,486.0,493.5,498.25,485.25
2018-11-21,493.0,497.25,499.75,491.5
2018-11-20,497.25,497.75,500.75,493.5
2018-11-19,498.75,506.75,507.0,494.25
2018-11-16,506.5,502.0,508.0,501.5
2018-11-15,503.25,504.25,508.0,502.25
2018-11-14,504.25,509.5,514.25,503.75
2018-11-13,509.5,513.75,517.0,507.0
2018-11-12,493.5,487.5,496.25,486.0
2018-11-09,487.5,496.5,496.75,487.0
2018-11-08,497.25,500.0,506.25,492.25
2018-11-07,502.25,507.75,509.25,501.0
2018-11-06,508.0,504.75,510.75,503.25
2018-11-05,504.75,504.25,507.5,500.0
2018-11-02,504.25,501.5,505.75,497.75
2018-11-01,501.25,493.0,504.0,492.75
2018-10-31,493.25,494.25,495.0,484.5
2018-10-30,494.75,498.5,501.25,491.5
2018-10-29,501.5,504.75,510.25,497.0
2018-10-26,500.25,486.5,503.25,486.5
2018-10-25,486.5,497.0,497.5,485.25
2018-10-24,497.0,507.75,509.5,495.5
2018-10-23,507.5,508.5,510.0,502.5
2018-10-22,507.75,515.0,515.75,506.25
2018-10-19,516.25,515.0,519.75,512.25
2018-10-18,514.75,519.25,522.75,514.25
2018-10-17,521.0,528.25,528.25,519.75
2018-10-16,528.0,532.25,533.25,526.5
2018-10-15,531.75,524.5,532.5,521.75
2018-10-12,524.25,513.75,525.0,512.5
2018-10-11,513.75,516.25,527.0,510.5
