Date,Close/Last,Open,High,Low
2020-04-21,14.34,14.22,14.445,14.1
2020-04-20,14.56,14.5,14.73,14.435
2020-04-17,14.495,14.365,14.515,14.335
2020-04-16,14.325,14.27,14.335,14.24
2020-04-15,14.19,14.265,14.355,14.135
2020-04-14,14.28,14.345,14.47,14.125
2020-04-13,14.325,14.46,14.605,14.315
2020-04-09,14.52,14.205,14.545,14.185
2020-04-08,14.315,14.385,14.39,14.07
2020-04-07,14.34,14.64,14.66,14.065
2020-04-06,14.68,14.61,14.74,14.595
2020-04-03,14.55,14.3,14.68,14.27
2020-04-02,14.245,14.065,14.33,14.055
2020-04-01,14.055,14.0,14.14,13.815
2020-03-31,14.035,14.095,14.13,14.0
2020-03-30,14.095,13.995,14.17,13.97
2020-03-27,13.97,13.725,14.09,13.725
2020-03-26,13.77,13.56,13.81,13.56
2020-03-25,13.625,13.29,13.65,13.28
2020-03-24,13.28,13.23,13.395,13.21
2020-03-23,13.235,13.385,13.49,13.155
2020-03-20,13.285,14.005,14.015,13.23
2020-03-19,13.92,14.175,14.32,13.895
2020-03-18,14.29,13.93,14.35,13.8
2020-03-17,13.95,13.615,14.065,13.58
2020-03-16,13.615,13.345,13.665,13.27
2020-03-13,13.32,13.15,13.42,13.06
2020-03-12,13.155,13.0,13.275,12.805
2020-03-11,12.98,12.89,13.1,12.855
2020-03-10,12.85,12.755,13.0,12.71
2020-03-09,12.74,12.89,12.9,12.69
2020-03-06,12.91,13.12,13.12,12.88
2020-03-05,13.105,13.485,13.515,13.1
2020-03-04,13.475,13.495,13.52,13.45
2020-03-03,13.53,13.57,13.68,13.5
2020-03-02,13.595,13.585,13.695,13.58
2020-02-28,13.6,13.61,13.785,13.425
2020-02-27,13.57,13.505,13.59,13.33
2020-02-26,13.525,13.585,13.635,13.5
2020-02-25,13.58,13.51,13.615,13.475
2020-02-24,13.55,13.605,13.605,13.46
2020-02-21,13.59,13.66,13.675,13.525
2020-02-20,13.655,13.64,13.745,13.59
2020-02-19,13.645,13.625,13.7,13.55
2020-02-18,13.66,13.485,13.69,13.485
2020-02-14,13.33,13.295,13.42,13.24
2020-02-13,13.305,13.4,13.4,13.08
2020-02-12,13.39,13.555,13.6,13.385
2020-02-11,13.605,13.75,13.75,13.535
2020-02-10,13.695,13.6,13.86,13.57
2020-02-07,13.615,13.525,13.65,13.51
2020-02-06,13.525,13.54,13.55,13.485
2020-02-05,13.54,13.45,13.575,13.43
2020-02-04,13.585,13.58,13.605,13.5
2020-02-03,13.565,13.575,13.665,13.495
2020-01-31,13.61,13.655,13.68,13.465
2020-01-30,13.56,13.69,13.72,13.48
2020-01-29,13.665,13.6,13.74,13.56
2020-01-28,13.585,13.47,13.605,13.405
2020-01-27,13.47,13.485,13.55,13.35
2020-01-24,13.585,13.58,13.655,13.53
2020-01-23,13.625,13.425,13.705,13.375
2020-01-22,13.435,13.395,13.475,13.35
2020-01-21,13.415,13.485,13.585,13.38
2020-01-17,13.515,13.33,13.635,13.305
2020-01-16,13.335,13.365,13.42,13.265
2020-01-15,13.36,13.35,13.41,13.26
2020-01-14,13.355,13.2,13.385,13.18
2020-01-13,13.225,13.305,13.355,13.155
2020-01-10,13.33,13.27,13.4,13.055
2020-01-09,13.275,13.02,13.495,13.015
2020-01-08,13.07,13.05,13.125,12.995
2020-01-07,13.06,13.045,13.075,12.855
2020-01-06,13.055,13.17,13.215,12.97
2020-01-03,13.22,13.08,13.22,13.06
2020-01-02,13.16,13.255,13.28,13.05
2019-12-31,13.285,13.195,13.315,13.155
2019-12-30,13.26,13.17,13.3,13.115
2019-12-27,13.175,13.1,13.285,13.045
2019-12-26,13.085,13.05,13.125,13.045
2019-12-24,13.14,13.11,13.165,13.085
2019-12-23,13.125,13.075,13.16,13.015
2019-12-20,13.11,13.01,13.14,12.995
2019-12-19,13.045,13.035,13.075,12.975
2019-12-18,13.035,12.91,13.075,12.88
2019-12-17,12.68,12.545,12.825,12.545
2019-12-16,12.605,12.495,12.635,12.495
2019-12-13,12.515,12.41,12.53,12.4
2019-12-12,12.43,12.415,12.45,12.37
2019-12-11,12.43,12.44,12.48,12.345
2019-12-10,12.45,12.435,12.49,12.415
2019-12-09,12.45,12.265,12.45,12.265
2019-12-06,12.31,12.28,12.31,12.235
2019-12-05,12.275,12.29,12.33,12.27
2019-12-04,12.295,12.33,12.33,12.275
2019-12-03,12.335,12.455,12.46,12.305
2019-12-02,12.475,12.475,12.56,12.42
2019-11-29,12.485,12.4,12.49,12.39
2019-11-27,12.39,12.24,12.4,12.2
2019-11-26,12.24,12.19,12.27,12.155
2019-11-25,12.195,12.145,12.24,12.14
2019-11-22,12.18,12.24,12.25,12.165
2019-11-21,12.245,12.11,12.25,12.11
2019-11-20,12.1,12.05,12.11,12.09
2019-11-19,12.09,12.07,12.095,11.995
2019-11-18,12.09,11.995,12.14,11.96
2019-11-15,11.89,11.82,11.91,11.715
2019-11-14,11.845,11.91,11.925,11.795
2019-11-13,11.92,11.955,11.97,11.88
2019-11-12,11.965,12.07,12.1,11.955
2019-11-11,12.015,12.045,12.095,11.92
2019-11-08,12.04,12.03,12.1,11.995
2019-11-07,12.03,11.98,12.05,11.945
2019-11-06,12.0,11.95,12.05,11.91
2019-11-05,11.97,11.86,11.985,11.825
2019-11-04,11.85,11.97,11.985,11.84
2019-11-01,11.985,12.01,12.065,11.935
2019-10-31,12.02,12.0,12.08,11.955
2019-10-30,12.0,11.955,12.205,11.9
2019-10-29,11.925,11.82,11.99,11.735
2019-10-28,11.835,12.035,12.085,11.825
2019-10-25,12.05,11.98,12.085,11.955
2019-10-24,11.99,11.95,12.01,11.91
