Date,Close/Last,Open,High,Low
2020-04-21,294.5,291.1,295.1,286.5
2020-04-20,290.8,293.1,294.2,290.3
2020-04-17,293.1,297.2,298.3,292.4
2020-04-16,296.1,296.3,298.8,295.3
2020-04-15,296.6,293.4,298.8,293.3
2020-04-14,293.1,294.7,294.8,291.5
2020-04-13,294.5,298.0,299.4,293.9
2020-04-09,298.3,298.1,299.5,295.8
2020-04-08,292.8,293.8,297.3,292.2
2020-04-07,293.8,297.4,297.5,293.7
2020-04-06,297.0,302.7,303.4,296.8
2020-04-03,303.2,309.0,310.5,299.2
2020-04-02,309.1,315.5,317.1,308.5
2020-04-01,314.9,321.9,322.6,314.4
2020-03-31,321.5,326.0,326.9,320.3
2020-03-30,325.5,323.2,328.9,322.2
2020-03-27,323.1,324.1,328.1,320.7
2020-03-26,322.9,321.4,327.7,317.2
2020-03-25,321.7,332.1,333.4,320.1
2020-03-24,332.1,335.9,336.3,326.6
2020-03-23,333.6,324.5,335.2,324.0
2020-03-20,325.2,315.7,326.6,313.6
2020-03-19,314.8,305.0,320.5,304.0
2020-03-18,304.0,298.3,305.0,298.3
2020-03-17,298.3,296.5,299.5,295.6
2020-03-16,296.3,298.6,300.6,296.0
2020-03-13,299.5,302.3,307.1,299.0
2020-03-12,302.8,301.4,303.8,297.7
2020-03-11,301.6,301.9,305.4,300.9
2020-03-10,301.9,300.8,306.6,300.8
2020-03-09,300.4,303.0,303.3,296.2
2020-03-06,305.1,305.1,305.9,303.7
2020-03-05,303.9,308.6,309.5,303.4
2020-03-04,308.9,310.2,310.9,308.2
2020-03-03,310.1,309.0,310.6,307.0
2020-03-02,308.9,308.9,310.0,308.0
2020-02-28,305.6,304.7,307.4,300.8
2020-02-27,303.6,297.3,304.3,294.0
2020-02-26,298.3,294.1,300.4,292.5
2020-02-25,299.3,298.3,299.7,297.7
2020-02-24,292.0,294.7,294.8,290.7
2020-02-21,294.8,298.3,301.2,294.6
2020-02-20,298.3,298.5,298.7,297.4
2020-02-19,298.5,297.5,298.8,296.5
2020-02-18,297.6,296.4,298.4,295.4
2020-02-14,296.6,297.2,297.3,294.5
2020-02-13,297.6,297.2,299.4,296.5
2020-02-12,291.7,290.8,292.5,289.8
2020-02-11,290.8,291.5,293.1,289.2
2020-02-10,291.4,290.0,294.5,289.2
2020-02-07,289.3,288.0,291.5,288.0
2020-02-06,288.2,287.4,289.8,286.4
2020-02-05,287.4,288.2,288.4,287.3
2020-02-04,288.5,289.8,292.4,287.5
2020-02-03,289.8,290.9,291.4,287.1
2020-01-31,291.0,291.6,292.4,290.7
2020-01-30,291.5,296.0,296.3,291.0
2020-01-29,296.1,297.8,298.9,295.1
2020-01-28,297.6,297.8,299.4,296.4
2020-01-27,297.8,297.3,299.1,295.2
2020-01-24,298.3,298.5,300.5,297.6
2020-01-23,298.9,297.9,299.1,296.0
2020-01-22,297.9,299.1,299.8,297.4
2020-01-21,299.1,301.0,301.3,298.8
2020-01-17,300.6,300.1,302.0,299.6
2020-01-16,300.6,300.2,301.1,299.0
2020-01-15,300.1,302.5,303.9,300.0
2020-01-14,302.0,303.0,306.8,300.8
2020-01-13,303.8,301.9,304.2,301.8
2020-01-10,303.5,300.3,303.8,300.3
2020-01-09,300.8,301.8,303.0,299.2
2020-01-08,301.8,301.3,303.2,300.4
2020-01-07,301.3,302.8,304.0,300.4
2020-01-06,302.9,303.3,303.3,302.5
2020-01-03,301.2,305.3,306.3,300.3
2020-01-02,305.6,304.3,307.5,303.0
2019-12-31,304.7,302.8,307.1,301.7
2019-12-30,302.3,300.7,303.3,300.2
2019-12-27,300.4,303.9,304.8,300.1
2019-12-26,304.0,305.9,306.3,302.8
2019-12-24,306.1,305.8,307.6,304.0
2019-12-23,305.8,302.2,306.4,302.1
2019-12-20,302.2,303.3,304.0,302.0
2019-12-19,302.7,306.8,307.4,302.0
2019-12-18,307.4,306.4,307.9,304.0
2019-12-17,306.4,305.1,307.5,303.0
2019-12-16,305.8,302.5,305.9,301.8
2019-12-13,301.3,300.7,302.1,299.1
2019-12-12,298.7,299.5,301.8,297.4
2019-12-11,299.3,301.5,302.2,298.6
2019-12-10,298.7,298.5,300.2,297.3
2019-12-09,298.5,299.5,301.6,298.1
2019-12-06,299.3,299.7,300.8,298.5
2019-12-05,301.5,296.7,303.3,295.6
2019-12-04,296.7,295.0,298.0,294.9
2019-12-03,294.7,294.4,295.4,293.4
2019-12-02,293.5,293.3,294.2,292.6
2019-11-29,293.1,296.2,296.5,292.8
2019-11-27,296.2,297.3,299.0,296.0
2019-11-26,297.1,300.6,301.2,296.7
2019-11-25,300.6,301.0,302.7,300.3
2019-11-22,301.2,303.1,303.6,300.5
2019-11-21,303.2,302.0,304.9,301.9
2019-11-20,302.0,302.6,302.7,301.5
2019-11-19,306.8,307.0,308.6,306.7
2019-11-18,303.8,309.2,310.0,303.1
2019-11-15,309.2,305.8,309.5,305.4
2019-11-14,305.3,306.1,307.1,303.8
2019-11-13,304.1,302.1,306.4,301.7
2019-11-12,302.3,300.6,303.2,300.5
2019-11-11,300.6,303.7,304.1,300.3
2019-11-08,304.9,305.6,306.4,301.8
2019-11-07,305.6,299.4,306.2,299.2
2019-11-06,298.9,301.4,301.6,298.5
2019-11-05,302.7,302.4,303.4,301.6
2019-11-04,302.4,303.9,304.3,302.0
2019-11-01,303.9,304.4,306.6,303.7
2019-10-31,304.4,302.3,305.2,301.5
2019-10-30,302.2,303.0,304.1,302.0
2019-10-29,303.0,304.1,305.8,302.2
2019-10-28,304.0,303.3,305.2,303.1
2019-10-25,303.3,305.8,307.3,303.0
2019-10-24,305.6,308.5,309.5,305.4
2019-10-23,308.6,307.1,309.4,305.9
2019-10-22,306.9,307.9,311.8,306.3
2019-10-21,307.7,308.0,311.3,306.6
2019-10-18,308.5,306.6,309.8,306.1
2019-10-17,306.8,304.8,308.7,303.5
2019-10-16,304.8,307.7,309.1,304.3
2019-10-15,307.8,310.3,311.9,307.6
2019-10-14,310.9,312.3,313.9,309.0
2019-10-11,310.8,308.0,312.9,308.0
2019-10-10,307.8,308.6,311.5,307.5
2019-10-09,309.7,306.3,311.7,306.3
2019-10-08,306.9,301.8,308.0,301.8
2019-10-07,302.1,303.9,304.5,301.1
2019-10-04,303.7,303.2,305.0,302.0
2019-10-03,302.9,305.6,305.6,301.8
2019-10-02,305.6,308.7,308.9,304.8
2019-10-01,309.0,301.0,309.2,300.3
2019-09-30,301.0,295.0,302.5,295.0
2019-09-27,295.1,295.5,296.1,294.3
2019-09-26,295.6,297.1,300.0,295.3
2019-09-25,297.6,299.6,300.8,297.0
2019-09-24,299.5,298.0,302.1,298.0
2019-09-23,298.6,294.4,299.6,294.3
2019-09-20,295.0,295.8,297.4,294.4
2019-09-19,296.1,295.6,297.5,295.1
2019-09-18,295.4,298.3,299.2,295.1
2019-09-17,297.8,298.5,299.1,294.9
2019-09-16,298.9,302.1,303.3,297.5
2019-09-13,301.5,301.3,304.7,300.6
2019-09-12,301.3,295.2,301.5,294.9
2019-09-11,294.7,298.3,298.8,293.8
2019-09-10,298.1,294.4,298.8,294.2
2019-09-09,294.0,292.7,295.0,292.0
2019-09-06,293.0,294.9,296.7,292.7
2019-09-05,294.5,298.2,300.2,293.8
2019-09-04,298.5,294.3,300.1,294.3
2019-09-03,294.1,295.5,296.9,293.7
2019-08-30,295.0,297.7,299.0,295.0
