Date,Close/Last,Open,High,Low
2020-04-21,848.0,845.75,850.25,831.0
2020-04-20,836.25,843.5,845.75,834.25
2020-04-17,842.25,848.75,851.75,841.5
2020-04-16,845.75,851.0,857.0,845.0
2020-04-15,851.75,856.0,862.5,848.75
2020-04-14,855.5,862.5,864.5,854.25
2020-04-13,862.25,871.0,877.5,858.0
2020-04-09,863.5,855.5,867.0,853.75
2020-04-08,854.5,855.75,860.5,851.75
2020-04-07,854.75,856.0,862.25,854.25
2020-04-06,855.5,853.5,859.0,848.5
2020-04-03,854.25,859.75,864.5,850.5
2020-04-02,858.75,864.75,870.0,857.0
2020-04-01,862.75,885.75,887.25,860.75
2020-03-31,886.0,882.5,887.5,875.75
2020-03-30,882.25,880.0,892.5,876.75
2020-03-27,881.5,879.0,888.75,875.25
2020-03-26,880.25,882.5,884.5,871.25
2020-03-25,881.5,885.0,897.0,880.5
2020-03-24,886.75,884.0,887.75,872.5
2020-03-23,884.0,860.0,885.25,858.25
2020-03-20,862.5,845.75,864.75,845.5
2020-03-19,843.25,829.25,855.75,825.0
2020-03-18,825.5,824.5,838.5,822.25
2020-03-17,824.25,824.75,832.5,822.0
2020-03-16,821.75,842.0,854.75,821.0
2020-03-13,848.75,857.75,872.0,845.25
2020-03-12,859.5,872.5,872.75,852.25
2020-03-11,873.25,876.0,883.75,872.0
2020-03-10,876.25,874.5,885.0,874.5
2020-03-09,870.0,883.5,883.5,867.0
2020-03-06,891.25,898.75,899.75,888.5
2020-03-05,897.0,908.5,912.5,894.75
2020-03-04,907.25,904.25,911.0,903.5
2020-03-03,903.5,903.75,908.0,899.5
2020-03-02,901.0,901.5,904.25,900.5
2020-02-28,892.75,894.75,895.5,879.75
2020-02-27,895.0,888.75,897.0,878.25
2020-02-26,892.0,889.0,899.0,885.0
2020-02-25,888.25,883.5,889.0,881.25
2020-02-24,882.5,896.25,896.75,879.25
2020-02-21,899.0,900.25,910.25,896.25
2020-02-20,901.0,902.5,902.75,900.0
2020-02-19,897.25,892.25,898.25,885.0
2020-02-18,902.25,904.5,908.75,899.0
2020-02-14,903.25,906.0,908.25,899.5
2020-02-13,896.25,891.0,899.75,888.5
2020-02-12,892.5,885.5,893.0,881.5
2020-02-11,884.75,885.75,889.0,878.0
2020-02-10,884.25,883.0,889.75,879.5
2020-02-07,882.0,883.25,884.75,876.25
2020-02-06,881.0,880.0,886.25,876.75
2020-02-05,880.0,881.25,881.75,878.0
2020-02-04,879.5,876.25,887.0,873.75
2020-02-03,877.0,870.75,878.75,868.75
2020-01-31,872.5,873.5,875.5,872.25
2020-01-30,876.25,893.5,893.75,875.5
2020-01-29,893.0,896.0,903.0,890.75
2020-01-28,895.0,897.5,898.0,888.5
2020-01-27,897.25,899.25,900.0,888.25
2020-01-24,902.0,909.25,909.25,900.75
2020-01-23,909.5,914.0,914.75,904.0
2020-01-22,913.75,917.0,922.0,913.25
2020-01-21,916.0,930.0,931.5,915.25
2020-01-17,929.75,924.5,933.5,920.0
2020-01-16,924.0,929.75,930.25,922.0
2020-01-15,928.75,942.0,943.25,928.25
2020-01-14,941.5,941.5,948.5,938.5
2020-01-13,942.25,939.5,943.25,939.25
2020-01-10,946.0,942.75,947.0,935.5
2020-01-09,943.5,946.75,954.5,939.25
2020-01-08,947.25,942.5,950.5,938.0
2020-01-07,944.0,944.75,947.5,937.75
2020-01-06,944.75,946.25,946.25,943.75
2020-01-03,941.5,956.0,957.0,937.5
2020-01-02,956.25,956.0,961.0,953.75
2019-12-31,955.5,951.5,956.25,947.25
2019-12-30,952.5,941.5,953.0,939.5
2019-12-27,941.5,945.75,950.5,938.5
2019-12-26,946.5,946.25,949.0,945.0
2019-12-24,936.5,933.0,937.5,929.0
2019-12-23,942.25,939.0,946.75,937.5
2019-12-20,938.25,936.0,941.0,935.25
2019-12-19,936.25,939.0,941.5,933.75
2019-12-18,940.5,940.0,941.75,935.0
2019-12-17,940.75,934.75,943.25,934.0
2019-12-16,936.0,927.0,936.5,926.5
2019-12-13,921.5,919.0,922.75,916.0
2019-12-12,912.5,907.5,916.0,902.5
2019-12-11,893.5,898.75,902.0,892.0
2019-12-10,901.25,897.5,902.25,896.25
2019-12-09,897.25,891.75,903.5,889.75
2019-12-06,889.5,885.5,892.0,885.25
2019-12-05,884.25,878.0,888.75,877.25
2019-12-04,878.0,872.25,880.0,871.5
2019-12-03,871.0,873.5,875.75,868.25
2019-12-02,870.5,870.0,873.25,867.5
2019-11-29,876.75,883.25,884.75,875.75
