Date,Close/Last,Open,High,Low,DailyIncreasingRate,DailyFlucRange,DailyFlucRate,OpenLastCloseRate
2020-04-21,2318,2318,2318,2318,-1.6963528413910134,0,0.0,-1.6963528413910092
2020-04-20,2358,2358,2358,2358,-0.4222972972973027,0,0.0,-0.4222972972972973
2020-04-17,2368,2368,2368,2368,5.95078299776286,0,0.0,5.950782997762864
2020-04-16,2235,2235,2235,2235,1.3605442176870763,0,0.0,1.3605442176870748
2020-04-15,2205,2205,2205,2205,-2.6490066225165587,0,0.0,-2.6490066225165565
2020-04-14,2265,2265,2265,2265,0.5326231691078487,0,0.0,0.5326231691078562
2020-04-13,2253,2253,2253,2253,-2.255965292841644,0,0.0,-2.2559652928416485
2020-04-09,2305,2305,2305,2305,-3.1105506515342607,0,0.0,-3.1105506515342585
2020-04-08,2379,2379,2379,2379,-1.2863070539419041,0,0.0,-1.2863070539419086
2020-04-07,2410,2410,2410,2410,1.8596787827557026,0,0.0,1.8596787827557058
2020-04-06,2366,2366,2366,2366,4.5053003533569,0,0.0,4.5053003533568905
2020-04-03,2264,2264,2264,2264,-0.9190371991247281,0,0.0,-0.9190371991247264
2020-04-02,2285,2285,2285,2285,2.6044005388415004,0,0.0,2.6044005388414906
2020-04-01,2227,2227,2227,2227,-0.9782125389061758,0,0.0,-0.9782125389061804
2020-03-31,2249,2249,2249,2249,-0.7064017660044164,0,0.0,-0.7064017660044151
2020-03-30,2265,2265,2265,2265,0.3544528134691971,0,0.0,0.35445281346920693
2020-03-27,2257,2257,2257,2257,0.08869179600887733,0,0.0,0.08869179600886917
2020-03-26,2255,2255,2255,2255,0.31138790035587505,0,0.0,0.3113879003558719
2020-03-25,2248,2248,2248,2248,-1.1868131868131848,0,0.0,-1.1868131868131868
2020-03-24,2275,2275,2275,2275,0.7975188303057212,0,0.0,0.7975188303057155
2020-03-23,2257,2257,2257,2257,1.2107623318385663,0,0.0,1.2107623318385652
2020-03-20,2230,2230,2230,2230,0.631768953068601,0,0.0,0.631768953068592
2020-03-19,2216,2216,2216,2216,-2.977232924693518,0,0.0,-2.9772329246935203
2020-03-18,2284,2284,2284,2284,-1.4667817083692802,0,0.0,-1.4667817083692838
2020-03-17,2318,2318,2318,2318,-0.5577005577005578,0,0.0,-0.5577005577005577
2020-03-16,2331,2331,2331,2331,-3.876288659793814,0,0.0,-3.876288659793815
2020-03-13,2425,2425,2425,2425,-2.8056112224448926,0,0.0,-2.80561122244489
2020-03-12,2495,2495,2495,2495,-4.9523809523809526,0,0.0,-4.9523809523809526
2020-03-11,2625,2625,2625,2625,1.86263096623982,0,0.0,1.8626309662398137
2020-03-10,2577,2577,2577,2577,1.2573673870333923,0,0.0,1.2573673870333988
2020-03-09,2545,2545,2545,2545,-0.6247559547051917,0,0.0,-0.6247559547051933
2020-03-06,2561,2561,2561,2561,-1.386214863303814,0,0.0,-1.386214863303812
2020-03-05,2597,2597,2597,2597,-1.1043412033511002,0,0.0,-1.1043412033511044
2020-03-04,2626,2626,2626,2626,-1.0177157934413872,0,0.0,-1.0177157934413872
2020-03-03,2653,2653,2653,2653,-0.300638857572344,0,0.0,-0.3006388575723412
2020-03-02,2661,2661,2661,2661,-0.41167664670658244,0,0.0,-0.4116766467065869
2020-02-28,2672,2672,2672,2672,-2.659380692167579,0,0.0,-2.6593806921675776
2020-02-27,2745,2745,2745,2745,0.21905805038335835,0,0.0,0.21905805038335158
2020-02-26,2739,2739,2739,2739,-2.387740555951534,0,0.0,-2.3877405559515323
2020-02-25,2806,2806,2806,2806,0.178507675830053,0,0.0,0.1785076758300607
2020-02-24,2801,2801,2801,2801,-1.4773126978543827,0,0.0,-1.4773126978543791
2020-02-21,2843,2843,2843,2843,-0.5944055944055893,0,0.0,-0.5944055944055944
2020-02-20,2860,2860,2860,2860,0.45662100456620447,0,0.0,0.45662100456621
2020-02-19,2847,2847,2847,2847,0.035137034434296055,0,0.0,0.035137034434293744
2020-02-18,2846,2846,2846,2846,-1.3860013860013898,0,0.0,-1.386001386001386
2020-02-14,2886,2886,2886,2886,-3.4136546184738936,0,0.0,-3.413654618473896
2020-02-13,2988,2988,2988,2988,2.892561983471076,0,0.0,2.8925619834710745
2020-02-12,2904,2904,2904,2904,-0.47978067169294203,0,0.0,-0.47978067169294036
