Date,Close/Last,Open,High,Low,DailyIncreasingRate,DailyFlucRange,DailyFlucRate,OpenLastCloseRate
2020-04-20,5.3169,5.3168,5.3175,5.3169,1.564469914040112,0.0005999999999994898,0.011284771201254299,1.5625596943648408
2020-04-17,5.235,5.2333,5.275,5.2079,0.013373325946175463,0.06709999999999994,1.2817574021012403,-0.01910475135166754
2020-04-16,5.2343,5.2367,5.2671,5.2015,-0.08017562279278856,0.06559999999999988,1.2532716886689697,-0.0343609811969122
2020-04-15,5.2385,5.2367,5.2385,5.2384,1.4446445515986062,9.999999999976694e-05,0.001908943399823746,1.409787176358953
2020-04-14,5.1639,5.1994,5.2116,5.1502,-0.6827710889718008,0.0613999999999999,1.1890237998412034,0.0
2020-04-13,5.1994,5.1063,5.207999999999998,5.1053,1.8132685830657191,0.10269999999999868,1.9752279109127722,-0.009790867079183106
2020-04-10,5.1068,5.1068,5.1072,5.1068,0.011750421056744287,0.00039999999999995595,0.007832693663349963,0.011750421056744542
2020-04-09,5.1062,5.1233,5.1527,5.0498,-0.2714790726743521,0.10289999999999999,2.015197211233402,0.06249877932072685
2020-04-08,5.1201,5.2214,5.247999999999998,5.1116,-1.998277347114552,0.1363999999999983,2.664010468545503,-0.05933582160972113
2020-04-07,5.2245,5.2863,5.2862,5.1839,-1.0829846450953307,0.10229999999999961,1.9580821131208652,0.0870931707594134
2020-04-06,5.2817,5.2863,5.2817,5.2816,-1.3006185412890336,9.999999999976694e-05,0.001893329799113296,-1.2146581204567188
2020-04-03,5.3513,5.2533,5.3539,5.2546,1.8015447247270222,0.09930000000000039,1.8556238670977216,-0.06277822166418245
2020-04-02,5.2566,5.2533,5.2566,5.2546,0.13525097628344085,0.0019999999999997797,0.038047407069204044,0.07238784646156825
2020-04-01,5.2495,5.2493,5.2498,5.2495,0.8336374637444521,0.0002999999999993008,0.005714829983794663,0.8297958164460859
2020-03-31,5.2061,5.1936,5.2143,5.169,0.22717209248599435,0.04530000000000012,0.8701331130788905,-0.01347631057120584
2020-03-30,5.1943,5.0997,5.1945,5.101,1.8490196078431387,0.0934999999999997,1.80005005486783,-0.005882352941162762
2020-03-27,5.1,5.0212,5.1279,5.0221,1.522842639593902,0.10580000000000034,2.0745098039215755,-0.0457848113864829
2020-03-26,5.0235,5.0212,5.0235,5.0221,-0.22840119165838946,0.00140000000000029,0.02786901562656096,-0.2740814299900658
2020-03-25,5.035,5.0353,5.0366,5.0348,-1.2648298852828699,0.0018000000000002458,0.035749751737840035,-1.2589469555838728
2020-03-24,5.0995,5.0983,5.0995,5.0972,-0.849665577850367,0.0022999999999999687,0.04510246102559013,-0.8729973557318433
2020-03-23,5.1432,5.1444,5.1457,5.1432,1.5699982226435205,0.0024999999999995026,0.04860787058639568,1.5936963090230505
2020-03-20,5.0637,5.0957,5.0967,4.9830000000000005,-0.6338304552590324,0.11369999999999969,2.245393684459974,-0.005886970172688167
2020-03-19,5.096,5.0957,5.0967,5.096,-0.22515907978463146,0.000700000000000145,0.01373626373626658,-0.23103279490944753
2020-03-18,5.1075,5.1075,5.1075,5.1075,1.9216954022988508,0.0,0.0,1.921695402298856
2020-03-17,5.0112,5.0084,5.0118,5.0073,0.2280091203648249,0.0045000000000001705,0.08979885057471605,0.1720068802752187
2020-03-16,4.9998,4.8580000000000005,5.0680000000000005,4.8595,2.8850111120256594,0.2085000000000008,4.170166806672284,-0.03292452053666606
2020-03-13,4.8596,4.791,4.881,4.6452,1.2606530391115145,0.23580000000000023,4.852251214091699,-0.16878164655872505
2020-03-12,4.7991,4.8136,5.0280000000000005,4.75,-0.5697592508183802,0.27800000000000047,5.792752807818142,-0.26934073675050557
2020-03-11,4.8266,4.6425,4.8274,4.64,3.9341932427485515,0.18740000000000023,3.8826503128496297,-0.03014707465708327
2020-03-10,4.6439,4.7231,4.7246,4.6348,-1.7080811073953206,0.08979999999999944,1.9337195030039285,-0.031748719468315985
2020-03-09,4.7246,4.7246,4.7246,4.7246,2.0828831943304094,0.0,0.0,2.0828831943304102
2020-03-06,4.6282,4.6073,4.6711,4.6076,0.4470874207830544,0.06350000000000033,1.3720236809126731,-0.0065109818560487205
2020-03-05,4.6076,4.5847,4.6665,4.5843,1.7646928904299974,0.08220000000000027,1.784009028561513,1.2589173310952468
2020-03-04,4.5277,4.5144,4.5287,4.5036,0.30572232437582336,0.025100000000000122,0.5543653510612478,0.011076895810731542
2020-03-03,4.5139,4.474,4.5176,4.4535,0.894074521111321,0.06409999999999982,1.4200580429340444,0.002235186302773127
2020-03-02,4.4739,4.474,4.4744,4.4739,-0.07147483862320891,0.0004999999999997229,0.011175931513885488,-0.06924124991623776
2020-02-28,4.4771,4.4861,4.5141,4.4645,-0.20506876490649084,0.049599999999999866,1.1078599986598439,-0.004458016628391634
2020-02-27,4.4863,4.4863,4.4863,4.4863,0.804403999550618,0.0,0.0,0.8044039995506135
2020-02-26,4.4505,4.4505,4.4505,4.4505,1.4174053733791991,0.0,0.0,1.4174053733792085
2020-02-25,4.3883,4.3883,4.3883,4.3883,0.0,0.0,0.0,0.0
2020-02-24,4.3883,4.3883,4.3883,4.3883,-0.027337965599727454,0.0,0.0,-0.02733796559972361
2020-02-21,4.3895,4.3933,4.4064,4.3717,-0.10013882883088687,0.03469999999999995,0.7905228385920938,-0.013655294840583034
2020-02-20,4.3939,4.3933,4.3939,4.3936,0.6482499541873077,0.000300000000000189,0.006827647420291517,0.6345061389041663
2020-02-19,4.3656,4.3649,4.3656,4.3653,0.21118354604718892,0.0002999999999993008,0.006871907641545283,0.19511523276098913
2020-02-18,4.3564,4.3557,4.3564,4.3559,1.0249988404990473,0.0004999999999997229,0.011477366632993364,1.0087658271879754
2020-02-17,4.3122,4.2974,4.316,4.2969,0.33972449739387844,0.019099999999999895,0.44292936320207543,-0.004653760238282345
2020-02-14,4.2976,4.3498,4.3504,4.2911,-1.2136815005516666,0.059299999999999464,1.379839910647791,-0.013791835233530019
2020-02-13,4.3504,4.3498,4.3504,4.3502,-0.12626552492023269,0.00019999999999953388,0.004597278411169867,-0.140039945820611
2020-02-12,4.3559,4.3548,4.3559,4.3552,0.5540294097278409,0.000700000000000145,0.016070157717122637,0.5286363951153056
