Date,Close/Last,Open,High,Low,DailyIncreasingRate,DailyFlucRange,DailyFlucRate,OpenLastCloseRate
2020-04-21,8263.23,8460.69,8480.29,8215.69,-3.47517092584394,264.60000000000036,3.2021376628751756,-1.168591930828318
2020-04-20,8560.73,8553.37,8684.91,8553.37,-1.033624889308149,131.53999999999905,1.536551205329441,-1.11871021740687
2020-04-17,8650.14,8667.48,8670.3,8531.69,1.3803918259426284,138.60999999999876,1.6024018108377294,1.5836181314431055
2020-04-16,8532.36,8479.11,8560.16,8393.27,1.6582511038724324,166.88999999999942,1.95596528979086,1.0238074245994997
2020-04-15,8393.18,8355.96,8464.66,8308.79,-1.4392172612127552,155.86999999999898,1.8571030288877275,-1.8762902578049665
2020-04-14,8515.74,8353.21,8531.11,8338.09,3.9465750046994597,193.02000000000044,2.266626270881925,1.9626679296227374
2020-04-13,8192.42,8127.69,8200.44,8035.95,0.4763551715933456,164.4900000000007,2.0078316297260237,-0.31752923255797244
2020-04-09,8153.58,8169.01,8227.91,8072.32,0.7746974996601264,155.59000000000015,1.908241533167028,0.9654055791073994
2020-04-08,8090.9,7975.72,8114.43,7901.94,2.5818852174265716,212.4900000000007,2.6262838497571432,1.1215555211822614
2020-04-07,7887.26,8129.99,8146.43,7881.22,-0.32831052767260394,265.21000000000004,3.3625111889299966,2.739080326136955
2020-04-06,7913.24,7660.17,7938.33,7617.79,7.326110662029972,320.53999999999996,4.05067962048415,3.8937594600899508
2020-04-03,7373.08,7477.27,7518.72,7288.11,-1.5256480631895886,230.61000000000058,3.1277295241608742,-0.13409355295827158
2020-04-02,7487.31,7317.45,7501.7,7307.95,1.7217393194558062,193.75,2.5877117416001205,-0.58595925864538
2020-04-01,7360.58,7459.5,7566.37,7301.98,-4.409293385800195,264.3900000000003,3.591972371742449,-3.1246347450033163
2020-03-31,7700.1,7740.06,7880.31,7642.86,-0.9525157091128889,237.45000000000073,3.0837261853742253,-0.43850453104196907
2020-03-30,7774.15,7583.46,7784.35,7539.97,3.6224504757156994,244.3800000000001,3.143494787211465,1.0807237170071353
2020-03-27,7502.38,7554.25,7716.24,7491.13,-3.785296388348114,225.10999999999967,3.000514503397584,-3.120086591412163
2020-03-26,7797.54,7462.21,7809.82,7462.21,5.596197337594622,347.6099999999997,4.457944428627486,1.055076310550761
2020-03-25,7384.3,7421.36,7671.21,7276.4,-0.45242158789731146,394.8100000000004,5.346613761629408,0.047183419476776324
2020-03-24,7417.86,7196.15,7418.37,7169.86,8.121509998294618,248.51000000000022,3.3501575926210556,4.889901423621885
