Symbol,Name,MarketCap,Sector,Industry
A,"Agilent Technologies, Inc.",23957725646.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation,1385068553.0,Basic Industries,Aluminum
AACG,ATA Creativity Global,9686664.4,Consumer Services,Other Consumer Services
AAL,"American Airlines Group, Inc.",4712209709.0,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp,22533696.0,Finance,Real Estate
AAME,Atlantic American Corporation,37873499.7,Finance,Life Insurance
AAN,"Aaron&#39;s,  Inc.",1649257015.0,Technology,Diversified Commercial Services
AAOI,"Applied Optoelectronics, Inc.",169337111.0,Technology,Semiconductors
AAON,"AAON, Inc.",2414145694.0,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc,7972925069.0,Consumer Services,Other Specialty Stores
AAPL,Apple Inc.,1211700000000.0,Technology,Computer Manufacturing
AAT,"American Assets Trust, Inc.",1534743225.0,Consumer Services,Real Estate Investment Trusts
AAU,"Almaden Minerals, Ltd.",40847288.47,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings,639308816.7,Transportation,Transportation Services
AAXN,"Axon Enterprise, Inc.",4593306760.0,Capital Goods,Ordnance And Accessories
AB,AllianceBernstein Holding L.P.,1975574854.0,Finance,Investment Managers
ABB,ABB Ltd,37336269443.0,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,124026000000.0,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation (Holding Co),18452018993.0,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,1535808990.0,Finance,Major Banks
ABEO,Abeona Therapeutics Inc.,209891558.9,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A.,35242112795.0,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,1056850878.0,Consumer Durables,Automotive Aftermarket
ABIO,"ARCA biopharma, Inc.",6822619.6,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated,2044899682.0,Finance,Diversified Commercial Services
ABMD,"ABIOMED, Inc.",7489414923.0,Health Care,Medical/Dental Instruments
ABR,Arbor Realty Trust,668176461.7,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories,172816000000.0,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",454508571.4,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation,86930703.44,Health Care,Major Pharmaceuticals
AC,"Associated Capital Group, Inc.",794479414.7,Finance,Investment Bankers/Brokers/Service
ACA,"Arcosa, Inc.",1928266974.0,Capital Goods,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc.,7725041640.0,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,379674720.9,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,0.0,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,0.0,Finance,Business Services
ACB,Aurora Cannabis Inc.,870356542.8,Consumer Durables,Specialty Chemicals
ACBI,"Atlantic Capital Bancshares, Inc.",235685820.7,Finance,Major Banks
ACC,American Campus Communities Inc,4362060970.0,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation,527017702.9,Consumer Durables,Publishing
ACEL,"Accel Entertainment, Inc.",705671636.1,Consumer Services,Services-Misc. Amusement & Recreation
ACER,Acer Therapeutics Inc.,19635117.32,Health Care,Major Pharmaceuticals
ACGL,Arch Capital Group Ltd.,10898531276.0,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,0.0,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,0.0,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited,3493052489.0,Basic Industries,Aluminum
ACHC,"Acadia Healthcare Company, Inc.",2050803978.0,Health Care,Medical Specialities
ACHV,"Achieve Life Sciences, Inc. ",11914050.32,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,"Acacia Communications, Inc.",2829414788.0,Technology,Semiconductors
ACIU,AC Immune SA,547568864.2,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",2995002990.0,Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",707852530.0,Technology,Industrial Machinery/Components
ACM,AECOM,5148894855.0,Consumer Services,Military/Government/Technical
ACMR,"ACM Research, Inc.",653444980.1,Technology,Industrial Machinery/Components
ACN,Accenture plc,111417000000.0,Miscellaneous,Business Services
ACNB,ACNB Corporation,206343762.8,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",57596427.6,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRE,Ares Commercial Real Estate Corporation,230050265.1,Consumer Services,Real Estate Investment Trusts
ACRS,"Aclaris Therapeutics, Inc.",47342857.08,Health Care,Major Pharmaceuticals
ACRX,"AcelRx Pharmaceuticals, Inc.",114184835.5,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",52321480.42,Health Care,Major Pharmaceuticals
ACTG,Acacia Research Corporation,125423748.1,Miscellaneous,Multi-Sector Companies
ACTT,Act II Global Acquisition Corp.,372375000.0,Consumer Non-Durables,Specialty Foods
ACTTU,Act II Global Acquisition Corp.,0.0,Consumer Non-Durables,Specialty Foods
ACTTW,Act II Global Acquisition Corp.,15203250.0,Consumer Non-Durables,Specialty Foods
ACU,Acme United Corporation.,72908827.5,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp.,2566167.44,Technology,Diversified Commercial Services
ADAP,Adaptimmune Therapeutics plc,297514439.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,166163000000.0,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,3000232742.0,Consumer Services,Real Estate Investment Trusts
ADES,"Advanced Emissions Solutions, Inc.",116649478.7,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",37157089383.0,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",15161889.62,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.0,Health Care,Major Pharmaceuticals
ADM,Archer-Daniels-Midland Company,20248931997.0,Consumer Non-Durables,Packaged Foods
ADMA,ADMA Biologics Inc,241766876.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation,25068977.92,Health Care,Major Pharmaceuticals
ADMS,"Adamas Pharmaceuticals, Inc.",98325082.44,Health Care,Major Pharmaceuticals
ADNT,Adient plc,1008279405.0,Capital Goods,Auto Parts:O.E.M.
ADP,"Automatic Data Processing, Inc.",60367879515.0,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation,3731430559.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRO,"Aduro Biotech, Inc.",251163929.7,Health Care,Major Pharmaceuticals
ADS,Alliance Data Systems Corporation,1737931525.0,Miscellaneous,Business Services
ADSK,"Autodesk, Inc.",39046275865.0,Technology,Computer Software: Prepackaged Software
ADSW,"Advanced Disposal Services, Inc.",2905678922.0,Public Utilities,Environmental Services
ADT,ADT Inc.,4043275971.0,Consumer Services,Diversified Commercial Services
ADTN,"ADTRAN, Inc.",465932671.2,Public Utilities,Telecommunications Equipment
ADUS,Addus HomeCare Corporation,1235405244.0,Health Care,Medical/Nursing Services
ADVM,"Adverum Biotechnologies, Inc.",1120318473.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd,6550584.5,Health Care,Major Pharmaceuticals
ADXS,"Advaxis, Inc.",37105383.91,Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",98243187.94,Energy,Oil Refining/Marketing
AEB,Aegon NV,0.0,Finance,Life Insurance
AEE,Ameren Corporation,18071036410.0,Public Utilities,Power Generation
AEFC,Aegon Funding Company LLC,0.0,Finance,Life Insurance
AEG,Aegon NV,4905589768.0,Finance,Life Insurance
AEGN,Aegion Corp,431252192.0,Basic Industries,Water Supply
AEHR,Aehr Test Systems,37974687.3,Capital Goods,Electrical Products
AEIS,"Advanced Energy Industries, Inc.",1986683928.0,Capital Goods,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,1754628492.0,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited,12976722027.0,Basic Industries,Precious Metals
AEMD,"Aethlon Medical, Inc.",14047176.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEO,"American Eagle Outfitters, Inc.",1421227736.0,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",41026582805.0,Public Utilities,Electric Utilities: Central
AER,Aercap Holdings N.V.,3021156907.0,Technology,Diversified Commercial Services
AERI,"Aerie Pharmaceuticals, Inc.",684355441.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation,8442555683.0,Basic Industries,Electric Utilities: Central
AESE,"Allied Esports Entertainment, Inc.",53377155.82,Consumer Services,Services-Misc. Amusement & Recreation
AEY,"ADDvantage Technologies Group, Inc.",24749812.83,Consumer Services,Office Equipment/Supplies/Services
AEYE,"AudioEye, Inc.",59029077.45,Technology,Computer Software: Prepackaged Software
AEZS,AEterna Zentaris Inc.,16626236.3,Health Care,Major Pharmaceuticals
AFG,"American Financial Group, Inc.",6034818686.0,Finance,Property-Casualty Insurers
AFGB,"American Financial Group, Inc.",0.0,Finance,Property-Casualty Insurers
AFGC,"American Financial Group, Inc.",24202955.0,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",0.0,Finance,Property-Casualty Insurers
AFH,"Atlas Financial Holdings, Inc.",4099967.36,Finance,Property-Casualty Insurers
AFI,"Armstrong Flooring, Inc.",33786753.25,Consumer Non-Durables,Plastic Products
AFIN,"American Finance Trust, Inc.",710512992.3,Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",22800000.0,Consumer Services,Real Estate Investment Trusts
AFL,Aflac Incorporated,26118791087.0,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,170750540.8,Health Care,Major Pharmaceuticals
AFYA,Afya Limited,1674628172.0,Consumer Services,Other Consumer Services
AG,First Majestic Silver Corp.,1494244677.0,Basic Industries,Precious Metals
AGBA,AGBA Acquisition Limited,61069877.5,Finance,Business Services
AGBAR,AGBA Acquisition Limited,0.0,Finance,Business Services
AGBAU,AGBA Acquisition Limited,61064500.0,Finance,Business Services
AGBAW,AGBA Acquisition Limited,0.0,Finance,Business Services
AGCO,AGCO Corporation,3689659359.0,Capital Goods,Industrial Machinery/Components
AGE,"AgeX Therapeutics, Inc.",29838943.25,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,449219988.7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,"AgroFresh Solutions, Inc.",87031671.7,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.0,Finance,Business Services
AGI,Alamos Gold Inc.,2605343451.0,Basic Industries,Precious Metals
AGIO,"Agios Pharmaceuticals, Inc.",3190119255.0,Health Care,Major Pharmaceuticals
AGLE,"Aeglea BioTherapeutics, Inc.",153860903.7,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation,623119948.5,Finance,Finance Companies
AGMH,AGM Group Holdings Inc.,358027033.7,Technology,EDP Services
AGN,Allergan plc.,61651687591.0,Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,6801046000.0,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,0.0,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,295230.0,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,202570000.0,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,0.0,Consumer Services,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd.,2713667905.0,Finance,Property-Casualty Insurers
AGR,"Avangrid, Inc.",13630222548.0,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A.,467173339.5,Consumer Non-Durables,Farming/Seeds/Milling
AGRX,"Agile Therapeutics, Inc.",189791464.9,Health Care,Major Pharmaceuticals
AGS,"PlayAGS, Inc.",103079342.9,Consumer Durables,Miscellaneous manufacturing industries
AGTC,Applied Genetic Technologies Corporation,103042752.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,"Argan, Inc.",598418534.3,Basic Industries,Engineering & Construction
AGYS,"Agilysys, Inc.",412576632.5,Technology,EDP Services
AHC,A.H. Belo Corporation,31045113.35,Consumer Services,Newspapers/Magazines
AHCO,AdaptHealth Corp. ,1071135335.0,Health Care,Medical/Nursing Services
AHH,"Armada Hoffler Properties, Inc.",664881926.4,Finance,Real Estate
AHI,"Avadim Health, Inc.",0.0,Consumer Non-Durables,Package Goods/Cosmetics
AHPI,"Allied Healthcare Products, Inc.",56390194.85,Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc,69373830.08,Consumer Services,Real Estate Investment Trusts
AI,Arlington Asset Investment Corp,99034397.09,Consumer Services,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp,0.0,Consumer Services,Real Estate Investment Trusts
AIG,"American International Group, Inc.",20455640516.0,Finance,Property-Casualty Insurers
AIH,Aesthetic Medical International Holdings Group Ltd.,22700000.0,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited,11737799.82,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc.,28901400.62,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIM,"Hemispherx BioPharma, Inc.",66302584.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp.,1183392869.0,Capital Goods,Industrial Machinery/Components
AIMT,"Aimmune Therapeutics, Inc.",1100310610.0,Health Care,Major Pharmaceuticals
AIN,Albany International Corporation,1543325363.0,Basic Industries,Textiles
AINC,Ashford Inc.,19293727.29,Consumer Services,Professional Services
AIR,AAR Corp.,603380964.2,Capital Goods,Aerospace
AIRG,"Airgain, Inc.",69299837.75,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group,37248977.78,Capital Goods,Military/Government/Technical
AIRT,"Air T, Inc.",37776409.03,Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",0.0,Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",0.0,Transportation,Air Freight/Delivery Services
AIT,"Applied Industrial Technologies, Inc.",1803580926.0,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company,5468724361.0,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp,0.0,Consumer Services,Real Estate Investment Trusts
AIZ,"Assurant, Inc.",6153977377.0,Finance,Property-Casualty Insurers
AIZP,"Assurant, Inc.",301501250.0,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co.,15316493769.0,Finance,Specialty Insurers
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",3315251235.0,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp.,170051658.2,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp.,0.0,Consumer Services,Real Estate Investment Trusts
AKAM,"Akamai Technologies, Inc.",17261805188.0,Miscellaneous,Business Services
AKBA,"Akebia Therapeutics, Inc.",968742634.5,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",1713203690.0,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,11015197.6,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKG,Asanko Gold Inc.,247160815.1,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AKR,Acadia Realty Trust,930977981.9,Consumer Services,Real Estate Investment Trusts
AKRO,"Akero Therapeutics, Inc.",621363870.4,Health Care,Major Pharmaceuticals
AKRX,"Akorn, Inc.",43687327.68,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",270506523.4,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics Plc,35858083.2,Health Care,Major Pharmaceuticals
AL,Air Lease Corporation,2513605979.0,Technology,Diversified Commercial Services
ALAC,Alberton Acquisition Corporation,153801682.5,Finance,Business Services
ALACR,Alberton Acquisition Corporation,0.0,Finance,Business Services
ALACU,Alberton Acquisition Corporation,0.0,Finance,Business Services
ALACW,Alberton Acquisition Corporation,0.0,Finance,Business Services
ALB,Albemarle Corporation,6379116840.0,Basic Industries,Major Chemicals
ALBO,"Albireo Pharma, Inc.",272764591.3,Health Care,Major Pharmaceuticals
