Date,Close/Last,Open,High,Low
04/21/2020,9.06,11.35,13.86,8.91
04/20/2020,-37.63,-37.25,-35.2,-40.32
04/17/2020,18.27,20.0,20.22,17.31
04/16/2020,19.75,20.15,20.53,19.42
04/15/2020,19.87,20.72,20.89,19.2
04/14/2020,20.11,22.36,23.08,19.95
04/13/2020,22.41,23.67,24.57,22.03
04/09/2020,22.76,26.28,28.36,22.57
04/08/2020,25.09,25.78,26.39,24.87
04/07/2020,23.63,26.34,27.24,23.54
04/06/2020,26.08,25.95,28.24,25.63
04/03/2020,28.34,24.81,29.13,23.52
04/02/2020,25.32,25.87,27.13,23.34
04/01/2020,20.31,20.1,21.55,19.9
03/31/2020,20.48,20.23,21.89,20.01
03/30/2020,20.09,20.93,20.86,19.27
03/27/2020,21.51,23.29,23.44,20.88
03/26/2020,22.6,24.25,24.65,22.38
03/25/2020,24.49,24.37,25.24,22.91
03/24/2020,24.01,23.87,25.16,23.09
03/23/2020,23.36,22.19,24.07,20.8
03/20/2020,22.43,24.73,27.89,19.46
03/19/2020,25.22,22.3,27.71,21.36
03/18/2020,20.37,26.94,27.22,20.06
03/17/2020,26.95,28.69,30.3,26.63
03/16/2020,28.7,28.23,30.42,28.22
03/13/2020,31.73,30.77,33.87,30.33
03/12/2020,31.5,33.07,33.63,30.02
03/11/2020,32.98,34.62,36.35,32.56
03/10/2020,34.36,30.37,35.02,30.2
03/09/2020,31.13,32.87,34.88,27.34
03/06/2020,41.28,46.09,46.38,41.05
03/05/2020,45.9,47.45,47.54,45.65
03/04/2020,46.78,46.94,48.41,46.65
03/03/2020,47.18,47.72,48.66,46.47
03/02/2020,46.75,43.7,47.56,43.32
02/28/2020,44.76,46.49,47.03,43.85
02/27/2020,47.09,46.97,46.99,46.17
02/26/2020,48.73,48.71,48.74,48.59
02/25/2020,49.9,50.14,50.17,49.69
02/24/2020,51.43,51.44,51.46,51.17
02/21/2020,53.38,53.74,53.86,52.55
02/20/2020,53.78,53.5,54.5,53.22
02/19/2020,53.29,52.12,53.66,51.93
02/18/2020,52.12,52.1,52.41,50.88
02/14/2020,52.05,51.51,52.34,51.32
02/13/2020,51.42,51.72,51.96,50.6
02/12/2020,51.17,49.96,51.73,49.95
02/11/2020,49.94,49.61,50.69,49.58
02/10/2020,49.57,50.12,50.49,49.42
02/07/2020,50.32,51.11,51.48,50.09
02/06/2020,50.95,51.17,52.2,50.24
02/05/2020,50.75,49.51,51.88,49.47
02/04/2020,49.61,49.94,51.55,49.31
02/03/2020,50.11,51.01,51.97,49.8
01/31/2020,51.56,52.92,53.36,50.97
01/30/2020,52.14,53.09,53.2,51.66
01/29/2020,53.33,53.97,54.37,52.81
01/28/2020,53.48,52.77,54.06,52.68
01/27/2020,53.14,53.7,53.71,52.13
01/24/2020,54.19,54.25,54.42,54.15
01/23/2020,55.59,56.11,56.27,54.77
01/22/2020,56.74,56.88,57.1,56.03
01/21/2020,58.34,58.8,59.73,57.68
01/17/2020,58.54,58.59,58.98,58.27
01/16/2020,58.52,58.1,58.87,57.56
01/15/2020,57.81,58.2,58.36,57.36
01/14/2020,58.23,58.03,58.72,57.72
01/13/2020,58.08,59.04,59.27,57.91
01/10/2020,59.04,59.61,59.78,58.85
01/09/2020,59.56,59.99,60.31,58.66
01/08/2020,59.61,59.91,60.46,59.84
01/07/2020,62.7,62.91,63.15,62.11
01/06/2020,63.27,63.71,64.72,62.64
01/03/2020,63.05,61.18,64.09,61.13
01/02/2020,61.18,61.6,61.6,60.64
12/31/2019,61.06,61.68,61.88,60.63
12/30/2019,61.68,61.71,62.34,61.09
12/27/2019,61.72,61.73,61.97,61.24
12/26/2019,61.68,61.2,61.83,61.06
12/24/2019,61.11,60.63,61.16,60.47
12/23/2019,60.52,60.41,60.77,60.1
12/20/2019,60.44,61.11,61.2,60.02
12/19/2019,61.18,60.81,61.4,60.69
12/18/2019,60.93,60.55,61.18,60.32
12/17/2019,60.94,60.23,61.06,60.03
12/16/2019,60.21,59.87,60.34,59.71
12/13/2019,60.07,59.36,60.48,59.27
12/12/2019,59.18,59.46,59.5,59.2
12/11/2019,58.76,58.8,58.87,58.79
12/10/2019,59.24,58.92,59.52,58.52
12/09/2019,59.02,59.11,59.25,58.23
12/06/2019,59.2,58.32,59.85,57.7
12/05/2019,58.33,58.36,59.12,58.1
12/04/2019,58.43,56.43,58.66,56.28
12/03/2019,56.1,55.96,56.8,55.35
12/02/2019,55.96,55.47,56.67,55.42
11/29/2019,55.17,58.2,58.3,55.02
11/27/2019,58.11,58.27,58.68,57.51
11/26/2019,58.41,57.92,58.56,57.76
11/25/2019,58.01,57.92,58.15,57.21
11/22/2019,57.77,58.31,58.74,57.5
11/21/2019,58.58,57.0,58.67,56.6
11/20/2019,57.11,55.16,57.25,54.76
11/19/2019,55.21,56.9,57.11,55.04
11/18/2019,57.05,57.88,58.09,56.55
11/15/2019,57.72,57.75,57.94,57.59
11/14/2019,56.77,57.39,57.79,56.63
11/13/2019,57.12,57.19,57.52,57.17
11/12/2019,56.8,56.89,57.55,56.54
11/11/2019,56.86,57.4,57.4,56.25
11/08/2019,57.24,57.08,57.48,55.76
11/07/2019,57.15,56.84,57.1,56.83
11/06/2019,56.35,56.34,56.58,56.29
11/05/2019,57.23,56.56,57.5,56.3
11/04/2019,56.54,56.41,57.43,55.83
11/01/2019,56.2,54.15,56.33,54.07
10/31/2019,54.18,54.9,55.59,53.71
10/30/2019,55.06,55.53,55.73,54.42
10/29/2019,55.54,55.8,55.91,54.61
10/28/2019,55.81,56.65,56.92,55.58
10/25/2019,56.66,56.71,56.74,56.57
10/24/2019,56.23,55.9,56.51,55.41
10/23/2019,55.97,54.3,56.07,53.62
10/22/2019,54.16,53.39,54.62,53.1
10/21/2019,53.31,53.71,54.03,52.71
10/18/2019,53.78,54.09,54.62,53.35
10/17/2019,53.93,52.99,54.16,52.62
10/16/2019,53.36,52.92,53.74,52.51
10/15/2019,52.81,53.51,53.79,52.39
10/14/2019,53.59,54.9,54.9,52.77
10/11/2019,54.7,53.88,54.93,53.64
10/10/2019,53.55,52.69,53.97,51.38
10/09/2019,52.59,52.58,52.75,52.51
10/08/2019,52.63,52.81,53.27,51.81
10/07/2019,52.75,52.76,53.07,52.71
10/04/2019,52.81,52.29,53.35,52.04
10/03/2019,52.45,52.47,52.91,50.99
10/02/2019,52.64,54.0,54.42,52.17
10/01/2019,53.62,54.28,54.84,53.05
09/30/2019,54.07,56.54,56.57,53.98
09/27/2019,55.91,56.51,56.76,54.75
09/26/2019,56.41,56.69,56.84,55.41
09/25/2019,56.49,56.7,57.02,55.55
09/24/2019,57.29,58.44,58.49,56.69
09/23/2019,58.64,59.25,59.39,57.37
09/20/2019,58.09,58.65,59.1,57.79
09/19/2019,58.13,58.2,59.54,58.01
