Date,Close/Last,Open,High,Low
04/21/2020,296.75,291.0,298.5,288.75
04/20/2020,274.75,273.25,275.0,271.5
04/17/2020,272.0,274.0,275.0,271.5
04/16/2020,289.25,283.5,289.75,281.75
04/15/2020,285.5,276.75,286.5,275.0
04/14/2020,277.25,274.25,280.25,272.0
04/13/2020,274.75,274.75,276.5,270.5
04/09/2020,274.25,275.5,278.0,272.25
04/08/2020,275.5,274.5,276.25,270.0
04/07/2020,274.25,272.25,277.0,268.5
04/06/2020,273.5,274.0,279.0,268.0
04/03/2020,272.75,264.5,277.5,263.0
04/02/2020,264.5,261.5,264.5,259.0
04/01/2020,260.25,264.0,265.25,259.0
03/31/2020,267.5,260.0,268.0,258.5
03/30/2020,261.5,265.75,269.5,261.25
03/27/2020,265.5,262.0,269.75,260.25
03/26/2020,261.0,266.25,266.25,258.0
03/25/2020,266.0,270.5,274.0,265.25
03/24/2020,269.5,270.0,270.5,267.25
03/23/2020,268.5,265.25,269.75,257.5
03/20/2020,262.0,262.25,268.0,260.75
03/19/2020,261.25,256.0,272.5,256.0
03/18/2020,255.25,252.75,265.75,252.25
03/17/2020,253.5,257.0,259.25,251.5
03/16/2020,259.5,267.25,268.75,248.25
03/13/2020,268.25,275.0,278.75,267.0
03/12/2020,275.0,275.0,276.75,267.75
03/11/2020,274.5,277.25,279.0,272.25
03/10/2020,275.0,267.5,281.75,267.5
03/09/2020,267.5,269.0,270.75,255.25
03/06/2020,268.25,270.5,272.0,266.5
03/05/2020,270.5,269.75,272.25,268.25
03/04/2020,270.75,263.0,272.0,262.75
03/03/2020,264.5,265.5,269.0,260.5
03/02/2020,265.5,267.5,269.75,265.0
02/28/2020,272.75,279.0,282.0,270.0
02/27/2020,279.75,285.25,287.5,277.0
02/26/2020,285.75,290.75,292.25,283.0
02/25/2020,291.75,291.5,293.5,290.0
02/24/2020,289.75,296.5,298.75,289.0
02/21/2020,298.0,299.75,301.75,296.0
02/20/2020,299.5,302.0,302.75,297.5
02/19/2020,301.25,302.0,305.0,300.75
02/18/2020,303.5,296.5,304.75,295.0
02/14/2020,296.0,296.5,297.75,293.75
02/13/2020,295.75,301.75,302.5,294.25
02/12/2020,304.0,300.5,306.75,298.25
02/11/2020,296.5,297.75,298.0,296.0
02/10/2020,301.75,303.0,303.5,297.75
02/07/2020,303.0,304.5,305.0,302.25
02/06/2020,304.75,305.75,306.0,302.75
