Date, Close/Last, Volume, Open, High, Low
04/21/2020, 513, N/A, 513, 513, 513
04/20/2020, 502.25, 32981, 487, 514, 486.5
04/17/2020, 485.25, 20851, 477, 486.5, 472.75
04/16/2020, 476.75, 26282, 485.75, 494, 475.75
04/15/2020, 487, 32020, 489, 491.25, 476.5
04/14/2020, 491, 31599, 500, 502.5, 486.5
04/13/2020, 500.75, 30383, 502, 508.5, 497
04/09/2020, 499, 32126, 485, 500, 484.5
04/08/2020, 478, 20313, 474, 481, 471
04/07/2020, 499, 5746, 501, 504, 496.25
04/06/2020, 475.75, 20626, 472.25, 485, 472.25
04/03/2020, 472, 17698, 464, 477.75, 463.75
04/02/2020, 464, 20325, 475.25, 478, 460.5
04/01/2020, 475, 29342, 493, 496.75, 470.75
03/31/2020, 493, 25597, 486.75, 497, 482.5
03/30/2020, 487.25, 19150, 487.25, 494.5, 479.75
03/27/2020, 486.75, 36780, 487, 505, 483
03/26/2020, 487.25, 25575, 501, 503.5, 485
03/25/2020, 501, 29061, 490, 505.75, 486.5
03/24/2020, 490.75, 25653, 489, 491.5, 480.5
03/23/2020, 489.5, 34792, 472.25, 491.75, 468
03/20/2020, 469, 29603, 466, 477.25, 464.75
03/19/2020, 465.5, 50340, 447.5, 476.25, 447.5
03/18/2020, 446.5, 45940, 433.75, 448.5, 429
03/17/2020, 432.25, 41856, 422.75, 438.75, 420.25
03/16/2020, 423.75, 29702, 429.25, 432, 420
03/13/2020, 431.5, 23988, 432.75, 440.5, 426.75
03/12/2020, 432.75, 27657, 436, 436.25, 424
03/11/2020, 435.5, 21007, 443, 447.5, 434.25
03/10/2020, 444.75, 27064, 442.75, 448, 437.75
03/09/2020, 441, 36643, 441, 446.5, 433
03/06/2020, 444, 24719, 446.5, 447.75, 440.5
03/05/2020, 446.25, 26272, 453, 455, 444.5
03/04/2020, 453.25, 17443, 458.25, 458.75, 450.25
03/03/2020, 458.25, 21321, 460, 465.75, 455.5
03/02/2020, 457.75, 30373, 447.5, 459.75, 445.5
02/28/2020, 453.25, 33309, 451.5, 456, 439
02/27/2020, 451.75, 27422, 457, 458.75, 451
02/26/2020, 459.25, 30286, 462, 466.5, 458
02/25/2020, 462, 27861, 461, 464.25, 455.25
02/24/2020, 459.25, 36469, 475, 475.25, 458.5
02/21/2020, 475.5, 27879, 480.25, 486.75, 475
02/20/2020, 481, 16526, 481.25, 482, 479.25
02/19/2020, 486.75, 23125, 491.75, 492, 478.75
02/18/2020, 493, 31758, 474, 493.5, 473.25
02/14/2020, 472.25, 21513, 474, 478.25, 471.75
02/13/2020, 472.75, 31873, 476.5, 477.25, 469.25
02/12/2020, 471, 28403, 467, 472.75, 464.5
02/11/2020, 468.25, 62411, 472.25, 474, 465.5
02/10/2020, 471.75, 41124, 472.5, 476.5, 469
02/07/2020, 472.5, 30160, 467.25, 474, 466
02/06/2020, 467.75, 13648, 473.75, 477, 467
02/05/2020, 473.75, 17261, 467.75, 474.75, 467.5
02/04/2020, 467.25, 20480, 464.25, 475.25, 464
02/03/2020, 466.75, 26918, 464, 468.75, 458.5
01/31/2020, 465.5, 19661, 471, 469.25, 463.5
01/30/2020, 471, 21268, 471.75, 473, 463.25
01/29/2020, 472, 22114, 482.75, 485.5, 471.25
01/28/2020, 482, 20915, 486.75, 490.25, 480
01/27/2020, 486.5, 22172, 483, 487.75, 476.5
01/24/2020, 486, 23588, 492.5, 493, 483.75
