Date, Close/Last, Volume, Open, High, Low
04/21/2020, 14.34, 1357, 14.22, 14.445, 14.1
04/20/2020, 14.56, 868, 14.5, 14.73, 14.435
04/17/2020, 14.495, 426, 14.365, 14.515, 14.335
04/16/2020, 14.325, 923, 14.27, 14.335, 14.24
04/15/2020, 14.19, 478, 14.265, 14.355, 14.135
04/14/2020, 14.28, 771, 14.345, 14.47, 14.125
04/13/2020, 14.325, 456, 14.46, 14.605, 14.315
04/09/2020, 14.52, 494, 14.205, 14.545, 14.185
04/08/2020, 14.315, 471, 14.385, 14.39, 14.07
04/07/2020, 14.34, 733, 14.64, 14.66, 14.065
04/06/2020, 14.68, 719, 14.61, 14.74, 14.595
04/03/2020, 14.55, 828, 14.3, 14.68, 14.27
04/02/2020, 14.245, 755, 14.065, 14.33, 14.055
04/01/2020, 14.055, 1189, 14, 14.14, 13.815
03/31/2020, 14.035, 695, 14.095, 14.13, 14
03/30/2020, 14.095, 643, 13.995, 14.17, 13.97
03/27/2020, 13.97, 394, 13.725, 14.09, 13.725
03/26/2020, 13.77, 481, 13.56, 13.81, 13.56
03/25/2020, 13.625, 474, 13.29, 13.65, 13.28
03/24/2020, 13.28, 363, 13.23, 13.395, 13.21
03/23/2020, 13.235, 649, 13.385, 13.49, 13.155
03/20/2020, 13.285, 1029, 14.005, 14.015, 13.23
03/19/2020, 13.92, 971, 14.175, 14.32, 13.895
03/18/2020, 14.29, 1433, 13.93, 14.35, 13.8
03/17/2020, 13.95, 1698, 13.615, 14.065, 13.58
03/16/2020, 13.615, 852, 13.345, 13.665, 13.27
03/13/2020, 13.32, 1008, 13.15, 13.42, 13.06
03/12/2020, 13.155, 810, 13, 13.275, 12.805
03/11/2020, 12.98, 962, 12.89, 13.1, 12.855
03/10/2020, 12.85, 1230, 12.755, 13, 12.71
03/09/2020, 12.74, 1118, 12.89, 12.9, 12.69
03/06/2020, 12.91, 1407, 13.12, 13.12, 12.88
03/05/2020, 13.105, 1574, 13.485, 13.515, 13.1
03/04/2020, 13.475, 293, 13.495, 13.52, 13.45
03/03/2020, 13.53, 217, 13.57, 13.68, 13.5
03/02/2020, 13.595, 439, 13.585, 13.695, 13.58
02/28/2020, 13.6, 924, 13.61, 13.785, 13.425
02/27/2020, 13.57, 1028, 13.505, 13.59, 13.33
02/26/2020, 13.525, 885, 13.585, 13.635, 13.5
02/25/2020, 13.58, 1373, 13.51, 13.615, 13.475
02/24/2020, 13.55, 822, 13.605, 13.605, 13.46
02/21/2020, 13.59, 1236, 13.66, 13.675, 13.525
02/20/2020, 13.655, 1011, 13.64, 13.745, 13.59
02/19/2020, 13.645, 663, 13.625, 13.7, 13.55
02/18/2020, 13.66, 1369, 13.485, 13.69, 13.485
02/14/2020, 13.33, 785, 13.295, 13.42, 13.24
02/13/2020, 13.305, 1717, 13.4, 13.4, 13.08
02/12/2020, 13.39, 1294, 13.555, 13.6, 13.385
02/11/2020, 13.605, 1136, 13.75, 13.75, 13.535
02/10/2020, 13.695, 1141, 13.6, 13.86, 13.57
02/07/2020, 13.615, 516, 13.525, 13.65, 13.51
02/06/2020, 13.525, 637, 13.54, 13.55, 13.485
02/05/2020, 13.54, 909, 13.45, 13.575, 13.43
02/04/2020, 13.585, 304, 13.58, 13.605, 13.5
02/03/2020, 13.565, 555, 13.575, 13.665, 13.495
01/31/2020, 13.61, 520, 13.655, 13.68, 13.465
01/30/2020, 13.56, 801, 13.69, 13.72, 13.48
01/29/2020, 13.665, 737, 13.6, 13.74, 13.56
01/28/2020, 13.585, 570, 13.47, 13.605, 13.405
01/27/2020, 13.47, 407, 13.485, 13.55, 13.35
01/24/2020, 13.585, 333, 13.58, 13.655, 13.53
01/23/2020, 13.625, 762, 13.425, 13.705, 13.375
01/22/2020, 13.435, 315, 13.395, 13.475, 13.35
01/21/2020, 13.415, 439, 13.485, 13.585, 13.38
01/17/2020, 13.515, 869, 13.33, 13.635, 13.305
01/16/2020, 13.335, 375, 13.365, 13.42, 13.265
01/15/2020, 13.36, 453, 13.35, 13.41, 13.26
01/14/2020, 13.355, 422, 13.2, 13.385, 13.18
01/13/2020, 13.225, 588, 13.305, 13.355, 13.155
01/10/2020, 13.33, 904, 13.27, 13.4, 13.055
01/09/2020, 13.275, 1520, 13.02, 13.495, 13.015
01/08/2020, 13.07, 270, 13.05, 13.125, 12.995
01/07/2020, 13.06, 742, 13.045, 13.075, 12.855
01/06/2020, 13.055, 535, 13.17, 13.215, 12.97
01/03/2020, 13.22, 625, 13.08, 13.22, 13.06
01/02/2020, 13.16, 756, 13.255, 13.28, 13.05
12/31/2019, 13.285, 554, 13.195, 13.315, 13.155
12/30/2019, 13.26, 1406, 13.17, 13.3, 13.115
