Date,Close/Last,Open,High,Low
04/21/2020,294.5,291.1,295.1,286.5
04/20/2020,290.8,293.1,294.2,290.3
04/17/2020,293.1,297.2,298.3,292.4
04/16/2020,296.1,296.3,298.8,295.3
04/15/2020,296.6,293.4,298.8,293.3
04/14/2020,293.1,294.7,294.8,291.5
04/13/2020,294.5,298.0,299.4,293.9
04/09/2020,298.3,298.1,299.5,295.8
04/08/2020,292.8,293.8,297.3,292.2
04/07/2020,293.8,297.4,297.5,293.7
04/06/2020,297.0,302.7,303.4,296.8
04/03/2020,303.2,309.0,310.5,299.2
04/02/2020,309.1,315.5,317.1,308.5
04/01/2020,314.9,321.9,322.6,314.4
03/31/2020,321.5,326.0,326.9,320.3
03/30/2020,325.5,323.2,328.9,322.2
03/27/2020,323.1,324.1,328.1,320.7
03/26/2020,322.9,321.4,327.7,317.2
03/25/2020,321.7,332.1,333.4,320.1
03/24/2020,332.1,335.9,336.3,326.6
03/23/2020,333.6,324.5,335.2,324.0
03/20/2020,325.2,315.7,326.6,313.6
03/19/2020,314.8,305.0,320.5,304.0
03/18/2020,304.0,298.3,305.0,298.3
03/17/2020,298.3,296.5,299.5,295.6
03/16/2020,296.3,298.6,300.6,296.0
03/13/2020,299.5,302.3,307.1,299.0
03/12/2020,302.8,301.4,303.8,297.7
03/11/2020,301.6,301.9,305.4,300.9
03/10/2020,301.9,300.8,306.6,300.8
03/09/2020,300.4,303.0,303.3,296.2
03/06/2020,305.1,305.1,305.9,303.7
03/05/2020,303.9,308.6,309.5,303.4
03/04/2020,308.9,310.2,310.9,308.2
03/03/2020,310.1,309.0,310.6,307.0
03/02/2020,308.9,308.9,310.0,308.0
02/28/2020,305.6,304.7,307.4,300.8
02/27/2020,303.6,297.3,304.3,294.0
02/26/2020,298.3,294.1,300.4,292.5
02/25/2020,299.3,298.3,299.7,297.7
02/24/2020,292.0,294.7,294.8,290.7
02/21/2020,294.8,298.3,301.2,294.6
02/20/2020,298.3,298.5,298.7,297.4
02/19/2020,298.5,297.5,298.8,296.5
02/18/2020,297.6,296.4,298.4,295.4
02/14/2020,296.6,297.2,297.3,294.5
02/13/2020,297.6,297.2,299.4,296.5
02/12/2020,291.7,290.8,292.5,289.8
02/11/2020,290.8,291.5,293.1,289.2
02/10/2020,291.4,290.0,294.5,289.2
02/07/2020,289.3,288.0,291.5,288.0
02/06/2020,288.2,287.4,289.8,286.4
02/05/2020,287.4,288.2,288.4,287.3
02/04/2020,288.5,289.8,292.4,287.5
02/03/2020,289.8,290.9,291.4,287.1
01/31/2020,291.0,291.6,292.4,290.7
01/30/2020,291.5,296.0,296.3,291.0
01/29/2020,296.1,297.8,298.9,295.1
01/28/2020,297.6,297.8,299.4,296.4
01/27/2020,297.8,297.3,299.1,295.2
01/24/2020,298.3,298.5,300.5,297.6
01/23/2020,298.9,297.9,299.1,296.0
01/22/2020,297.9,299.1,299.8,297.4
01/21/2020,299.1,301.0,301.3,298.8
01/17/2020,300.6,300.1,302.0,299.6
01/16/2020,300.6,300.2,301.1,299.0
01/15/2020,300.1,302.5,303.9,300.0
01/14/2020,302.0,303.0,306.8,300.8
01/13/2020,303.8,301.9,304.2,301.8
01/10/2020,303.5,300.3,303.8,300.3
01/09/2020,300.8,301.8,303.0,299.2
01/08/2020,301.8,301.3,303.2,300.4
01/07/2020,301.3,302.8,304.0,300.4
01/06/2020,302.9,303.3,303.3,302.5
01/03/2020,301.2,305.3,306.3,300.3
01/02/2020,305.6,304.3,307.5,303.0
12/31/2019,304.7,302.8,307.1,301.7
12/30/2019,302.3,300.7,303.3,300.2
12/27/2019,300.4,303.9,304.8,300.1
12/26/2019,304.0,305.9,306.3,302.8
12/24/2019,306.1,305.8,307.6,304.0
12/23/2019,305.8,302.2,306.4,302.1
12/20/2019,302.2,303.3,304.0,302.0
12/19/2019,302.7,306.8,307.4,302.0
12/18/2019,307.4,306.4,307.9,304.0
12/17/2019,306.4,305.1,307.5,303.0
12/16/2019,305.8,302.5,305.9,301.8
12/13/2019,301.3,300.7,302.1,299.1
12/12/2019,298.7,299.5,301.8,297.4
12/11/2019,299.3,301.5,302.2,298.6
12/10/2019,298.7,298.5,300.2,297.3
12/09/2019,298.5,299.5,301.6,298.1
12/06/2019,299.3,299.7,300.8,298.5
12/05/2019,301.5,296.7,303.3,295.6
12/04/2019,296.7,295.0,298.0,294.9
12/03/2019,294.7,294.4,295.4,293.4
12/02/2019,293.5,293.3,294.2,292.6
11/29/2019,293.1,296.2,296.5,292.8
11/27/2019,296.2,297.3,299.0,296.0
11/26/2019,297.1,300.6,301.2,296.7
11/25/2019,300.6,301.0,302.7,300.3
11/22/2019,301.2,303.1,303.6,300.5
11/21/2019,303.2,302.0,304.9,301.9
11/20/2019,302.0,302.6,302.7,301.5
11/19/2019,306.8,307.0,308.6,306.7
11/18/2019,303.8,309.2,310.0,303.1
11/15/2019,309.2,305.8,309.5,305.4
11/14/2019,305.3,306.1,307.1,303.8
11/13/2019,304.1,302.1,306.4,301.7
11/12/2019,302.3,300.6,303.2,300.5
11/11/2019,300.6,303.7,304.1,300.3
11/08/2019,304.9,305.6,306.4,301.8
11/07/2019,305.6,299.4,306.2,299.2
11/06/2019,298.9,301.4,301.6,298.5
11/05/2019,302.7,302.4,303.4,301.6
11/04/2019,302.4,303.9,304.3,302.0
11/01/2019,303.9,304.4,306.6,303.7
10/31/2019,304.4,302.3,305.2,301.5
10/30/2019,302.2,303.0,304.1,302.0
10/29/2019,303.0,304.1,305.8,302.2
10/28/2019,304.0,303.3,305.2,303.1
10/25/2019,303.3,305.8,307.3,303.0
