Date,Close/Last,Open,High,Low
04/21/2020,548.75,553.75,558.25,544.5
04/20/2020,547.5,536.0,561.5,535.5
04/17/2020,533.75,529.0,535.75,525.0
04/16/2020,530.5,539.75,544.25,529.0
04/15/2020,540.5,548.0,550.0,531.5
04/14/2020,549.75,555.75,557.25,546.25
04/13/2020,555.5,560.0,564.5,552.75
04/09/2020,557.5,549.25,559.25,546.5
04/08/2020,548.25,551.0,554.5,545.0
04/07/2020,549.25,555.25,555.75,545.25
04/06/2020,555.75,550.0,561.75,549.75
04/03/2020,549.25,541.75,556.5,541.5
04/02/2020,541.75,550.25,553.25,538.25
04/01/2020,550.25,567.25,571.75,546.5
03/31/2020,568.75,569.75,575.25,564.25
03/30/2020,569.5,572.25,580.75,562.75
03/27/2020,571.25,569.5,587.0,563.5
03/26/2020,569.0,579.5,583.0,564.5
03/25/2020,580.0,560.0,583.25,556.75
03/24/2020,561.5,560.5,562.5,549.75
03/23/2020,562.5,539.5,563.25,537.25
03/20/2020,539.25,534.5,547.0,533.0
03/19/2020,535.0,508.5,540.5,508.5
03/18/2020,508.25,500.75,512.0,494.5
03/17/2020,499.25,496.25,506.5,494.5
03/16/2020,498.0,503.0,507.25,491.75
03/13/2020,506.0,505.0,513.75,499.5
03/12/2020,505.5,510.5,510.75,497.25
03/11/2020,512.75,521.75,524.75,511.75
03/10/2020,522.25,520.0,525.0,514.0
03/09/2020,518.75,509.0,522.5,505.75
03/06/2020,515.75,518.0,520.75,510.0
03/05/2020,518.75,518.5,523.75,514.5
03/04/2020,518.25,525.25,526.25,516.75
03/03/2020,527.25,523.75,534.0,521.0
03/02/2020,523.25,519.0,525.0,516.75
02/28/2020,525.0,525.5,526.5,512.5
02/27/2020,527.5,532.25,534.25,526.25
02/26/2020,535.75,537.0,540.0,532.75
02/25/2020,537.0,537.0,539.5,528.5
02/24/2020,534.75,551.5,551.5,532.5
02/21/2020,552.0,559.25,568.25,551.0
02/20/2020,559.25,558.5,560.0,557.25
02/19/2020,562.5,560.0,564.0,551.5
02/18/2020,565.0,547.25,568.5,546.5
02/14/2020,541.5,545.5,548.75,541.0
02/13/2020,544.75,548.5,550.5,541.5
02/12/2020,547.5,541.0,549.0,538.25
02/11/2020,542.0,551.5,551.75,539.0
02/10/2020,552.0,558.75,560.75,551.0
