Date, Close/Last, Volume, Open, High, Low
04/21/2020, 296.75, 324, 291, 298.5, 288.75
04/20/2020, 274.75, 129, 273.25, 275, 271.5
04/17/2020, 272, 126, 274, 275, 271.5
04/16/2020, 289.25, 215, 283.5, 289.75, 281.75
04/15/2020, 285.5, 314, 276.75, 286.5, 275
04/14/2020, 277.25, 269, 274.25, 280.25, 272
04/13/2020, 274.75, 249, 274.75, 276.5, 270.5
04/09/2020, 274.25, 243, 275.5, 278, 272.25
04/08/2020, 275.5, 269, 274.5, 276.25, 270
04/07/2020, 274.25, 281, 272.25, 277, 268.5
04/06/2020, 273.5, 352, 274, 279, 268
04/03/2020, 272.75, 515, 264.5, 277.5, 263
04/02/2020, 264.5, 222, 261.5, 264.5, 259
04/01/2020, 260.25, 329, 264, 265.25, 259
03/31/2020, 267.5, 138, 260, 268, 258.5
03/30/2020, 261.5, 286, 265.75, 269.5, 261.25
03/27/2020, 265.5, 239, 262, 269.75, 260.25
03/26/2020, 261, 292, 266.25, 266.25, 258
03/25/2020, 266, 424, 270.5, 274, 265.25
03/24/2020, 269.5, 283, 270, 270.5, 267.25
03/23/2020, 268.5, 202, 265.25, 269.75, 257.5
03/20/2020, 262, 214, 262.25, 268, 260.75
03/19/2020, 261.25, 371, 256, 272.5, 256
03/18/2020, 255.25, 329, 252.75, 265.75, 252.25
03/17/2020, 253.5, 375, 257, 259.25, 251.5
03/16/2020, 259.5, 665, 267.25, 268.75, 248.25
03/13/2020, 268.25, 390, 275, 278.75, 267
03/12/2020, 275, 372, 275, 276.75, 267.75
03/11/2020, 274.5, 278, 277.25, 279, 272.25
03/10/2020, 275, 770, 267.5, 281.75, 267.5
03/09/2020, 267.5, 684, 269, 270.75, 255.25
03/06/2020, 268.25, 302, 270.5, 272, 266.5
03/05/2020, 270.5, 332, 269.75, 272.25, 268.25
03/04/2020, 270.75, 478, 263, 272, 262.75
03/03/2020, 264.5, 816, 265.5, 269, 260.5
03/02/2020, 265.5, 980, 267.5, 269.75, 265
02/28/2020, 272.75, 743, 279, 282, 270
02/27/2020, 279.75, 1198, 285.25, 287.5, 277
02/26/2020, 285.75, 765, 290.75, 292.25, 283
02/25/2020, 291.75, 638, 291.5, 293.5, 290
02/24/2020, 289.75, 691, 296.5, 298.75, 289
02/21/2020, 298, 586, 299.75, 301.75, 296
02/20/2020, 299.5, 458, 302, 302.75, 297.5
02/19/2020, 301.25, 406, 302, 305, 300.75
02/18/2020, 303.5, 764, 296.5, 304.75, 295
02/14/2020, 296, 288, 296.5, 297.75, 293.75
02/13/2020, 295.75, 634, 301.75, 302.5, 294.25
02/12/2020, 304, 505, 300.5, 306.75, 298.25
02/11/2020, 296.5, 184, 297.75, 298, 296
02/10/2020, 301.75, 465, 303, 303.5, 297.75
02/07/2020, 303, 169, 304.5, 305, 302.25
02/06/2020, 304.75, 302, 305.75, 306, 302.75
02/05/2020, 304.5, 258, 308, 309.75, 304
02/04/2020, 270.75, 8, 270.75, 271.25, 270.5
02/03/2020, 300.25, 773, 302.75, 310, 297.5
01/31/2020, 303.75, 572, 306, 306, 302.25
01/30/2020, 305.5, 416, 308.25, 308.25, 303.75
01/29/2020, 307.75, 180, 309, 309, 306.5
01/28/2020, 307, 473, 302.5, 312, 299.75
01/27/2020, 300.5, 513, 303.75, 305.25, 298.75
01/24/2020, 303.25, 813, 315.5, 316.75, 303
01/23/2020, 316.5, 331, 314, 317, 312.25
01/22/2020, 307.5, 22, 308.75, 308.75, 306.5
01/21/2020, 314.75, 287, 311.25, 315, 309.25
01/17/2020, 311.75, 279, 305.75, 312, 305.75
01/16/2020, 305.5, 165, 307.75, 307.75, 303.75
01/15/2020, 305.75, 519, 311.75, 314.25, 303.25
01/14/2020, 298, 27, 296.25, 300, 296.25
