Date,Close/Last,Open,High,Low
2020-04-21,52.925,53.4,54.2,51.95
2020-04-20,46.25,44.825,47.475,43.95
2020-04-17,43.725,44.0,46.7,43.2
2020-04-16,43.175,44.125,45.35,43.0
2020-04-15,44.625,43.225,45.1,42.55
2020-04-14,43.95,44.475,46.95,41.5
2020-04-13,44.925,45.2,45.6,44.925
2020-04-09,48.675,49.9,50.525,48.55
2020-04-08,51.45,55.475,57.15,49.85
2020-04-07,52.65,51.975,52.65,50.5
2020-04-06,49.65,43.825,51.075,43.825
2020-04-03,48.325,48.9,49.375,48.325
2020-04-02,52.825,52.825,54.0,52.825
2020-04-01,57.325,58.85,59.0,57.325
2020-03-31,60.325,59.8,61.525,59.325
2020-03-30,59.775,63.225,63.25,59.75
2020-03-27,64.25,67.55,67.55,64.25
2020-03-26,68.75,71.25,71.25,68.75
2020-03-25,71.75,74.0,74.0,70.925
2020-03-24,73.0,73.225,73.425,72.025
2020-03-23,70.95,70.475,70.95,69.1
2020-03-20,67.95,69.525,71.075,67.675
2020-03-19,69.15,69.2,70.25,67.075
2020-03-18,67.3,69.775,70.475,66.025
2020-03-17,70.425,67.475,71.3,67.275
2020-03-16,66.8,66.8,69.375,66.8
2020-03-13,71.3,77.0,77.2,71.3
2020-03-12,75.8,76.075,76.75,75.8
2020-03-11,63.875,65.55,66.0,63.8
2020-03-10,65.0,64.625,66.0,64.5
2020-03-09,63.0,62.925,65.225,62.925
2020-03-06,65.925,65.0,66.375,65.0
2020-03-05,65.375,64.125,65.475,63.65
2020-03-04,64.3,64.0,64.775,63.3
2020-03-03,63.55,63.7,64.825,63.225
2020-03-02,62.8,62.55,63.175,62.125
2020-02-28,62.275,62.125,63.0,61.525
2020-02-27,62.55,64.525,64.925,62.15
2020-02-26,65.15,64.675,65.95,64.225
2020-02-25,64.675,65.2,65.875,64.5
2020-02-24,64.625,65.0,65.35,64.075
2020-02-21,67.025,66.5,67.15,66.05
2020-02-20,66.875,66.9,67.25,66.1
2020-02-19,67.575,66.1,68.25,65.775
2020-02-18,65.5,64.475,65.85,63.1
2020-02-14,64.3,63.8,64.9,63.7
2020-02-13,64.075,63.65,64.725,62.925
2020-02-12,63.775,63.975,65.05,63.275
2020-02-11,64.225,65.025,65.275,63.8
2020-02-10,65.075,66.025,66.25,64.925
2020-02-07,66.25,65.725,66.85,65.025
2020-02-06,64.875,61.525,64.875,61.525
2020-02-05,61.875,62.8,63.15,61.65
2020-02-04,62.325,63.25,64.375,61.775
2020-02-03,62.725,62.35,63.6,61.0
2020-01-31,61.6,65.125,65.15,61.325
2020-01-30,65.825,67.925,67.95,65.825
2020-01-29,68.825,71.3,71.35,68.675
2020-01-28,71.3,71.1,72.4,70.875
2020-01-27,70.45,71.575,72.0,70.45
2020-01-24,73.45,75.35,75.35,72.825
2020-01-23,75.35,73.925,75.975,73.9
2020-01-22,74.525,74.15,74.9,73.275
2020-01-21,73.825,74.0,74.65,72.325
2020-01-17,74.1,74.5,74.5,73.225
2020-01-16,73.775,74.825,75.05,72.975
2020-01-15,74.975,74.625,75.175,73.85
2020-01-14,75.0,73.1,75.3,73.1
2020-01-13,65.9,66.975,67.05,65.575
2020-01-10,67.25,67.325,68.225,66.875
2020-01-09,67.025,68.9,69.0,66.475
2020-01-08,69.025,69.8,70.1,68.95
2020-01-07,69.225,68.625,69.35,68.025
2020-01-06,68.625,68.95,69.225,67.55
2020-01-03,68.55,70.6,70.9,68.55
2020-01-02,71.55,71.6,72.6,70.775
2019-12-31,71.425,71.7,71.875,70.825
2019-12-30,71.8,71.25,71.9,70.6
2019-12-27,70.575,70.75,71.025,69.825
2019-12-26,70.9,71.05,71.5,70.05
2019-12-24,70.7,70.125,70.925,69.625
2019-12-23,70.25,70.675,71.3,69.475
2019-12-20,70.675,70.85,71.225,70.3
2019-12-19,70.975,69.9,71.0,69.525
2019-12-18,69.9,69.675,70.4,69.325
2019-12-17,69.85,70.2,71.0,69.4
2019-12-16,70.5,69.525,70.9,69.075
2019-12-13,69.5,69.5,71.55,68.7
2019-12-12,68.65,67.7,69.175,67.2
2019-12-11,67.725,67.75,68.45,67.2
2019-12-10,67.975,67.05,68.375,66.7
2019-12-09,66.7,67.05,67.35,66.0
2019-12-06,67.55,69.05,70.05,67.275
2019-12-05,67.575,68.35,68.6,67.15
2019-12-04,68.425,68.725,69.275,67.9
2019-12-03,68.375,65.925,68.45,65.55
2019-12-02,66.15,68.125,68.975,65.4
2019-11-29,68.175,66.7,69.325,65.725
2019-11-27,67.15,67.45,68.9,67.025
2019-11-26,67.825,67.925,68.2,66.925
2019-11-25,67.75,67.8,68.25,66.825
2019-11-22,67.65,67.5,68.275,66.625
2019-11-21,67.45,67.575,69.2,66.525
2019-11-20,66.775,69.1,69.875,66.625
2019-11-19,69.625,69.975,70.175,68.0
2019-11-18,70.225,71.325,71.425,69.65
2019-11-15,72.0,73.325,73.4,71.4
2019-11-14,73.375,74.0,74.225,73.0
2019-11-13,74.55,75.975,76.625,74.175
