Date,Close/Last,Open,High,Low
04/21/2020,91.6,93.5,93.5,90.525
04/20/2020,93.525,94.875,95.0,93.15
04/17/2020,94.65,96.5,96.7,93.05
04/16/2020,95.5,94.425,97.675,94.425
04/15/2020,94.725,92.5,95.5,92.2
04/14/2020,93.7,91.25,94.8,90.425
04/13/2020,91.0,91.1,91.525,91.0
04/09/2020,94.0,93.0,94.575,90.55
04/08/2020,92.825,92.825,92.825,91.6
04/07/2020,88.325,85.75,88.325,85.75
04/06/2020,83.825,83.825,85.75,83.825
04/03/2020,88.325,91.05,95.25,88.325
04/02/2020,92.825,96.5,96.5,92.825
04/01/2020,97.325,99.1,100.0,97.325
03/31/2020,101.825,99.0,102.2,97.8
03/30/2020,99.2,100.5,102.0,98.4
03/27/2020,100.95,103.325,104.1,100.95
03/26/2020,105.45,108.5,108.55,105.45
03/25/2020,108.45,110.65,110.65,104.25
03/24/2020,106.15,106.15,106.15,106.15
03/23/2020,101.65,101.65,101.65,101.65
03/20/2020,98.65,99.6,99.6,97.1
03/19/2020,95.1,95.075,95.1,94.475
03/18/2020,92.1,95.775,100.85,91.85
03/17/2020,96.35,94.05,96.35,94.0
03/16/2020,91.85,91.075,99.975,91.075
03/13/2020,95.575,102.375,103.025,95.575
03/12/2020,100.075,100.075,100.075,100.075
03/11/2020,103.075,105.225,106.85,102.8
03/10/2020,105.45,105.0,105.85,104.8
03/09/2020,102.85,102.75,105.225,102.75
03/06/2020,105.75,107.25,108.175,105.65
03/05/2020,108.65,110.425,110.55,108.5
03/04/2020,111.275,111.15,112.45,110.25
03/03/2020,110.1,111.9,112.65,109.5
03/02/2020,110.15,108.325,110.575,108.275
02/28/2020,112.7,111.0,113.4,110.5
02/27/2020,112.625,113.75,114.2,110.25
02/26/2020,114.075,115.575,115.7,113.575
02/25/2020,115.025,117.775,117.775,114.975
02/24/2020,117.0,118.025,118.275,116.8
02/21/2020,119.725,120.175,120.175,118.8
02/20/2020,120.1,121.525,121.525,119.9
02/19/2020,121.3,121.05,121.5,120.9
02/18/2020,121.425,121.5,122.0,120.75
02/14/2020,120.825,119.775,122.35,119.775
02/13/2020,119.45,119.1,119.7,118.45
02/12/2020,118.95,119.0,119.575,118.65
02/11/2020,119.075,120.2,120.3,119.05
02/10/2020,120.3,121.25,121.3,120.25
02/07/2020,121.325,121.0,121.475,120.825
02/06/2020,121.125,120.775,121.6,120.1
02/05/2020,120.75,122.075,122.075,120.55
