Date, Close/Last, Volume, Open, High, Low
04/21/2020, 91.6, 1718, 93.5, 93.5, 90.525
04/20/2020, 93.525, 1215, 94.875, 95, 93.15
04/17/2020, 94.65, 1715, 96.5, 96.7, 93.05
04/16/2020, 95.5, 2135, 94.425, 97.675, 94.425
04/15/2020, 94.725, 1670, 92.5, 95.5, 92.2
04/14/2020, 93.7, 3155, 91.25, 94.8, 90.425
04/13/2020, 91, 1762, 91.1, 91.525, 91
04/09/2020, 94, 3359, 93, 94.575, 90.55
04/08/2020, 92.825, 3806, 92.825, 92.825, 91.6
04/07/2020, 88.325, 2103, 85.75, 88.325, 85.75
04/06/2020, 83.825, 6389, 83.825, 85.75, 83.825
04/03/2020, 88.325, 10843, 91.05, 95.25, 88.325
04/02/2020, 92.825, 6097, 96.5, 96.5, 92.825
04/01/2020, 97.325, 6437, 99.1, 100, 97.325
03/31/2020, 101.825, 8558, 99, 102.2, 97.8
03/30/2020, 99.2, 9437, 100.5, 102, 98.4
03/27/2020, 100.95, 12332, 103.325, 104.1, 100.95
03/26/2020, 105.45, 10058, 108.5, 108.55, 105.45
03/25/2020, 108.45, 24101, 110.65, 110.65, 104.25
03/24/2020, 106.15, 4875, 106.15, 106.15, 106.15
03/23/2020, 101.65, 6955, 101.65, 101.65, 101.65
03/20/2020, 98.65, 16064, 99.6, 99.6, 97.1
03/19/2020, 95.1, 8869, 95.075, 95.1, 94.475
03/18/2020, 92.1, 37199, 95.775, 100.85, 91.85
03/17/2020, 96.35, 20275, 94.05, 96.35, 94
03/16/2020, 91.85, 34212, 91.075, 99.975, 91.075
03/13/2020, 95.575, 41302, 102.375, 103.025, 95.575
03/12/2020, 100.075, 16161, 100.075, 100.075, 100.075
03/11/2020, 103.075, 41993, 105.225, 106.85, 102.8
03/10/2020, 105.45, 45514, 105, 105.85, 104.8
03/09/2020, 102.85, 42449, 102.75, 105.225, 102.75
03/06/2020, 105.75, 47641, 107.25, 108.175, 105.65
03/05/2020, 108.65, 27778, 110.425, 110.55, 108.5
03/04/2020, 111.275, 31032, 111.15, 112.45, 110.25
03/03/2020, 110.1, 34581, 111.9, 112.65, 109.5
03/02/2020, 110.15, 33614, 108.325, 110.575, 108.275
02/28/2020, 112.7, 124, 111, 113.4, 110.5
02/27/2020, 112.625, 390, 113.75, 114.2, 110.25
02/26/2020, 114.075, 672, 115.575, 115.7, 113.575
02/25/2020, 115.025, 1579, 117.775, 117.775, 114.975
02/24/2020, 117, 1614, 118.025, 118.275, 116.8
02/21/2020, 119.725, 1980, 120.175, 120.175, 118.8
02/20/2020, 120.1, 2724, 121.525, 121.525, 119.9
02/19/2020, 121.3, 1426, 121.05, 121.5, 120.9
02/18/2020, 121.425, 1249, 121.5, 122, 120.75
02/14/2020, 120.825, 2545, 119.775, 122.35, 119.775
02/13/2020, 119.45, 1976, 119.1, 119.7, 118.45
02/12/2020, 118.95, 3261, 119, 119.575, 118.65
02/11/2020, 119.075, 3151, 120.2, 120.3, 119.05
02/10/2020, 120.3, 5009, 121.25, 121.3, 120.25
02/07/2020, 121.325, 4367, 121, 121.475, 120.825
02/06/2020, 121.125, 4802, 120.775, 121.6, 120.1
02/05/2020, 120.75, 9408, 122.075, 122.075, 120.55
02/04/2020, 121.625, 5849, 122.5, 122.725, 121.575
02/03/2020, 121.675, 8545, 121.4, 122.15, 120.725
01/31/2020, 121.375, 7996, 121.85, 122.65, 121.3
01/30/2020, 121.775, 10422, 122.075, 122.2, 121.125
01/29/2020, 121.75, 7146, 122.35, 122.525, 121.725
01/28/2020, 122.15, 10936, 122.4, 123.1, 122.1
01/27/2020, 122.25, 18828, 123.9, 124, 122.2
01/24/2020, 124.85, 11990, 124.825, 125.225, 124.1
01/23/2020, 124.675, 17474, 126.15, 126.325, 124.575
01/22/2020, 126.175, 10629, 126.375, 126.475, 125.9
01/21/2020, 126.375, 14793, 126.025, 126.55, 125.85
01/17/2020, 126.35, 20748, 126.225, 126.425, 125.25
01/16/2020, 126.125, 28896, 126.925, 126.925, 124.775
01/15/2020, 126.6, 22868, 126.975, 127.225, 126.075
01/14/2020, 126.85, 28847, 126.65, 127.25, 126.3
01/13/2020, 126.55, 30509, 127.35, 127.4, 126.45
01/10/2020, 127.425, 28424, 126.625, 127.55, 126.425
01/09/2020, 126.725, 29682, 126.35, 127.175, 126.05
01/08/2020, 126.35, 37080, 126.5, 126.95, 126.075
01/07/2020, 126.525, 27393, 127, 127.25, 125.775
01/06/2020, 127.275, 31825, 125, 127.425, 124.75
01/03/2020, 124.725, 31364, 125.775, 125.95, 124.575
01/02/2020, 125.775, 27130, 126, 126.325, 124.55
12/31/2019, 124.7, 336, 124.4, 124.75, 124.4
12/30/2019, 124.1, 785, 123.65, 124.125, 123.575
12/27/2019, 123.5, 1012, 123.3, 123.875, 123.2
12/26/2019, 123.275, 1040, 122.65, 123.275, 122.55
12/24/2019, 122.65, 537, 122.45, 122.725, 122.25
12/23/2019, 122.4, 711, 122, 122.8, 121.75
12/20/2019, 122.225, 1519, 122.225, 122.4, 121.8
12/19/2019, 122.125, 2086, 122.15, 122.725, 121.925
12/18/2019, 122.25, 1655, 122.3, 122.65, 121.825
12/17/2019, 122.225, 2347, 122.3, 122.85, 122.2
12/16/2019, 122.3, 2278, 122.5, 122.875, 122
12/13/2019, 122.375, 4776, 120.725, 122.625, 120.475
12/12/2019, 120.425, 4418, 120.4, 120.65, 119.95
12/11/2019, 120.575, 3005, 119.9, 120.65, 119.9
12/10/2019, 119.875, 4305, 120.375, 120.55, 119.825
12/09/2019, 120.175, 6188, 120.2, 120.825, 120
12/06/2019, 120.2, 6434, 120, 120.475, 119.675
12/05/2019, 119.925, 6561, 119.5, 120.55, 119.275
12/04/2019, 119.45, 11009, 120.6, 120.7, 119.4
12/03/2019, 120.55, 7292, 120.75, 120.95, 120.275
12/02/2019, 120.75, 9888, 120.975, 121.075, 120.275
11/29/2019, 121.2, 9145, 121.85, 122.075, 120.925
11/27/2019, 121.425, 14901, 120.775, 121.85, 120.35
11/26/2019, 120.4, 9358, 119.9, 120.775, 119.6
11/25/2019, 119.7, 12958, 119, 120.525, 118.85
11/22/2019, 118.675, 13859, 119.1, 119.35, 118.25
11/21/2019, 119.325, 16562, 119.4, 119.95, 119.075
11/20/2019, 119.3, 16101, 118.55, 119.525, 118.15
11/19/2019, 118.775, 17777, 118.675, 118.9, 117.7
11/18/2019, 118.7, 17591, 119.1, 119.15, 118.5
11/15/2019, 119.1, 16974, 119.075, 119.425, 118.575
11/14/2019, 119.075, 23780, 117.8, 119.275, 117.7
11/13/2019, 118.1, 40222, 119.825, 119.85, 117.35
11/12/2019, 119.75, 27442, 119.7, 119.975, 119.05
11/11/2019, 119.875, 31002, 119.45, 119.95, 118.825
11/08/2019, 119.25, 29563, 119.075, 119.65, 118.525
11/07/2019, 119.175, 29647, 118.95, 119.375, 118.8
11/06/2019, 119, 22814, 118.625, 119.175, 118.2
11/05/2019, 119.45, 23867, 120, 120.15, 118.9
11/04/2019, 120.075, 24891, 119.525, 120.325, 119.05
11/01/2019, 119.525, 29461, 117.225, 119.7, 117.125
10/31/2019, 111.675, 46, 113.5, 114.15, 111
10/30/2019, 113.375, 403, 113.05, 114.425, 112.7
10/29/2019, 113.35, 1022, 112.75, 113.35, 112.175
10/28/2019, 112.875, 600, 112.575, 113, 111.8
10/25/2019, 111.975, 599, 110.5, 112.1, 110.375
10/24/2019, 110.425, 1856, 110.6, 111.5, 110
10/23/2019, 110.2, 2708, 109.525, 110.45, 108.925
10/22/2019, 109.875, 1349, 110.75, 110.9, 109.7
10/21/2019, 110.95, 1107, 110.4, 111.15, 109.725
10/18/2019, 110.475, 1945, 112.5, 112.5, 109.55
10/17/2019, 112.4, 1272, 112.3, 112.5, 111.65
10/16/2019, 112.35, 1883, 111, 112.5, 111
10/15/2019, 111, 1812, 110.775, 111.1, 110.225
10/14/2019, 110.625, 1016, 109.7, 110.85, 109.6
10/11/2019, 109.45, 3337, 108.8, 109.6, 108.65
10/10/2019, 108.725, 1229, 108.45, 108.925, 108.075
10/09/2019, 108.475, 1948, 108.25, 108.85, 107.85
10/08/2019, 108.175, 2720, 108.475, 108.85, 108.075
10/07/2019, 108.25, 3451, 107.575, 108.475, 107.35
10/04/2019, 107.35, 7097, 106.65, 107.8, 106.3
10/03/2019, 106.8, 6490, 106.125, 107, 105.825
10/02/2019, 106.05, 8520, 104.85, 106.3, 104.5
10/01/2019, 104.625, 7887, 104.625, 105.175, 104.25
09/30/2019, 104.575, 8729, 105.125, 105.2, 104.325
09/27/2019, 105.025, 15254, 103.25, 105.25, 103.2
09/26/2019, 102.95, 9188, 103.1, 103.35, 102.55
09/25/2019, 103, 8452, 102.3, 103.25, 102.025
09/24/2019, 102.125, 11800, 101.75, 102.85, 101.65
09/23/2019, 101.85, 10727, 100.5, 102.1, 100.5
09/20/2019, 99.35, 10525, 99.925, 100.125, 98.95
09/19/2019, 99.8, 12167, 100.25, 100.625, 99.625
09/18/2019, 100.375, 12677, 99.35, 100.5, 99
09/17/2019, 99.35, 18347, 98.2, 99.9, 97.625
09/16/2019, 98, 23352, 98.3, 99.35, 97.725
09/13/2019, 98.075, 31383, 98.975, 99.55, 98
09/12/2019, 98.725, 43020, 99.025, 99.5, 97.675
09/11/2019, 98.5, 40811, 96.45, 99.025, 95.975
09/10/2019, 96.15, 40759, 93.9, 96.6, 93.75
09/09/2019, 94.2, 38846, 94.6, 95.25, 93.4
09/06/2019, 94.875, 32025, 97.4, 97.45, 94.875
09/05/2019, 97.875, 34143, 99.325, 99.325, 97.175
09/04/2019, 99.025, 20235, 99.275, 99.55, 98.65
09/03/2019, 99.275, 24904, 98.975, 99.9, 98.475
08/30/2019, 105, 602, 105.65, 105.75, 104.625
08/29/2019, 105.65, 532, 105.2, 105.95, 105.075
08/28/2019, 105.075, 525, 104.75, 105.75, 104.75
08/27/2019, 104.75, 1074, 105.5, 105.55, 104.7
08/26/2019, 105.475, 664, 105.4, 105.75, 104.5
08/23/2019, 104.625, 1628, 105.05, 105.125, 104
08/22/2019, 104.975, 1214, 103.15, 105.075, 103.025
08/21/2019, 102.675, 1584, 102, 103.3, 102
08/20/2019, 101.8, 1396, 100.5, 102.15, 100.5
08/19/2019, 100.2, 1393, 100.6, 101.75, 100.15
08/16/2019, 99.925, 1193, 100.8, 101, 99.7
08/15/2019, 100.2, 1875, 100.5, 101.3, 100
08/14/2019, 100.2, 3367, 100, 101.15, 99.75
08/13/2019, 100.55, 4140, 100.55, 101.5, 100.55
08/12/2019, 105.05, 2480, 105.05, 105.05, 105.05
08/09/2019, 108.05, 3306, 108, 108.4, 107.55
08/08/2019, 107.95, 1564, 107.725, 108.25, 107.425
08/07/2019, 107.6, 2690, 107.125, 108.25, 106.9
08/06/2019, 107.125, 2757, 108, 108.75, 106.975
08/05/2019, 107.8, 6038, 107.45, 108.7, 105.1
08/02/2019, 107.65, 10617, 108.2, 108.5, 107.55
08/01/2019, 107.875, 14145, 107.125, 108.925, 106.9
07/31/2019, 106.9, 12373, 108.475, 108.475, 106.575
07/30/2019, 108.1, 10663, 108.5, 108.55, 107.5
07/29/2019, 108.65, 11312, 109.125, 109.6, 108.575
07/26/2019, 108.65, 6263, 108.725, 109.1, 108.55
07/25/2019, 108.65, 9180, 108.9, 109.325, 108.55
07/24/2019, 108.9, 7468, 109, 109.275, 108.65
07/23/2019, 109.05, 7722, 108.2, 109.2, 108.2
07/22/2019, 108.45, 8124, 107.75, 108.5, 107.4
07/19/2019, 107.6, 8039, 107.475, 107.85, 107.1
07/18/2019, 107.4, 13354, 108.475, 108.5, 107.175
07/17/2019, 108.125, 15682, 108.25, 108.25, 107.375
07/16/2019, 108.225, 15273, 108.65, 108.65, 107.8
07/15/2019, 108.5, 26787, 108.275, 108.975, 107.575
07/12/2019, 108.475, 31612, 108.2, 108.725, 107.725
07/11/2019, 107.875, 29892, 107.75, 108.05, 107.1
07/10/2019, 107.625, 30191, 107.975, 108.125, 107.25
07/09/2019, 108.125, 34576, 106.275, 108.425, 105.85
07/08/2019, 106.15, 29479, 107.1, 107.325, 106.075
07/05/2019, 107, 27483, 106.45, 107.8, 106.4
07/03/2019, 105.45, 21779, 104.475, 106.15, 104.3
07/02/2019, 104.1, 25101, 104.15, 105.2, 103.875
07/01/2019, 104.1, 24335, 105, 105.35, 103.75
06/28/2019, 110.5, 780, 110.875, 112.325, 110.3
06/27/2019, 110.575, 1134, 109.225, 111, 109.15
