Date, Close/Last, Volume, Open, High, Low
04/21/2020, 11.16, 584, 11.67, 11.67, 11.16
04/20/2020, 11.91, 386, 12.21, 12.28, 11.67
04/17/2020, 12.16, 160, 12.1, 12.18, 11.97
04/16/2020, 12.11, 357, 12.12, 12.23, 12.03
04/15/2020, 12.33, 399, 12.45, 12.5, 12.07
04/14/2020, 12.19, 395, 12, 12.31, 11.84
04/13/2020, 12.13, 560, 12.86, 12.93, 12.07
04/09/2020, 12.82, 410, 13.22, 13.22, 12.77
04/08/2020, 13.26, 689, 13.94, 14.34, 13.17
04/07/2020, 13.8, 399, 13.24, 13.8, 13.24
04/06/2020, 13.05, 1164, 13.18, 13.62, 12.41
04/03/2020, 13.13, 565, 13.5, 13.65, 13.06
04/02/2020, 13.6, 576, 13.67, 13.72, 13.33
04/01/2020, 13.56, 647, 13.1, 13.61, 13.1
03/31/2020, 13.06, 658, 13.26, 13.32, 12.76
03/30/2020, 13.32, 500, 13.96, 14, 13.25
03/27/2020, 14, 571, 14.68, 14.71, 13.98
03/26/2020, 14.73, 194, 15.18, 15.18, 14.7
03/25/2020, 15.15, 239, 15.37, 15.4, 15.15
03/24/2020, 15.38, 242, 15.47, 15.52, 15.33
03/23/2020, 15.47, 97, 15.5, 15.55, 15.45
03/20/2020, 16.26, 14, 16.29, 16.29, 16.26
03/19/2020, 16.27, 147, 16.27, 16.3, 16.25
03/18/2020, 15.67, 359, 15.99, 15.99, 15.64
03/17/2020, 16.33, 72, 16.34, 16.36, 16.32
03/16/2020, 16, 417, 15.95, 16.24, 15.85
03/13/2020, 16.34, 146, 16.29, 16.39, 16.29
03/12/2020, 16.3, 280, 16.27, 16.32, 16.25
03/11/2020, 16.32, 92, 16.31, 16.34, 16.27
03/10/2020, 16.33, 100, 16.32, 16.34, 16.27
03/09/2020, 16.3, 254, 16.37, 16.37, 16.26
03/06/2020, 16.37, 116, 16.37, 16.42, 16.35
03/05/2020, 16.37, 149, 16.34, 16.44, 16.34
03/04/2020, 16.32, 182, 16.34, 16.39, 16.26
03/03/2020, 16.34, 355, 16.37, 16.5, 16.28
03/02/2020, 16.37, 288, 16.5, 16.55, 16.29
02/28/2020, 16.31, 345, 16.27, 16.33, 16.22
02/27/2020, 16.32, 332, 16.47, 16.47, 16.29
02/26/2020, 16.47, 384, 16.47, 16.53, 16.44
02/25/2020, 16.53, 370, 16.62, 16.62, 16.45
02/24/2020, 16.62, 574, 16.61, 16.68, 16.48
02/21/2020, 16.64, 435, 16.66, 16.77, 16.61
02/20/2020, 16.66, 435, 16.77, 16.85, 16.64
02/19/2020, 16.77, 396, 17.01, 17.01, 16.75
02/18/2020, 17.02, 472, 16.99, 17.04, 16.81
02/14/2020, 17.01, 358, 17.13, 17.18, 16.97
02/13/2020, 17.12, 457, 17.27, 17.3, 17.11
02/12/2020, 17.29, 372, 17.26, 17.34, 17.19
02/11/2020, 17.21, 407, 17.22, 17.3, 17.14
02/10/2020, 17.29, 561, 17.42, 17.48, 17.23
02/07/2020, 17.42, 454, 17.23, 17.42, 17.17
02/06/2020, 17.23, 828, 17.1, 17.3, 17.02
02/05/2020, 17.06, 658, 17.19, 17.36, 17
02/04/2020, 17.3, 1006, 17.26, 17.5, 17.1
02/03/2020, 17.38, 398, 17.7, 17.73, 17.3
01/31/2020, 17.14, 311, 17.34, 17.38, 17.13
01/30/2020, 17.76, 162, 17.98, 17.98, 17.66
01/29/2020, 17.98, 295, 17.67, 18.04, 17.67
01/28/2020, 17.39, 502, 17.21, 17.5, 17.21
01/27/2020, 17.33, 615, 17.91, 17.97, 17.27
01/24/2020, 18, 885, 18.05, 18.28, 17.93
01/23/2020, 17.98, 627, 17.8, 18.11, 17.8
01/22/2020, 17.05, 126, 17.02, 17.05, 17.01
01/21/2020, 17.03, 102, 17.02, 17.04, 16.99
01/17/2020, 17.01, 65, 16.98, 17.01, 16.98
01/16/2020, 16.98, 178, 16.95, 16.99, 16.94
01/15/2020, 16.99, 138, 16.95, 17, 16.95
01/14/2020, 16.94, 137, 16.99, 17.01, 16.91
