Date, Close/Last, Volume, Open, High, Low
04/21/2020, 1907.6, 1826, 2121.4, 2130.5, 1765
04/20/2020, 2127.5, 711, 2112.9, 2159.2, 2103.1
04/17/2020, 2159.4, N/A, 2159.4, 2159.4, 2159.4
04/16/2020, 2120.7, 842, 2125.4, 2186.3, 2090
04/15/2020, 2153.6, 1071, 2195.7, 2204.8, 2100
04/14/2020, 2185.4, 1135, 2173.9, 2255, 2121
04/13/2020, 2199.2, N/A, 2199.2, 2199.2, 2199.2
04/09/2020, 2138.5, N/A, 2138.5, 2138.5, 2138.5
04/08/2020, 2095.2, 532, 2103.2, 2134.9, 2072
04/07/2020, 2094.3, 949, 2082.2, 2207.2, 2057.6
04/06/2020, 2105.3, N/A, 2105.3, 2105.3, 2105.3
04/03/2020, 2134.5, N/A, 2134.5, 2134.5, 2134.5
04/02/2020, 2121.7, 1120, 2126, 2235, 2039.9
04/01/2020, 2140.8, 1191, 2245, 2288, 2110.5
03/31/2020, 2333.3, N/A, 2333.3, 2333.3, 2333.3
03/30/2020, 2197.6, 1012, 2140, 2224, 2105.3
03/27/2020, 2226.8, N/A, 2226.8, 2226.8, 2226.8
03/26/2020, 2226.1, 1660, 2237.7, 2300, 2108
03/25/2020, 2247.6, 2917, 1818.2, 2319.9, 1811.9
03/24/2020, 1817, N/A, 1817, 1817, 1817
03/23/2020, 1556.9, 1198, 1565.6, 1615.1, 1483.3
03/20/2020, 1570.3, N/A, 1570.3, 1570.3, 1570.3
03/19/2020, 1529.4, 2090, 1460, 1596, 1370
03/18/2020, 1419.8, 2174, 1509.6, 1548.5, 1410.8
03/17/2020, 1539.7, N/A, 1539.7, 1539.7, 1539.7
03/16/2020, 1514.1, 4872, 1581.6, 1759.3, 1355.1
03/13/2020, 1509.1, 5360, 1787.6, 1951.3, 1464.1
03/12/2020, 1914.9, 9471, 2215.3, 2224, 1560
03/11/2020, 2229.3, 3130, 2338.4, 2339.9, 2210.3
03/10/2020, 2347.5, 1, 2380, 2380, 2380
03/09/2020, 2405.7, 3892, 2469.9, 2478.1, 2250
03/06/2020, 2439.2, 4601, 2454.1, 2550, 2378.3
03/05/2020, 2487.1, 1, 2420, 2420, 2420
03/04/2020, 2385, 3029, 2399.9, 2472, 2322.1
03/03/2020, 2405.2, 4, 2439, 2440, 2439
03/02/2020, 2445.4, 7, 2535, 2535, 2535
02/28/2020, 2508.8, 88, 2797.1, 2797.1, 2448.4
02/27/2020, 2711.7, 4281, 2724.1, 2789.8, 2640
02/26/2020, 2666.8, 4321, 2657, 2699.5, 2657
02/25/2020, 2614.3, 3265, 2528.5, 2619.7, 2525.3
02/24/2020, 2514.8, 3657, 2614.9, 2628.4, 2485.9
02/21/2020, 2627.3, N/A, 2627.3, 2627.3, 2627.3
02/20/2020, 2573.9, 4944, 2608.3, 2674.2, 2545.6
02/19/2020, 2571.2, 7360, 2543.9, 2755.9, 2537
02/18/2020, 2519.5, N/A, 2519.5, 2519.5, 2519.5
02/14/2020, 2338.6, N/A, 2338.6, 2338.6, 2338.6
02/13/2020, 2351, 3458, 2326.5, 2355.9, 2301.3
02/12/2020, 2322.5, 4051, 2268.8, 2329.6, 2241
02/11/2020, 2287.6, N/A, 2287.6, 2287.6, 2287.6
02/10/2020, 2249.8, 3172, 2206, 2278.7, 2206
02/07/2020, 2232.1, N/A, 2232.1, 2232.1, 2232.1
02/06/2020, 2237.2, 5327, 2339.7, 2366.4, 2215.9
02/05/2020, 2326.7, 5080, 2338.4, 2400.1, 2318
02/04/2020, 2335.6, 5706, 2238.9, 2345, 2226.9
02/03/2020, 2233.5, 3476, 2216, 2244.7, 2190.3
01/31/2020, 2246.6, N/A, 2246.6, 2246.6, 2246.6
01/30/2020, 2215.7, 3806, 2215, 2254.4, 2178.8
01/29/2020, 2202.2, 4348, 2182.8, 2233.8, 2171.9
01/28/2020, 2185.1, 5590, 2172.5, 2240, 2151.2
01/27/2020, 2173.6, 7012, 2324.2, 2326.2, 2161.3
01/24/2020, 2329.3, N/A, 2329.3, 2329.3, 2329.3
01/23/2020, 2329, 8952, 2364.1, 2427, 2299
01/22/2020, 2335.6, 7429, 2232.7, 2372.9, 2217.5
01/21/2020, 2245.7, N/A, 2245.7, 2245.7, 2245.7
01/17/2020, 2237.9, N/A, 2237.9, 2237.9, 2237.9
01/16/2020, 2177.8, 9174, 2173.3, 2244.8, 2163.4
01/15/2020, 2165.1, 6203, 2130.1, 2178.5, 2116
01/14/2020, 2123.3, 5012, 2084.8, 2132, 2075.2
01/13/2020, 2079.1, 4129, 2072.9, 2098.5, 2063.3
01/10/2020, 2072.7, N/A, 2072.7, 2072.7, 2072.7
01/09/2020, 2060.4, 7910, 2065.1, 2114, 2016.3
01/08/2020, 2061.4, 6773, 2023.3, 2068.5, 1990
01/07/2020, 2014.3, 4760, 1998, 2023, 1980.5
01/06/2020, 1989.6, 5120, 1958.4, 1998.7, 1955.8
01/03/2020, 1955.5, N/A, 1955.5, 1955.5, 1955.5
01/02/2020, 1927.8, N/A, 1927.8, 1927.8, 1927.8
12/31/2019, 1909.1, N/A, 1909.1, 1909.1, 1909.1
12/30/2019, 1880.5, 2329, 1878, 1885.1, 1872.3
