Date, Close/Last, Volume, Open, High, Low
04/21/2020, 758.4, 16392, 787.5, 791.5, 716.8
04/20/2020, 796, 5653, 789.1, 803.1, 785.3
04/17/2020, 781.3, N/A, 781.3, 781.3, 781.3
04/16/2020, 793.3, 10285, 804.5, 820.5, 779.9
04/15/2020, 804.6, 10402, 819.7, 831.9, 796.4
04/14/2020, 819.7, 21769, 753, 838.2, 751.2
04/13/2020, 745.8, 3, 745.8, 745.8, 745.8
04/09/2020, 744.6, 1, 738.4, 738.4, 738.4
04/08/2020, 733.6, 9906, 736, 760.2, 725.7
04/07/2020, 745, 8834, 739, 750.4, 732.2
04/06/2020, 728, 6, 720.8, 720.8, 719.5
04/03/2020, 714.1, 6, 721.8, 722, 721.8
04/02/2020, 730, 7674, 719.2, 734.9, 712.8
04/01/2020, 717.8, 9827, 721.9, 727.7, 701.2
03/31/2020, 724.4, 69, 717.7, 723.6, 713.1
03/30/2020, 723.8, 10713, 736, 745.1, 710.9
03/27/2020, 740, 6, 732.3, 734.3, 732.3
03/26/2020, 737.1, 11835, 739.7, 747.3, 705.5
03/25/2020, 745.9, 14400, 714.5, 748, 709.3
03/24/2020, 701.7, N/A, 701.7, 701.7, 701.7
03/23/2020, 627.6, 7375, 621, 650.9, 595.5
03/20/2020, 621.6, N/A, 621.6, 621.6, 621.6
03/19/2020, 597.1, 5066, 623.8, 647.6, 585.1
03/18/2020, 605, 30473, 663.3, 681.8, 603.4
03/17/2020, 664.4, N/A, 664.4, 664.4, 664.4
03/16/2020, 657.7, 41434, 769.4, 775, 562
03/13/2020, 743.9, 37951, 768.4, 818.1, 736.8
03/12/2020, 781.8, 44496, 863.5, 868.8, 750.2
03/11/2020, 868.2, 18786, 872, 886.6, 862.9
03/10/2020, 868.5, N/A, 868.5, 868.5, 868.5
03/09/2020, 862.8, 29198, 904.6, 916.1, 860.9
03/06/2020, 896.4, 39923, 866.2, 905.9, 855.2
03/05/2020, 864.6, N/A, 864.6, 864.6, 864.6
03/04/2020, 875.2, 22317, 878, 889.4, 866.6
03/03/2020, 868.2, N/A, 868.2, 868.2, 868.2
03/02/2020, 858.3, 2, 858.3, 858.3, 858.3
02/28/2020, 862.8, N/A, 862.8, 862.8, 862.8
02/27/2020, 905.5, 29714, 920, 924.8, 898.4
02/26/2020, 914.8, 35551, 913.4, 915.2, 912.4
02/25/2020, 932.3, 34533, 968.9, 972.1, 922.6
02/24/2020, 974.2, 24396, 976.7, 981.9, 961.3
02/21/2020, 973.4, 6, 973.4, 973.4, 973.4
02/20/2020, 979, 28489, 1010, 1014, 974.4
02/19/2020, 1004.5, 28381, 993.9, 1021, 993.9
02/18/2020, 991.3, N/A, 991.3, 991.3, 991.3
02/14/2020, 966, N/A, 966, 966, 966
02/13/2020, 974.7, 14532, 964.7, 977.8, 963.5
02/12/2020, 967.3, 16631, 973.5, 975.1, 957.2
02/11/2020, 970.9, N/A, 970.9, 970.9, 970.9
02/10/2020, 966.9, 13966, 970.3, 978.1, 956.3
02/07/2020, 966.6, N/A, 966.6, 966.6, 966.6
02/06/2020, 967.4, 18805, 987, 991.7, 963.1
02/05/2020, 987.1, 17402, 966.3, 989.4, 963.5
02/04/2020, 966.1, 18285, 970.8, 985.3, 960.9
02/03/2020, 970.7, 19462, 962.7, 976.2, 954.3
01/31/2020, 959.2, N/A, 959.2, 959.2, 959.2
01/30/2020, 980.5, 17444, 980.1, 985, 965.5
01/29/2020, 975.3, 16574, 991, 1000.3, 974.1
01/28/2020, 995, 19441, 989.6, 996.9, 983.2
01/27/2020, 991.7, 22574, 1016.4, 1016.4, 987.1
01/24/2020, 1005.2, N/A, 1005.2, 1005.2, 1005.2
01/23/2020, 1007.3, 17951, 1018.4, 1025.5, 1000.8
01/22/2020, 1021.3, 16881, 1005.5, 1023.2, 995.9
01/21/2020, 1002, N/A, 1002, 1002, 1002
01/17/2020, 1019.4, 2, 1016.4, 1016.4, 1013.3
01/16/2020, 1001.2, 35284, 1027.9, 1046.7, 998.4
01/15/2020, 1025.6, 37355, 988.5, 1030.5, 988
01/14/2020, 987.3, 15413, 978.4, 989.8, 970.2
01/13/2020, 982.1, 13737, 983.6, 984.6, 969.1
01/10/2020, 981.2, 12, 972, 981.5, 972
01/09/2020, 972, 17021, 958.7, 976.5, 952.5
01/08/2020, 963.8, 19939, 974.7, 982.3, 957.2
01/07/2020, 971.6, 16133, 969, 981.8, 961.7
01/06/2020, 966.2, 24149, 991, 999, 960.6
01/03/2020, 984.5, 32, 986.5, 987.2, 980.6
01/02/2020, 985, 22141, 972, 998.3, 971.8
