Date,Close/Last,Open,High,Low
04/21/2020,14.991,15.675,15.71,14.715
04/20/2020,15.75,15.425,15.805,15.325
04/17/2020,15.237,15.237,15.237,15.237
04/16/2020,15.765999999999998,15.79,16.045,15.585
04/15/2020,15.654000000000002,16.25,16.255,15.625
04/14/2020,16.340999999999998,15.835,16.505,15.835
04/13/2020,15.479000000000001,15.479000000000001,15.479000000000001,15.479000000000001
04/09/2020,15.995,15.14,15.865,15.14
04/08/2020,15.205,15.305,15.445,15.11
04/07/2020,15.48,15.28,15.93,15.205
04/06/2020,15.110999999999999,14.55,15.025,14.55
04/03/2020,14.436,14.59,14.59,14.55
04/02/2020,14.654000000000002,14.055,14.72,13.99
04/01/2020,13.984000000000002,14.145,14.265,13.895
03/31/2020,14.097999999999999,13.98,14.245,13.98
03/30/2020,14.132,14.7,14.71,13.945
03/27/2020,14.498,14.335,14.45,14.335
03/26/2020,14.675999999999998,14.77,14.98,14.4
03/25/2020,14.873,14.415,14.93,14.205
03/24/2020,14.229000000000001,13.36,14.075,13.36
03/23/2020,13.261,12.615,13.33,12.29
03/20/2020,12.349,12.08,12.86,12.08
03/19/2020,12.134,11.975,12.33,11.76
03/18/2020,11.772,12.61,12.905,11.64
03/17/2020,12.469000000000001,12.55,12.71,12.415
03/16/2020,12.815999999999999,15.1,15.245,11.77
03/13/2020,14.5,15.825,15.89,14.425
03/12/2020,16.005,16.72,16.91,15.505
03/11/2020,16.776,16.875,17.11,16.66
03/10/2020,16.906,16.85,17.145,16.765
03/09/2020,17.054000000000002,17.49,17.615,16.55
03/06/2020,17.262999999999998,17.45,17.575,17.015
03/05/2020,17.342,17.155,17.405,17.12
03/04/2020,17.246,17.205,17.335,17.075
03/03/2020,17.129,16.875,17.32,16.74
03/02/2020,16.679000000000002,16.495,16.975,16.39
02/28/2020,16.387,17.69,17.795,16.34
02/27/2020,17.735,18.04,18.05,17.63
02/26/2020,17.914,17.93,17.965,17.915
02/25/2020,18.268,18.24,18.315,17.9
02/24/2020,18.96,18.955,18.955,18.595
02/21/2020,18.521,18.565,18.565,18.48
02/20/2020,18.319000000000003,18.425,18.44,18.205
02/19/2020,18.311,18.155,18.45,18.135
02/18/2020,18.131,18.131,18.131,18.131
02/14/2020,17.715,17.715,17.715,17.715
02/13/2020,17.619,17.455,17.715,17.44
02/12/2020,17.497,17.62,17.65,17.435
02/11/2020,17.573,17.695,17.715,17.695
02/10/2020,17.785,17.705,17.825,17.665
02/07/2020,17.665,17.665,17.665,17.665
02/06/2020,17.817999999999998,17.61,17.875,17.575
02/05/2020,17.602,17.565,17.71,17.465
02/04/2020,17.561,17.65,17.77,17.51
02/03/2020,17.67,18.1,18.125,17.58
01/31/2020,17.972,17.972,17.972,17.972
01/30/2020,17.992,17.54,18.04,17.52
01/29/2020,17.487000000000002,17.44,17.575,17.28
01/28/2020,17.458,18.095,18.115,17.42
01/27/2020,18.055999999999997,18.26,18.375,18.04
01/24/2020,18.057000000000002,18.05,18.05,18.05
01/23/2020,17.829,17.835,17.91,17.59
01/22/2020,17.828,17.85,17.855,17.795
01/21/2020,17.750999999999998,17.750999999999998,17.750999999999998,17.750999999999998
01/17/2020,18.012999999999998,18.012999999999998,18.012999999999998,18.012999999999998
01/16/2020,17.939,18.01,18.055,17.875
01/15/2020,17.988,17.8,18.055,17.755
01/14/2020,17.742,17.975,17.985,17.69
01/13/2020,17.996,18.13,18.13,17.935
01/10/2020,18.033,18.033,18.033,18.033
01/09/2020,17.936,18.12,18.225,17.815
01/08/2020,18.167,18.115,18.19,18.115
01/07/2020,18.393,18.185,18.47,17.975
01/06/2020,18.179000000000002,18.17,18.55,18.045
01/03/2020,18.067999999999998,18.11,18.11,17.965
01/02/2020,18.046,17.905,18.15,17.83
12/31/2019,17.828,18.065,18.065,17.8
12/30/2019,18.000999999999998,17.86,18.02,17.83
12/27/2019,17.942999999999998,17.995,18.05,17.815
12/26/2019,17.99,17.83,18.135,17.81
12/24/2019,17.757,17.52,17.52,17.515
12/23/2019,17.499000000000002,17.23,17.52,17.23
12/20/2019,17.128,17.18,17.18,17.18
12/19/2019,17.058,16.985,17.075,16.975
12/18/2019,17.049,17.06,17.125,16.935
12/17/2019,17.072,17.105,17.17,17.015
12/16/2019,17.113,17.005,17.14,16.955
12/13/2019,16.912,16.88,16.89,16.825
12/12/2019,16.949,16.92,17.03,16.905
12/11/2019,16.849,16.915,16.93,16.91
12/10/2019,16.596,16.555,16.61,16.555
12/09/2019,16.642,16.6,16.73,16.565
12/06/2019,16.480999999999998,16.82,16.825,16.465
12/05/2019,17.059,16.92,17.075,16.87
12/04/2019,16.916,17.25,17.415,16.865
12/03/2019,17.125,16.86,17.16,16.81
12/02/2019,16.965999999999998,17.07,17.1,16.895
11/29/2019,17.105999999999998,17.01,17.125,16.935
11/27/2019,16.912,17.06,17.065,16.875
11/26/2019,17.188,16.82,17.225,16.82
11/25/2019,17.03,17.1,17.115,16.965
11/22/2019,17.147000000000002,17.22,17.355,17.1
11/21/2019,17.211,17.28,17.31,17.155
11/20/2019,17.1,17.1,17.1,17.1
11/19/2019,17.102999999999998,17.102999999999998,17.102999999999998,17.102999999999998
11/18/2019,17.0,16.95,17.03,16.705
11/15/2019,16.933,16.96,16.97,16.8
11/14/2019,17.028,16.93,17.08,16.845
11/13/2019,16.913,16.9,16.98,16.895
11/12/2019,16.677,16.8,16.805,16.675
11/11/2019,16.802,16.755,16.91,16.63
11/08/2019,16.783,16.845,16.875,16.765
11/07/2019,16.97,17.54,17.565,17.5
11/06/2019,17.598,17.59,17.63,17.54
11/05/2019,17.567999999999998,18.06,18.085,17.52
11/04/2019,18.066,18.125,18.23,17.96
11/01/2019,18.004,18.03,18.03,18.03
10/31/2019,18.067,17.895,18.185,17.795
10/30/2019,17.815,17.79,17.82,17.715
10/29/2019,17.831,17.9,17.9,17.805
10/28/2019,17.875999999999998,18.065,18.145,17.785
10/25/2019,17.861,17.88,17.945,17.88
10/24/2019,17.804000000000002,17.575,17.86,17.485
10/23/2019,17.58,17.55,17.63,17.515
10/22/2019,17.5,17.58,17.68,17.44
10/21/2019,17.602,17.615,17.895,17.53
10/18/2019,17.502,17.47,17.47,17.465
10/17/2019,17.612000000000002,17.415,17.665,17.33
10/16/2019,17.427,17.43,17.49,17.18
10/15/2019,17.308,17.455,17.455,17.4
10/14/2019,17.71,17.59,17.735,17.455
10/11/2019,17.462,17.595,17.595,17.35
10/10/2019,17.602,17.8,17.935,17.455
10/09/2019,17.81,17.825,17.835,17.75
10/08/2019,17.617,17.64,17.64,17.64
10/07/2019,17.54,17.485,17.515,17.45
10/04/2019,17.54,17.44,17.455,17.32
10/03/2019,17.676,17.63,17.845,17.515
10/02/2019,17.592,17.175,17.58,17.155
10/01/2019,17.302,17.045,17.375,16.94
09/30/2019,16.998,17.59,17.66,16.98
09/27/2019,17.552,17.82,17.83,17.33
09/26/2019,17.912,17.99,18.11,17.785
09/25/2019,18.073,18.68,18.75,17.875
09/24/2019,18.517,18.52,18.52,18.52
09/23/2019,18.711,18.03,18.78,17.99
09/20/2019,17.738,17.755,17.95,17.74
09/19/2019,17.884,17.845,18.015,17.655
09/18/2019,17.919,18.095,18.12,17.58
09/17/2019,18.14,17.925,18.17,17.82
09/16/2019,17.901,17.865,17.865,17.865
09/13/2019,17.436,18.005,18.005,17.405
09/12/2019,18.177,18.2,18.555,18.085
09/11/2019,18.17,18.095,18.335,17.97
09/10/2019,18.186,18.09,18.265,17.855
09/09/2019,18.167,18.215,18.4,18.015
09/06/2019,17.968,18.63,18.685,17.97
09/05/2019,18.807000000000002,19.645,19.675,18.57
09/04/2019,19.547,19.35,19.75,19.28
09/03/2019,19.237000000000002,18.595,19.395,18.365
08/30/2019,18.48,18.365,18.575,18.165
08/29/2019,18.323,18.45,18.76,18.15
08/28/2019,18.456,18.295,18.62,18.17
08/27/2019,18.298,17.78,18.33,17.755
08/26/2019,17.785,17.65,17.9,17.64
08/23/2019,17.554000000000002,17.18,17.605,17.105
08/22/2019,17.014,17.014,17.014,17.014
08/21/2019,17.29,17.265,17.315,17.115
08/20/2019,17.148,16.87,17.17,16.83
08/19/2019,16.94,17.125,17.175,16.82
08/16/2019,17.122,17.25,17.315,17.03
08/15/2019,17.214000000000002,17.19,17.37,17.075
08/14/2019,17.28,16.95,17.305,16.855
08/13/2019,16.985,17.06,17.49,16.51
08/12/2019,17.070999999999998,16.965,17.15,16.8
08/09/2019,16.930999999999997,16.94,17.14,16.86
08/08/2019,16.936,17.1,17.225,16.81
08/07/2019,17.156,17.156,17.156,17.156
08/06/2019,16.445,16.44,16.53,16.365
08/05/2019,16.345,16.15,16.435,16.125
08/02/2019,16.27,16.355,16.385,16.03
08/01/2019,16.18,16.28,16.405,15.935
07/31/2019,16.405,16.585,16.6,16.215
07/30/2019,16.558,16.5,16.64,16.425
07/29/2019,16.44,16.42,16.5,16.36
07/26/2019,16.397000000000002,16.42,16.425,16.42
07/25/2019,16.410999999999998,16.62,16.685,16.345
07/24/2019,16.625999999999998,16.435,16.68,16.35
07/23/2019,16.476,16.38,16.575,16.205
07/22/2019,16.410999999999998,16.255,16.455,16.195
07/19/2019,16.195,16.385,16.625,16.08
07/18/2019,16.198,16.005,16.385,15.96
07/17/2019,15.892999999999999,15.73,15.785,15.73
07/16/2019,15.677999999999999,15.415,15.735,15.34
07/15/2019,15.365,15.24,15.43,15.185
07/12/2019,15.235999999999999,15.135,15.27,15.07
07/11/2019,15.145999999999999,15.265,15.345,15.12
07/10/2019,15.225999999999999,15.135,15.315,15.07
07/09/2019,15.147,15.035,15.155,14.965
07/08/2019,15.05,15.05,15.15,14.985
