Date,Close/Last,Open,High,Low
04/21/2020,2318,2318,2318,2318
04/20/2020,2358,2358,2358,2358
04/17/2020,2368,2368,2368,2368
04/16/2020,2235,2235,2235,2235
04/15/2020,2205,2205,2205,2205
04/14/2020,2265,2265,2265,2265
04/13/2020,2253,2253,2253,2253
04/09/2020,2305,2305,2305,2305
04/08/2020,2379,2379,2379,2379
04/07/2020,2410,2410,2410,2410
04/06/2020,2366,2366,2366,2366
04/03/2020,2264,2264,2264,2264
04/02/2020,2285,2285,2285,2285
04/01/2020,2227,2227,2227,2227
03/31/2020,2249,2249,2249,2249
03/30/2020,2265,2265,2265,2265
03/27/2020,2257,2257,2257,2257
03/26/2020,2255,2255,2255,2255
03/25/2020,2248,2248,2248,2248
03/24/2020,2275,2275,2275,2275
03/23/2020,2257,2257,2257,2257
03/20/2020,2230,2230,2230,2230
03/19/2020,2216,2216,2216,2216
03/18/2020,2284,2284,2284,2284
03/17/2020,2318,2318,2318,2318
03/16/2020,2331,2331,2331,2331
03/13/2020,2425,2425,2425,2425
03/12/2020,2495,2495,2495,2495
03/11/2020,2625,2625,2625,2625
03/10/2020,2577,2577,2577,2577
03/09/2020,2545,2545,2545,2545
03/06/2020,2561,2561,2561,2561
03/05/2020,2597,2597,2597,2597
03/04/2020,2626,2626,2626,2626
03/03/2020,2653,2653,2653,2653
03/02/2020,2661,2661,2661,2661
02/28/2020,2672,2672,2672,2672
02/27/2020,2745,2745,2745,2745
02/26/2020,2739,2739,2739,2739
02/25/2020,2806,2806,2806,2806
02/24/2020,2801,2801,2801,2801
02/21/2020,2843,2843,2843,2843
02/20/2020,2860,2860,2860,2860
02/19/2020,2847,2847,2847,2847
02/18/2020,2846,2846,2846,2846
02/14/2020,2886,2886,2886,2886
02/13/2020,2988,2988,2988,2988
02/12/2020,2904,2904,2904,2904
02/11/2020,2918,2918,2918,2918
02/10/2020,2940,2940,2940,2940
02/07/2020,2900,2900,2900,2900
02/06/2020,2849,2849,2849,2849
02/05/2020,2790,2790,2790,2790
02/04/2020,2757,2757,2757,2757
02/03/2020,2734,2734,2734,2734
01/30/2020,2801,2801,2801,2801
01/29/2020,2727,2727,2727,2727
01/28/2020,2703,2703,2703,2703
01/27/2020,2734,2734,2734,2734
01/24/2020,2733,2733,2733,2733
01/23/2020,2771,2771,2771,2771
01/22/2020,2803,2803,2803,2803
01/21/2020,2818,2818,2818,2818
01/17/2020,2797,2797,2797,2797
01/16/2020,2712,2712,2712,2712
01/15/2020,2689,2689,2689,2689
01/14/2020,2655,2655,2655,2655
01/13/2020,2583,2583,2583,2583
01/10/2020,2589,2589,2589,2589
01/09/2020,2554,2554,2554,2554
01/08/2020,2501,2501,2501,2501
01/07/2020,2533,2533,2533,2533
01/06/2020,2484,2484,2484,2484
01/03/2020,2519,2519,2519,2519
01/02/2020,2532,2532,2532,2532
12/31/2019,2540,2540,2540,2540
12/30/2019,2463,2463,2463,2463
12/27/2019,2497,2497,2497,2497
12/26/2019,2405,2405,2405,2405
12/24/2019,2443,2443,2443,2443
12/23/2019,2427,2427,2427,2427
12/20/2019,2417,2417,2417,2417
12/19/2019,2435,2435,2435,2435
12/18/2019,2506,2506,2506,2506
12/17/2019,2534,2534,2534,2534
12/16/2019,2545,2545,2545,2545
12/13/2019,2572,2572,2572,2572
12/12/2019,2521,2521,2521,2521
12/11/2019,2568,2568,2568,2568
12/10/2019,2585,2585,2585,2585
12/09/2019,2601,2601,2601,2601
12/06/2019,2607,2607,2607,2607
12/05/2019,2580,2580,2580,2580
12/04/2019,2547,2547,2547,2547
12/03/2019,2565,2565,2565,2565
12/02/2019,2544,2544,2544,2544
11/29/2019,2568,2568,2568,2568
11/27/2019,2597,2597,2597,2597
11/26/2019,2656,2656,2656,2656
11/25/2019,2598,2598,2598,2598
11/22/2019,2617,2617,2617,2617
11/21/2019,2642,2642,2642,2642
11/20/2019,2628,2628,2628,2628
11/19/2019,2653,2653,2653,2653
11/18/2019,2664,2664,2664,2664
11/15/2019,2681,2681,2681,2681
11/14/2019,2761,2761,2761,2761
11/13/2019,2675,2675,2675,2675
11/12/2019,2633,2633,2633,2633
11/11/2019,2533,2533,2533,2533
11/08/2019,2503,2503,2503,2503
11/07/2019,2440,2440,2440,2440
11/06/2019,2444,2444,2444,2444
11/05/2019,2484,2484,2484,2484
11/04/2019,2486,2486,2486,2486
11/01/2019,2478,2478,2478,2478
10/31/2019,2403,2403,2403,2403
10/30/2019,2454,2454,2454,2454
10/29/2019,2485,2485,2485,2485
10/28/2019,2463,2463,2463,2463
10/25/2019,2435,2435,2435,2435
10/24/2019,2463,2463,2463,2463
10/23/2019,2457,2457,2457,2457
10/22/2019,2448,2448,2448,2448
10/21/2019,2474,2474,2474,2474
10/18/2019,2486,2486,2486,2486
10/17/2019,2488,2488,2488,2488
10/16/2019,2515,2515,2515,2515
10/15/2019,2522,2522,2522,2522
10/14/2019,2449,2449,2449,2449
10/11/2019,2506,2506,2506,2506
10/10/2019,2460,2460,2460,2460
10/09/2019,2407,2407,2407,2407
10/08/2019,2448,2448,2448,2448
10/07/2019,2422,2422,2422,2422
10/04/2019,2475,2475,2475,2475
10/03/2019,2520,2520,2520,2520
10/02/2019,2482,2482,2482,2482
10/01/2019,2453,2453,2453,2453
09/30/2019,2442,2442,2442,2442
09/27/2019,2490,2490,2490,2490
09/26/2019,2505,2505,2505,2505
09/25/2019,2469,2469,2469,2469
09/24/2019,2439,2439,2439,2439
09/23/2019,2454,2454,2454,2454
09/20/2019,2473,2473,2473,2473
09/19/2019,2468,2468,2468,2468
09/18/2019,2401,2401,2401,2401
09/17/2019,2394,2394,2394,2394
09/16/2019,2383,2383,2383,2383
09/13/2019,2337,2337,2337,2337
09/12/2019,2319,2319,2319,2319
09/11/2019,2304,2304,2304,2304
09/10/2019,2287,2287,2287,2287
09/09/2019,2304,2304,2304,2304
09/06/2019,2277,2277,2277,2277
09/05/2019,2245,2245,2245,2245
09/04/2019,2269,2269,2269,2269
09/03/2019,2245,2245,2245,2245
08/30/2019,2222,2222,2222,2222
08/29/2019,2185,2185,2185,2185
08/28/2019,2243,2243,2243,2243
08/27/2019,2247,2247,2247,2247
08/26/2019,2238,2238,2238,2238
08/23/2019,2238,2238,2238,2238
08/22/2019,2230,2230,2230,2230
08/21/2019,2207,2207,2207,2207
08/20/2019,2174,2174,2174,2174
08/19/2019,2191,2191,2191,2191
08/16/2019,2187,2187,2187,2187
08/15/2019,2134,2134,2134,2134
08/14/2019,2143,2143,2143,2143
08/13/2019,2153,2153,2153,2153
08/12/2019,2194,2194,2194,2194
08/09/2019,2195,2195,2195,2195
08/08/2019,2205,2205,2205,2205
08/07/2019,2224,2224,2224,2224
08/06/2019,2252,2252,2252,2252
08/05/2019,2308,2308,2308,2308
08/02/2019,2320,2320,2320,2320
08/01/2019,2329,2329,2329,2329
07/31/2019,2345,2345,2345,2345
07/30/2019,2379,2379,2379,2379
07/29/2019,2383,2383,2383,2383
07/26/2019,2389,2389,2389,2389
07/25/2019,2434,2434,2434,2434
07/24/2019,2463,2463,2463,2463
07/23/2019,2475,2475,2475,2475
07/22/2019,2532,2532,2532,2532
07/19/2019,2467,2467,2467,2467
07/18/2019,2440,2440,2440,2440
07/17/2019,2424,2424,2424,2424
07/16/2019,2429,2429,2429,2429
07/15/2019,2420,2420,2420,2420
07/12/2019,2503,2503,2503,2503
07/11/2019,2491,2491,2491,2491
07/10/2019,2509,2509,2509,2509
07/09/2019,2522,2522,2522,2522
07/08/2019,2577,2577,2577,2577
07/05/2019,2463,2463,2463,2463
07/03/2019,2433,2433,2433,2433
07/02/2019,2472,2472,2472,2472
07/01/2019,2501,2501,2501,2501
06/28/2019,2425,2425,2425,2425
06/27/2019,2453,2453,2453,2453
06/26/2019,2461,2461,2461,2461
06/25/2019,2464,2464,2464,2464
06/24/2019,2487,2487,2487,2487
06/21/2019,2502,2502,2502,2502
06/20/2019,2446,2446,2446,2446
06/19/2019,2513,2513,2513,2513
06/18/2019,2500,2500,2500,2500
06/17/2019,2479,2479,2479,2479
06/14/2019,2496,2496,2496,2496
06/13/2019,2527,2527,2527,2527
06/12/2019,2568,2568,2568,2568
06/11/2019,2539,2539,2539,2539
06/10/2019,2544,2544,2544,2544
06/07/2019,2478,2478,2478,2478
06/06/2019,2427,2441,2441,2441
06/05/2019,2401,2401,2401,2401
06/04/2019,2360,2360,2360,2360
06/03/2019,2351,2351,2351,2351
05/31/2019,2400,2400,2400,2400
05/30/2019,2428,2428,2428,2428
05/29/2019,2438,2438,2438,2438
05/28/2019,2450,2450,2450,2450
05/24/2019,2467,2467,2467,2467
05/23/2019,2426,2426,2426,2426
05/22/2019,2413,2413,2413,2413
05/21/2019,2446,2446,2446,2446
05/20/2019,2387,2387,2387,2387
05/17/2019,2353,2353,2353,2353
05/16/2019,2372,2372,2372,2372
05/15/2019,2321,2321,2321,2321
05/14/2019,2293,2293,2293,2293
05/13/2019,2287,2287,2287,2287
05/10/2019,2312,2312,2312,2312
05/09/2019,2336,2336,2336,2336
05/08/2019,2305,2305,2305,2305
05/07/2019,2301,2301,2301,2301
05/06/2019,2340,2340,2340,2340
05/03/2019,2379,2379,2379,2379
05/02/2019,2374,2374,2374,2374
05/01/2019,2315,2315,2315,2315
04/30/2019,2359,2359,2359,2359
04/29/2019,2383,2383,2383,2383
04/26/2019,2335,2335,2335,2335
04/25/2019,2285,2285,2285,2285
04/24/2019,2248,2248,2248,2248
04/23/2019,2292,2292,2292,2292
04/22/2019,2342,2342,2342,2342
04/18/2019,2372,2372,2372,2372
04/17/2019,2403,2403,2403,2403
04/16/2019,2346,2346,2346,2346
04/15/2019,2406,2406,2406,2406
04/12/2019,2424,2424,2424,2424
04/11/2019,2388,2388,2388,2388
04/10/2019,2443,2443,2443,2443
04/09/2019,2446,2446,2446,2446
04/08/2019,2430,2430,2430,2430
04/05/2019,2413,2413,2413,2413
04/04/2019,2415,2415,2415,2415
04/03/2019,2376,2376,2376,2376
04/02/2019,2356,2356,2356,2356
04/01/2019,2327,2327,2327,2327
03/29/2019,2280,2280,2280,2280
03/28/2019,2257,2257,2257,2257
03/27/2019,2248,2248,2248,2248
03/26/2019,2237,2237,2237,2237
03/25/2019,2216,2216,2216,2216
03/22/2019,2159,2159,2159,2159
03/21/2019,2132,2132,2132,2132
03/20/2019,2143,2143,2143,2143
03/19/2019,2202,2202,2202,2202
03/18/2019,2196,2196,2196,2196
03/15/2019,2197,2197,2197,2197
03/14/2019,2214,2214,2214,2214
03/13/2019,2216,2216,2216,2216
03/12/2019,2217,2217,2217,2217
03/11/2019,2202,2202,2202,2202
03/08/2019,2198,2198,2198,2198
03/07/2019,2182,2182,2182,2182
03/06/2019,2245,2245,2245,2245
03/05/2019,2157,2157,2157,2157
03/04/2019,2156,2156,2156,2156
03/01/2019,2217,2217,2217,2217
02/28/2019,2247,2247,2247,2247
02/27/2019,2313,2313,2313,2313
02/26/2019,2276,2276,2276,2276
02/25/2019,2256,2256,2256,2256
02/22/2019,2288,2288,2288,2288
02/21/2019,2275,2275,2275,2275
02/20/2019,2317,2317,2317,2317
02/19/2019,2350,2350,2350,2350
02/15/2019,2339,2339,2339,2339
02/14/2019,2270,2270,2270,2270
02/13/2019,2248,2248,2248,2248
02/12/2019,2227,2227,2227,2227
02/11/2019,2224,2224,2224,2224
02/08/2019,2196,2196,2196,2196
02/07/2019,2221,2221,2221,2221
02/06/2019,2257,2257,2257,2257
02/05/2019,2219,2219,2219,2219
02/04/2019,2228,2228,2228,2228
02/01/2019,2168,2168,2168,2168
01/31/2019,2168,2168,2168,2168
01/30/2019,2176,2176,2176,2176
01/29/2019,2215,2215,2215,2215
01/28/2019,2250,2250,2250,2250
01/25/2019,2225,2225,2225,2225
01/24/2019,2256,2256,2256,2256
01/23/2019,2245,2245,2245,2245
01/22/2019,2246,2246,2246,2246
01/18/2019,2307,2307,2307,2307
01/17/2019,2335,2335,2335,2335
01/16/2019,2322,2322,2322,2322
01/15/2019,2274,2274,2274,2274
01/14/2019,2341,2341,2341,2341
01/11/2019,2356,2356,2356,2356
01/10/2019,2369,2369,2369,2369
01/09/2019,2351,2351,2351,2351
01/08/2019,2382,2382,2382,2382
01/07/2019,2410,2410,2410,2410
01/04/2019,2361,2361,2361,2361
01/03/2019,2400,2400,2400,2400
01/02/2019,2394,2394,2394,2394
12/31/2018,2416,2416,2416,2416
12/28/2018,2408,2408,2408,2408
12/27/2018,2373,2373,2373,2373
12/26/2018,2429,2429,2429,2429
12/24/2018,2315,2315,2315,2315
12/21/2018,2271,2271,2271,2271
12/20/2018,2271,2271,2271,2271
12/19/2018,2317,2317,2317,2317
12/18/2018,2271,2271,2271,2271
12/17/2018,2230,2230,2230,2230
12/14/2018,2237,2237,2237,2237
12/13/2018,2250,2250,2250,2250
12/12/2018,2162,2162,2162,2162
12/11/2018,2116,2116,2116,2116
12/10/2018,2206,2206,2206,2206
12/07/2018,2225,2225,2225,2225
12/06/2018,2128,2128,2128,2128
12/05/2018,2110,2110,2110,2110
12/04/2018,2187,2187,2187,2187
12/03/2018,2203,2203,2203,2203
11/30/2018,2203,2203,2203,2203
11/29/2018,2165,2165,2165,2165
11/28/2018,2121,2121,2121,2121
11/27/2018,2145,2145,2145,2145
11/26/2018,2116,2116,2116,2116
11/23/2018,2122,2122,2122,2122
11/21/2018,2145,2145,2145,2145
11/20/2018,2190,2190,2190,2190
11/19/2018,2206,2206,2206,2206
11/16/2018,2234,2234,2234,2234
11/15/2018,2166,2166,2166,2166
11/14/2018,2158,2158,2158,2158
11/13/2018,2211,2211,2211,2211
11/12/2018,2209,2209,2209,2209
11/09/2018,2250,2250,2250,2250
11/08/2018,2265,2265,2265,2265
11/07/2018,2383,2383,2383,2383
11/06/2018,2379,2379,2379,2379
11/05/2018,2312,2312,2312,2312
11/02/2018,2267,2267,2267,2267
11/01/2018,2264,2264,2264,2264
10/31/2018,2234,2234,2234,2234
10/30/2018,2215,2215,2215,2215
10/29/2018,2195,2195,2195,2195
10/26/2018,2251,2251,2251,2251
10/25/2018,2209,2209,2209,2209
10/24/2018,2137,2137,2137,2137
10/23/2018,2187,2187,2187,2187
10/22/2018,2220,2220,2220,2220
10/19/2018,2162,2162,2162,2162
10/18/2018,2145,2145,2145,2145
10/17/2018,2226,2226,2226,2226
10/16/2018,2194,2194,2194,2194
10/15/2018,2141,2141,2141,2141
10/12/2018,2160,2160,2160,2160
10/11/2018,2097,2097,2097,2097
10/10/2018,2088,2088,2088,2088
10/09/2018,2119,2119,2119,2119
10/08/2018,2086,2086,2086,2086
10/05/2018,2024,2024,2024,2024
10/04/2018,2010,2010,2010,2010
10/03/2018,2019,2019,2019,2019
10/02/2018,2086,2086,2086,2086
10/01/2018,1990,1990,1990,1990
09/28/2018,2057,2057,2057,2057
09/27/2018,2114,2114,2114,2114
09/26/2018,2151,2151,2151,2151
09/25/2018,2195,2195,2195,2195
09/24/2018,2235,2235,2235,2235
09/21/2018,2167,2167,2167,2167
09/20/2018,2201,2201,2201,2201
09/19/2018,2195,2195,2195,2195
09/18/2018,2242,2242,2242,2242
09/17/2018,2236,2236,2236,2236
09/14/2018,2219,2219,2219,2219
09/13/2018,2315,2315,2315,2315
09/12/2018,2325,2325,2325,2325
09/11/2018,2284,2284,2284,2284
09/10/2018,2300,2300,2300,2300
09/07/2018,2259,2259,2259,2259
09/06/2018,2281,2281,2281,2281
09/05/2018,2311,2311,2311,2311
09/04/2018,2332,2332,2332,2332
08/31/2018,2336,2336,2336,2336
08/30/2018,2275,2275,2275,2275
08/29/2018,2349,2349,2349,2349
08/28/2018,2320,2320,2320,2320
08/27/2018,2346,2346,2346,2346
08/24/2018,2364,2364,2364,2364
