Date,Close/Last,Open,High,Low
04/21/2020,1.0965,1.0965,1.0965,1.0965
04/20/2020,1.1365,1.1365,1.1365,1.1365
04/17/2020,1.1605,1.1605,1.1605,1.1605
04/16/2020,1.186,1.186,1.186,1.186
04/15/2020,1.202,1.202,1.202,1.202
04/14/2020,1.172,1.172,1.172,1.172
04/13/2020,1.1975,1.1975,1.1975,1.1975
04/09/2020,1.186,1.186,1.186,1.186
04/08/2020,1.198,1.198,1.198,1.198
04/07/2020,1.199,1.199,1.199,1.199
04/06/2020,1.1665,1.1665,1.1665,1.1665
04/03/2020,1.149,1.149,1.149,1.149
04/02/2020,1.1935,1.1935,1.1935,1.1935
04/01/2020,1.16,1.16,1.16,1.16
03/31/2020,1.1955,1.1955,1.1955,1.1955
03/30/2020,1.193,1.193,1.193,1.193
03/27/2020,1.1585,1.1585,1.1585,1.1585
03/26/2020,1.2465,1.2465,1.2465,1.2465
03/25/2020,1.2995,1.2995,1.2995,1.2995
03/24/2020,1.256,1.256,1.256,1.256
03/23/2020,1.2125,1.2125,1.2125,1.2125
03/20/2020,1.197,1.197,1.197,1.197
03/19/2020,1.127,1.127,1.127,1.127
03/18/2020,1.083,1.083,1.083,1.083
03/17/2020,1.026,1.026,1.026,1.026
03/16/2020,1.0390000000000001,1.0390000000000001,1.0390000000000001,1.0390000000000001
03/13/2020,1.0675,1.0675,1.0675,1.0675
03/12/2020,1.0885,1.0885,1.0885,1.0885
03/11/2020,1.1205,1.1205,1.1205,1.1205
03/10/2020,1.1435,1.1435,1.1435,1.1435
03/09/2020,1.092,1.092,1.092,1.092
03/06/2020,1.074,1.074,1.074,1.074
03/05/2020,1.1135,1.1135,1.1135,1.1135
03/04/2020,1.1840000000000002,1.1840000000000002,1.1840000000000002,1.1840000000000002
03/03/2020,1.222,1.222,1.222,1.222
03/02/2020,1.156,1.156,1.156,1.156
02/28/2020,1.1135,1.1135,1.1135,1.1135
02/27/2020,1.0975,1.0975,1.0975,1.0975
02/26/2020,1.1065,1.1065,1.1065,1.1065
02/25/2020,1.085,1.085,1.085,1.085
02/24/2020,1.069,1.069,1.069,1.069
02/21/2020,1.1025,1.1025,1.1025,1.1025
02/20/2020,1.0495,1.0495,1.0495,1.0495
02/19/2020,1.068,1.068,1.068,1.068
02/18/2020,1.0655,1.0655,1.0655,1.0655
02/14/2020,1.091,1.091,1.091,1.091
02/13/2020,1.0445,1.0445,1.0445,1.0445
02/12/2020,1.0065,1.0065,1.0065,1.0065
02/11/2020,1.005,1.005,1.005,1.005
02/10/2020,1.003,1.003,1.003,1.003
02/07/2020,0.9835,0.9835,0.9835,0.9835
02/06/2020,0.9815,0.9815,0.9815,0.9815
02/05/2020,0.9775,0.9775,0.9775,0.9775
02/04/2020,0.9815,0.9815,0.9815,0.9815
02/03/2020,0.9790000000000001,0.9790000000000001,0.9790000000000001,0.9790000000000001
01/31/2020,1.0265,1.0265,1.0265,1.0265
01/30/2020,1.015,1.015,1.015,1.015
01/29/2020,1.0205,1.0205,1.0205,1.0205
01/28/2020,1.0505,1.0505,1.0505,1.0505
01/27/2020,1.0659999999999998,1.0659999999999998,1.0659999999999998,1.0659999999999998
01/24/2020,1.1015,1.1015,1.1015,1.1015
01/23/2020,1.126,1.126,1.126,1.126
01/22/2020,1.11,1.11,1.11,1.11
01/21/2020,1.1105,1.1105,1.1105,1.1105
01/17/2020,1.1215,1.1215,1.1215,1.1215
01/16/2020,1.1295,1.1295,1.1295,1.1295
01/15/2020,1.143,1.143,1.143,1.143
01/14/2020,1.149,1.149,1.149,1.149
01/13/2020,1.1455,1.1455,1.1455,1.1455
01/10/2020,1.1895,1.1895,1.1895,1.1895
01/09/2020,1.1735,1.1735,1.1735,1.1735
01/08/2020,1.1915,1.1915,1.1915,1.1915
01/07/2020,1.224,1.224,1.224,1.224
01/06/2020,1.2215,1.2215,1.2215,1.2215
01/03/2020,1.2635,1.2635,1.2635,1.2635
01/02/2020,1.271,1.271,1.271,1.271
12/31/2019,1.297,1.297,1.297,1.297
12/30/2019,1.3215,1.3215,1.3215,1.3215
12/27/2019,1.325,1.325,1.325,1.325
12/26/2019,1.273,1.273,1.273,1.273
12/24/2019,1.294,1.294,1.294,1.294
12/23/2019,1.253,1.253,1.253,1.253
12/20/2019,1.307,1.307,1.307,1.307
12/19/2019,1.272,1.272,1.272,1.272
12/18/2019,1.3319999999999999,1.3319999999999999,1.3319999999999999,1.3319999999999999
12/17/2019,1.337,1.337,1.337,1.337
12/16/2019,1.3895,1.3895,1.3895,1.3895
12/13/2019,1.3090000000000002,1.3090000000000002,1.3090000000000002,1.3090000000000002
12/12/2019,1.3725,1.3725,1.3725,1.3725
12/11/2019,1.3519999999999999,1.3519999999999999,1.3519999999999999,1.3519999999999999
12/10/2019,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002
12/09/2019,1.284,1.284,1.284,1.284
12/06/2019,1.248,1.248,1.248,1.248
12/05/2019,1.2485,1.2485,1.2485,1.2485
12/04/2019,1.2125,1.2125,1.2125,1.2125
12/03/2019,1.238,1.238,1.238,1.238
12/02/2019,1.22,1.22,1.22,1.22
11/29/2019,1.1905,1.1905,1.1905,1.1905
11/27/2019,1.1845,1.1845,1.1845,1.1845
11/26/2019,1.1685,1.1685,1.1685,1.1685
11/25/2019,1.189,1.189,1.189,1.189
11/22/2019,1.1565,1.1565,1.1565,1.1565
11/21/2019,1.1625,1.122,1.122,1.122
11/20/2019,1.1095,1.1095,1.1095,1.1095
11/19/2019,1.0270000000000001,1.0270000000000001,1.0270000000000001,1.0270000000000001
11/18/2019,1.092,1.092,1.092,1.092
11/15/2019,1.0615,1.0615,1.0615,1.0615
11/14/2019,1.0805,1.0805,1.0805,1.0805
11/13/2019,1.0795,1.0795,1.0795,1.0795
11/12/2019,1.056,1.056,1.056,1.056
11/11/2019,1.06,1.06,1.06,1.06
11/08/2019,1.0945,1.0945,1.0945,1.0945
11/07/2019,1.091,1.091,1.091,1.091
11/06/2019,1.08,1.08,1.08,1.08
11/05/2019,1.058,1.058,1.058,1.058
11/04/2019,1.0365,1.0365,1.0365,1.0365
11/01/2019,1.04,1.04,1.04,1.04
10/31/2019,1.0195,1.0195,1.0195,1.0195
10/30/2019,0.9935,0.9935,0.9935,0.9935
10/29/2019,0.9895,0.9895,0.9895,0.9895
10/28/2019,1.005,1.005,1.005,1.005
10/25/2019,0.9945,0.9945,0.9945,0.9945
10/24/2019,0.9645,0.9645,0.9645,0.9645
10/23/2019,0.9775,0.9775,0.9775,0.9775
10/22/2019,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.9890000000000001
10/21/2019,0.9635,0.9635,0.9635,0.9635
10/18/2019,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001
10/17/2019,0.929,0.929,0.929,0.929
10/16/2019,0.9355,0.9355,0.9355,0.9355
10/15/2019,0.9445,0.9445,0.9445,0.9445
10/14/2019,0.9485,0.9485,0.9485,0.9485
10/11/2019,0.937,0.937,0.937,0.937
10/10/2019,0.935,0.935,0.935,0.935
10/09/2019,0.9545,0.9545,0.9545,0.9545
10/08/2019,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001
10/07/2019,0.97,0.97,0.97,0.97
10/04/2019,0.99,0.99,0.99,0.99
10/03/2019,1.0205,1.0205,1.0205,1.0205
10/02/2019,1.006,1.006,1.006,1.006
10/01/2019,1.0135,1.0135,1.0135,1.0135
09/30/2019,1.0115,1.0115,1.0115,1.0115
09/27/2019,1.0090000000000001,1.0090000000000001,1.0090000000000001,1.0090000000000001
09/26/2019,1.0085,1.0085,1.0085,1.0085
09/25/2019,1.0095,1.0095,1.0095,1.0095
09/24/2019,0.9915,0.9915,0.9915,0.9915
09/23/2019,0.99,0.99,0.99,0.99
09/20/2019,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9840000000000001
09/19/2019,0.9835,0.9835,0.9835,0.9835
09/17/2019,1.0035,1.0035,1.0035,1.0035
09/16/2019,1.043,1.043,1.043,1.043
09/13/2019,1.0275,1.0275,1.0275,1.0275
09/12/2019,1.036,1.036,1.036,1.036
09/11/2019,1.034,1.034,1.034,1.034
09/10/2019,1.016,1.016,1.016,1.016
09/09/2019,0.9825,0.9825,0.9825,0.9825
09/06/2019,0.9705,0.9705,0.9705,0.9705
09/05/2019,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.9540000000000001
09/04/2019,0.966,0.966,0.966,0.966
09/03/2019,0.9555,0.9555,0.9555,0.9555
08/30/2019,0.9685,0.9685,0.9685,0.9685
08/29/2019,0.9525,0.9525,0.9525,0.9525
08/28/2019,0.9755,0.9755,0.9755,0.9755
08/27/2019,0.9715,0.9715,0.9715,0.9715
08/26/2019,0.975,0.975,0.975,0.975
08/23/2019,0.9605,0.9605,0.9605,0.9605
08/22/2019,0.973,0.973,0.973,0.973
08/21/2019,0.9285,0.9285,0.9285,0.9285
08/20/2019,0.9145,0.9145,0.9145,0.9145
08/19/2019,0.9115,0.9115,0.9115,0.9115
08/16/2019,0.9285,0.9285,0.9285,0.9285
08/15/2019,0.9455,0.9455,0.9455,0.9455
08/14/2019,0.9445,0.9445,0.9445,0.9445
08/13/2019,0.9635,0.9635,0.9635,0.9635
08/12/2019,0.9375,0.9375,0.9375,0.9375
08/09/2019,0.973,0.973,0.973,0.973
08/08/2019,0.9740000000000001,0.9740000000000001,0.9740000000000001,0.9740000000000001
08/07/2019,0.9690000000000001,0.9690000000000001,0.9690000000000001,0.9690000000000001
08/06/2019,0.9705,0.9705,0.9705,0.9705
08/05/2019,0.9565,0.9565,0.9565,0.9565
08/02/2019,0.9815,0.9815,0.9815,0.9815
