Date,Close/Last,Open,High,Low
04/21/2020,0.5331,0.5331,0.5331,0.5331
04/20/2020,0.5403,0.5403,0.5403,0.5403
04/17/2020,0.5277,0.5277,0.5277,0.5277
04/16/2020,0.5279,0.5279,0.5279,0.5279
04/15/2020,0.5275,0.5275,0.5275,0.5275
04/14/2020,0.5251,0.5251,0.5251,0.5251
04/13/2020,0.5276,0.5276,0.5276,0.5276
04/09/2020,0.5437,0.5437,0.5437,0.5437
04/08/2020,0.5384,0.5384,0.5384,0.5384
04/07/2020,0.529,0.529,0.529,0.529
04/06/2020,0.5305,0.5305,0.5305,0.5305
04/03/2020,0.5098,0.5098,0.5098,0.5098
04/02/2020,0.4999,0.4999,0.4999,0.4999
04/01/2020,0.4841,0.49,0.49,0.49
03/31/2020,0.5113,0.505,0.505,0.505
03/30/2020,0.507,0.507,0.507,0.507
03/27/2020,0.5133,0.5135,0.5135,0.5135
03/26/2020,0.5278,0.5278,0.5278,0.5278
03/25/2020,0.5344,0.5344,0.5344,0.5344
03/24/2020,0.5289,0.5454,0.5454,0.5454
03/23/2020,0.5215,0.513,0.513,0.513
03/20/2020,0.5368,0.5368,0.5368,0.5368
03/19/2020,0.5493,0.5493,0.5493,0.5493
03/18/2020,0.5664,0.5664,0.5664,0.5664
03/17/2020,0.5792,0.5792,0.5792,0.5792
03/16/2020,0.588,0.588,0.588,0.588
03/13/2020,0.6049,0.6049,0.6049,0.6049
03/12/2020,0.597,0.597,0.597,0.597
03/11/2020,0.6155,0.6155,0.6155,0.6155
03/10/2020,0.6141,0.6141,0.6141,0.6141
03/09/2020,0.6121,0.6121,0.6121,0.6121
03/06/2020,0.6279,0.6279,0.6279,0.6279
03/05/2020,0.6335,0.6335,0.6335,0.6335
03/04/2020,0.6298,0.6298,0.6298,0.6298
03/03/2020,0.6277,0.6277,0.6277,0.6277
03/02/2020,0.6338,0.6338,0.6338,0.6338
02/28/2020,0.6149,0.6059,0.6059,0.6059
02/27/2020,0.625,0.65,0.65,0.65
02/26/2020,0.6547,0.6547,0.6547,0.6547
02/25/2020,0.6629999999999999,0.6629999999999999,0.6629999999999999,0.6629999999999999
02/24/2020,0.6756,0.6756,0.6756,0.6756
02/21/2020,0.6893,0.6893,0.6893,0.6893
02/20/2020,0.6875,0.6875,0.6875,0.6875
02/19/2020,0.6848,0.6848,0.6848,0.6848
02/18/2020,0.6787,0.6787,0.6787,0.6787
02/14/2020,0.6741,0.6741,0.6741,0.6741
02/13/2020,0.6775,0.6775,0.6775,0.6775
02/12/2020,0.6858,0.6858,0.6858,0.6858
02/11/2020,0.6823,0.6823,0.6823,0.6823
02/10/2020,0.6819,0.6819,0.6819,0.6819
02/07/2020,0.6775,0.6775,0.6775,0.6775
02/06/2020,0.6791,0.6791,0.6791,0.6791
02/05/2020,0.6751,0.6751,0.6751,0.6751
02/04/2020,0.6735,0.6735,0.6735,0.6735
02/03/2020,0.6684,0.6684,0.6684,0.6684
01/31/2020,0.675,0.675,0.675,0.675
01/30/2020,0.6905,0.6905,0.6905,0.6905
01/29/2020,0.7006,0.7006,0.7006,0.7006
01/28/2020,0.7036,0.7016,0.7016,0.7016
01/27/2020,0.6951,0.6951,0.6951,0.6951
01/24/2020,0.6940000000000001,0.6925,0.6925,0.6925
01/23/2020,0.7003,0.7003,0.7003,0.7003
01/22/2020,0.7113,0.7113,0.7113,0.7113
01/21/2020,0.6924,0.6924,0.6924,0.6924
01/17/2020,0.7125,0.7125,0.7125,0.7125
01/16/2020,0.7022,0.6989,0.6989,0.6989
01/15/2020,0.7032,0.7032,0.7032,0.7032
01/14/2020,0.7138,0.7138,0.7138,0.7138
01/13/2020,0.7153,0.7153,0.7153,0.7153
01/10/2020,0.7131,0.7131,0.7131,0.7131
01/09/2020,0.7069,0.7069,0.7069,0.7069
01/08/2020,0.6996,0.6996,0.6996,0.6996
01/07/2020,0.6983,0.6983,0.6983,0.6983
01/06/2020,0.7004,0.7,0.7,0.7
01/03/2020,0.6920000000000001,0.6915,0.6915,0.6915
01/02/2020,0.6927,0.6927,0.6927,0.6927
12/31/2019,0.6905,0.6905,0.6905,0.6905
12/30/2019,0.6956,0.6956,0.6956,0.6956
12/27/2019,0.6892,0.6892,0.6892,0.6892
12/24/2019,0.687,0.687,0.687,0.687
12/23/2019,0.6861,0.6861,0.6861,0.6861
12/20/2019,0.6796,0.6796,0.6796,0.6796
12/19/2019,0.6758,0.6758,0.6758,0.6758
12/18/2019,0.6674,0.6674,0.6674,0.6674
12/17/2019,0.6644,0.6644,0.6644,0.6644
12/16/2019,0.6697,0.6697,0.6697,0.6697
12/13/2019,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.6679999999999999
12/12/2019,0.6717,0.6717,0.6717,0.6717
12/11/2019,0.6588,0.6588,0.6588,0.6588
12/10/2019,0.6593,0.6593,0.6593,0.6593
12/09/2019,0.6538,0.6529,0.6529,0.6529
12/06/2019,0.66,0.66,0.66,0.66
12/05/2019,0.6451,0.6451,0.6451,0.6451
12/04/2019,0.647,0.647,0.647,0.647
12/03/2019,0.6405,0.6405,0.6405,0.6405
12/02/2019,0.648,0.648,0.648,0.648
11/29/2019,0.6536,0.6536,0.6536,0.6536
11/27/2019,0.6581,0.6581,0.6581,0.6581
11/26/2019,0.6595,0.6595,0.6595,0.6595
11/25/2019,0.6579999999999999,0.6579999999999999,0.6579999999999999,0.6579999999999999
11/22/2019,0.6485,0.6485,0.6485,0.6485
11/21/2019,0.6184,0.6184,0.6184,0.6184
11/20/2019,0.6224,0.6224,0.6224,0.6224
11/19/2019,0.6344,0.6344,0.6344,0.6344
11/18/2019,0.6421,0.6421,0.6421,0.6421
11/15/2019,0.6486,0.6486,0.6486,0.6486
11/14/2019,0.6427,0.6427,0.6427,0.6427
11/13/2019,0.6422,0.6422,0.6422,0.6422
11/12/2019,0.6474,0.6474,0.6474,0.6474
11/11/2019,0.6429,0.6429,0.6429,0.6429
11/08/2019,0.6472,0.6472,0.6472,0.6472
11/07/2019,0.6435,0.6435,0.6435,0.6435
11/06/2019,0.6369,0.6369,0.6369,0.6369
11/05/2019,0.6381,0.6381,0.6381,0.6381
11/04/2019,0.6366,0.6366,0.6366,0.6366
11/01/2019,0.6423,0.6423,0.6423,0.6423
10/31/2019,0.6444,0.6444,0.6444,0.6444
10/30/2019,0.657,0.657,0.657,0.657
10/29/2019,0.6472,0.6472,0.6472,0.6472
10/28/2019,0.6479,0.6479,0.6479,0.6479
10/25/2019,0.649,0.649,0.649,0.649
10/24/2019,0.6465,0.6465,0.6465,0.6465
10/23/2019,0.6495,0.6495,0.6495,0.6495
10/22/2019,0.6467,0.6467,0.6467,0.6467
10/21/2019,0.6456,0.6456,0.6456,0.6456
10/18/2019,0.6516,0.6516,0.6516,0.6516
10/17/2019,0.6499,0.6499,0.6499,0.6499
10/16/2019,0.6454,0.6454,0.6454,0.6454
10/15/2019,0.6353,0.6353,0.6353,0.6353
10/14/2019,0.6222,0.6222,0.6222,0.6222
10/11/2019,0.6388,0.6388,0.6388,0.6388
10/10/2019,0.6142,0.6142,0.6142,0.6142
10/09/2019,0.6209,0.6209,0.6209,0.6209
10/08/2019,0.6132,0.6132,0.6132,0.6132
10/07/2019,0.6183,0.6214,0.6214,0.6214
10/04/2019,0.6167,0.6167,0.6167,0.6167
10/03/2019,0.616,0.616,0.616,0.616
10/02/2019,0.6133,0.6133,0.6133,0.6133
10/01/2019,0.6098,0.6098,0.6098,0.6098
09/30/2019,0.6083,0.6083,0.6083,0.6083
09/27/2019,0.609,0.609,0.609,0.609
09/26/2019,0.6028,0.6028,0.6028,0.6028
09/25/2019,0.6045,0.6045,0.6045,0.6045
09/24/2019,0.604,0.604,0.604,0.604
09/23/2019,0.5983,0.5983,0.5983,0.5983
