Date, Close/Last, Volume, Open, High, Low
04/21/2020, 317.5, 232, 324.7, 325.6, 314
04/20/2020, 328.6, 261, 337.2, 342.5, 328.6
04/17/2020, 341.7, 237, 337.9, 344.7, 329.9
04/16/2020, 332.6, 255, 322.1, 338.8, 317.5
04/15/2020, 324, 217, 332.6, 334.4, 317.5
04/14/2020, 331, 283, 335.5, 344.4, 330
04/13/2020, 333.7, 186, 326.1, 334.7, 322
04/09/2020, 322.1, 273, 312.6, 322.1, 295.2
04/08/2020, 304.1, 198, 309.5, 313.8, 300.7
04/07/2020, 307.4, 293, 294.1, 309, 294.1
04/06/2020, 282, 93, 282, 282, 282
04/03/2020, 264, 146, 260.6, 265.6, 255.5
04/02/2020, 264.1, 250, 260.4, 277, 258.2
04/01/2020, 259.8, 347, 271.1, 271.2, 251.5
03/31/2020, 278.5, 373, 293, 293, 278.5
03/30/2020, 296.5, 216, 305.5, 307.1, 296
03/27/2020, 311.3, 202, 312.4, 317.7, 308
03/26/2020, 320.8, 201, 316.3, 322.2, 311.3
03/25/2020, 311.6, 214, 319.6, 320, 307.9
03/24/2020, 321.5, 194, 328.9, 329.4, 317
03/23/2020, 320.2, 159, 321.4, 326.8, 310.9
03/20/2020, 322.3, 287, 325.9, 335.4, 319
03/19/2020, 319.8, 265, 306.4, 321.4, 306.4
03/18/2020, 303.4, 434, 305.4, 309.9, 292.9
03/17/2020, 310, 525, 318.5, 318.5, 305.3
03/16/2020, 325, 58, 325, 325, 325
03/13/2020, 343, 1127, 331, 344.2, 317.1
03/12/2020, 331, 121, 331, 331, 331
03/11/2020, 349, 507, 355, 360.7, 349
03/10/2020, 364.8, 904, 369.1, 370.9, 352.1
03/09/2020, 356.7, 350, 369.8, 369.8, 356.7
03/06/2020, 383.7, 721, 396.7, 397.4, 383.7
03/05/2020, 401.7, 410, 403.4, 410.8, 401.2
03/04/2020, 410.8, 518, 408.3, 412.5, 399.5
03/03/2020, 406.3, 662, 425.1, 428.2, 405
03/02/2020, 410.9, 618, 407.9, 426, 405.7
02/28/2020, 410.9, 883, 410.5, 418.1, 410
02/27/2020, 428, 742, 434.9, 437.3, 427
02/26/2020, 445, 554, 446.7, 446.9, 443.4
02/25/2020, 451.8, 447, 455.5, 459.5, 450
02/24/2020, 459.5, 578, 461.9, 466.7, 457.7
02/21/2020, 460.1, 373, 462, 464.5, 459.2
02/20/2020, 463, 497, 465, 468.3, 460.7
02/19/2020, 460.3, 536, 451.2, 464.1, 451.2
02/18/2020, 446.1, 219, 448.4, 452, 444.8
02/14/2020, 449.3, 247, 451.5, 452.8, 445.9
02/13/2020, 455.1, 500, 456.2, 459.9, 453.5
02/12/2020, 454.5, 493, 451, 457, 447.9
02/11/2020, 451.4, 545, 445.1, 454, 442.5
02/10/2020, 446, 721, 440.2, 450.9, 440.2
02/07/2020, 440.2, 497, 432.5, 443.9, 432.5
02/06/2020, 433.2, 358, 428.1, 434.9, 428.1
02/05/2020, 428.3, 691, 415.6, 429.5, 413.9
02/04/2020, 412.7, 1143, 419.5, 422.4, 407
02/03/2020, 422.8, 659, 434.3, 439, 418.8
01/31/2020, 435.5, 439, 436.6, 438.4, 430
01/30/2020, 436.1, 454, 427.6, 438.9, 424.2
01/29/2020, 428, 232, 427.1, 432.8, 426.1
01/28/2020, 427.1, 327, 420, 429.2, 419.5
01/27/2020, 420.8, 520, 420, 422.9, 417.2
01/24/2020, 426.2, 315, 425.3, 432.3, 425.3
01/23/2020, 426, 240, 425.9, 426.8, 420.2
01/22/2020, 425.2, 230, 425.9, 432.7, 423.8
01/21/2020, 424.7, 345, 429.6, 431.1, 424.2
01/17/2020, 430, 643, 438, 444.4, 429.1
01/16/2020, 428.8, 284, 425.8, 434.9, 420.8
01/15/2020, 426.5, 442, 420, 429.6, 418.2
01/14/2020, 420.4, 199, 421.8, 424.4, 418.5
01/13/2020, 422.6, 301, 415.9, 424.4, 415.8
01/10/2020, 416.2, 253, 417.2, 417.4, 414.5
01/09/2020, 416, 534, 423, 427, 414.1
01/08/2020, 422.9, 377, 419.4, 427, 418
01/07/2020, 418.3, 269, 416.5, 424.8, 416.5
01/06/2020, 420.5, 374, 428.1, 429.1, 419.9
01/03/2020, 427.6, 296, 428.6, 433.9, 426.5
01/02/2020, 431.8, 607, 425.2, 438.5, 424.5
12/31/2019, 426.2, 258, 430.1, 431.3, 421
12/30/2019, 427.8, 412, 429.1, 434.5, 426.5
12/27/2019, 427.9, 182, 422.5, 429.2, 422.5
12/26/2019, 422.3, 132, 425.1, 426.4, 421.2
12/24/2019, 420.9, 48, 422.5, 423.5, 420.6
12/23/2019, 408.6, 320, 414.5, 414.5, 407.5
12/20/2019, 413.3, 303, 417.3, 418.6, 411.4
12/19/2019, 417.2, 517, 405.4, 421.1, 404.9
12/18/2019, 406.8, 189, 408.5, 408.7, 403.1
12/17/2019, 406.4, 319, 411.1, 415.4, 400.2
12/16/2019, 410.8, 441, 405, 413.9, 403.9
12/13/2019, 404.6, 332, 397.3, 405.9, 394.1
12/12/2019, 397.8, 345, 399, 399.2, 397.4
