Date,Close/Last,Open,High,Low
04/21/2020,0.0975,0.0975,0.0975,0.0975
04/20/2020,0.1006,0.1006,0.1006,0.1006
04/17/2020,0.1037,0.1037,0.1037,0.1037
04/15/2020,0.1016,0.1016,0.1016,0.1016
04/14/2020,0.1005,0.1005,0.1005,0.1005
04/13/2020,0.1017,0.1017,0.1017,0.1017
04/09/2020,0.1043,0.1043,0.1043,0.1043
04/08/2020,0.1037,0.1037,0.1037,0.1037
04/07/2020,0.1038,0.1038,0.1038,0.1038
04/06/2020,0.1045,0.1045,0.1045,0.1045
04/03/2020,0.1031,0.1031,0.1031,0.1031
04/02/2020,0.1029,0.1029,0.1029,0.1029
04/01/2020,0.1004,0.1004,0.1004,0.1004
03/31/2020,0.1042,0.1042,0.1042,0.1042
03/30/2020,0.1073,0.1073,0.1073,0.1073
03/27/2020,0.111,0.111,0.111,0.111
03/26/2020,0.1133,0.1133,0.1133,0.1133
03/25/2020,0.1141,0.1141,0.1141,0.1141
03/24/2020,0.1127,0.1127,0.1127,0.1127
03/23/2020,0.1104,0.1104,0.1104,0.1104
03/20/2020,0.1091,0.1091,0.1091,0.1091
03/19/2020,0.1059,0.1059,0.1059,0.1059
03/18/2020,0.1067,0.1067,0.1067,0.1067
03/17/2020,0.1089,0.1089,0.1089,0.1089
03/16/2020,0.1109,0.1109,0.1109,0.1109
03/13/2020,0.11699999999999999,0.11699999999999999,0.11699999999999999,0.11699999999999999
03/12/2020,0.1162,0.1162,0.1162,0.1162
03/11/2020,0.1226,0.1226,0.1226,0.1226
03/10/2020,0.1259,0.1259,0.1259,0.1259
03/09/2020,0.1261,0.1261,0.1261,0.1261
03/06/2020,0.1302,0.1302,0.1302,0.1302
03/05/2020,0.1342,0.1342,0.1342,0.1342
03/04/2020,0.1347,0.1347,0.1347,0.1347
03/03/2020,0.1376,0.1376,0.1376,0.1376
03/02/2020,0.1381,0.1381,0.1381,0.1381
02/28/2020,0.1446,0.1446,0.1446,0.1446
02/27/2020,0.1439,0.1439,0.1439,0.1439
02/26/2020,0.1479,0.1479,0.1479,0.1479
02/25/2020,0.1515,0.1515,0.1515,0.1515
02/24/2020,0.1527,0.1527,0.1527,0.1527
02/21/2020,0.1559,0.1559,0.1559,0.1559
02/20/2020,0.154,0.154,0.154,0.154
02/19/2020,0.1558,0.1558,0.1558,0.1558
02/18/2020,0.1528,0.1528,0.1528,0.1528
02/14/2020,0.1506,0.1506,0.1506,0.1506
02/13/2020,0.1516,0.1516,0.1516,0.1516
02/12/2020,0.1578,0.1578,0.1578,0.1578
02/11/2020,0.1541,0.1541,0.1541,0.1541
02/10/2020,0.1504,0.1504,0.1504,0.1504
02/07/2020,0.1492,0.1492,0.1492,0.1492
02/06/2020,0.1474,0.1474,0.1474,0.1474
02/05/2020,0.1473,0.1473,0.1473,0.1473
02/04/2020,0.1471,0.1471,0.1471,0.1471
02/03/2020,0.1489,0.1489,0.1489,0.1489
01/31/2020,0.1461,0.1461,0.1461,0.1461
01/30/2020,0.1459,0.1459,0.1459,0.1459
01/29/2020,0.1449,0.1449,0.1449,0.1449
01/28/2020,0.1454,0.1454,0.1454,0.1454
01/27/2020,0.1421,0.1421,0.1421,0.1421
01/24/2020,0.1439,0.1439,0.1439,0.1439
01/23/2020,0.1457,0.1457,0.1457,0.1457
01/22/2020,0.1466,0.1466,0.1466,0.1466
01/21/2020,0.1455,0.1455,0.1455,0.1455
01/17/2020,0.1445,0.1445,0.1445,0.1445
01/16/2020,0.1443,0.1443,0.1443,0.1443
01/15/2020,0.1452,0.1452,0.1452,0.1452
01/14/2020,0.1432,0.1432,0.1432,0.1432
01/13/2020,0.1416,0.1416,0.1416,0.1416
01/10/2020,0.1407,0.1407,0.1407,0.1407
01/09/2020,0.1371,0.1371,0.1371,0.1371
01/08/2020,0.1347,0.1347,0.1347,0.1347
01/07/2020,0.1359,0.1359,0.1359,0.1359
01/06/2020,0.1373,0.1373,0.1373,0.1373
01/03/2020,0.1331,0.1331,0.1331,0.1331
01/02/2020,0.1313,0.1313,0.1313,0.1313
12/31/2019,0.1342,0.1342,0.1342,0.1342
12/30/2019,0.1353,0.1353,0.1353,0.1353
12/27/2019,0.1354,0.1354,0.1354,0.1354
12/26/2019,0.1344,0.1344,0.1344,0.1344
12/24/2019,0.1337,0.1337,0.1337,0.1337
12/23/2019,0.1345,0.1345,0.1345,0.1345
12/20/2019,0.1354,0.1354,0.1354,0.1354
12/19/2019,0.1355,0.1355,0.1355,0.1355
12/18/2019,0.1343,0.1343,0.1343,0.1343
