Date,Close/Last,Open,High,Low
04/20/2020,6854.9,7162.5,6907.7,6818.9
04/19/2020,7162.6,7209.5,7187.7,7086.1
04/18/2020,7209.4,7087.7,7238.0,7182.4
04/17/2020,7083.3,7084.6,7105.9,7031.5
04/16/2020,7076.6,6651.2,7118.5,7039.7
04/15/2020,6659.5,6907.0,6663.2,6520.5
04/14/2020,6902.3,6881.6,6903.2,6800.6
04/13/2020,6884.9,6678.7,6899.5,6807.0
04/12/2020,6684.4,6810.9,6920.1,6632.7
04/11/2020,6808.9,6900.0,6889.8,6805.7
04/10/2020,6901.0,7176.7,6915.5,6840.6
04/09/2020,7169.3,7288.6,7294.4,7166.6
04/08/2020,7281.3,7349.8,7360.7,7268.4
04/07/2020,7356.8,7323.0,7370.1,7153.1
04/06/2020,7304.8,6842.0,7440.3,7263.5
04/05/2020,6836.3,6798.4,6875.8,6770.1
04/04/2020,6804.7,6704.5,6889.4,6794.5
04/03/2020,6706.4,6785.7,6785.3,6682.6
04/02/2020,6799.3,6607.5,6830.2,6727.8
04/01/2020,6594.4,6370.5,6727.0,6567.9
03/31/2020,6346.7,6443.5,6425.5,6273.6
03/30/2020,6454.3,6007.6,6513.1,6385.6
03/29/2020,5998.8,6211.0,6022.8,5872.5
03/28/2020,6214.5,6257.4,6258.8,6185.3
03/27/2020,6122.4,6778.2,6374.3,6085.1
03/26/2020,6782.0,6687.3,6813.7,6727.8
03/25/2020,6726.3,6599.7,6772.9,6659.4
03/24/2020,6571.6,6588.4,6744.8,6542.3
03/23/2020,6547.6,5898.5,6643.2,6462.4
03/22/2020,5977.5,6273.3,5986.6,5710.8
03/21/2020,6349.6,6270.8,6359.5,6119.0
03/20/2020,6246.2,6083.7,6355.5,6080.8
03/19/2020,6095.4,5289.5,6261.9,6019.6
03/18/2020,5275.0,5343.4,5404.1,5256.0
03/17/2020,5342.1,5231.1,5362.5,5220.4
03/16/2020,5218.8,5276.5,5368.9,4946.5
03/15/2020,5267.4,5184.3,5369.3,5213.4
03/14/2020,5184.5,5572.2,5277.5,5120.6
03/13/2020,5584.1,5175.7,5634.9,5343.2
03/12/2020,5105.3,7666.1,5499.0,3869.5
03/11/2020,7653.3,7931.1,7963.1,7605.8
03/10/2020,7926.2,7906.4,7964.9,7872.8
03/09/2020,7911.4,8066.2,7966.1,7859.2
03/08/2020,8052.9,8749.2,8158.8,8007.4
03/07/2020,8738.9,9074.4,8888.0,8712.7
03/06/2020,9077.1,9048.7,9141.5,9064.5
03/05/2020,9050.1,8888.7,9079.4,9004.9
03/04/2020,8745.4,8799.2,8840.3,8702.7
03/03/2020,8813.5,8840.6,8830.0,8731.5
03/02/2020,8840.3,8640.2,8911.7,8798.0
03/01/2020,8634.3,8582.9,8648.0,8503.1
02/29/2020,8592.1,8745.8,8665.6,8532.6
02/28/2020,8747.9,8834.5,8766.9,8668.5
02/27/2020,8853.6,8711.6,8898.7,8789.8
02/26/2020,8705.3,9182.7,8804.3,8538.5
02/25/2020,9177.8,9587.9,9368.1,9125.6
02/24/2020,9592.1,9768.7,9672.3,9566.7
02/23/2020,9754.5,9844.0,9981.0,9663.3
02/22/2020,9839.7,9630.3,9896.9,9653.4
