Date,Close/Last,Open,High,Low
04/20/2020,75.0,82.27,75.92,74.0
04/19/2020,81.88,82.25,82.43,79.9
04/18/2020,82.23,77.7,82.33,78.92
04/17/2020,78.47,75.93,78.84,76.32
04/16/2020,76.39,69.24,76.94,75.4
04/15/2020,69.46,73.08,70.8,67.54
04/14/2020,73.43,73.5,73.48,71.68
04/13/2020,74.29,71.43,74.43,72.91
04/12/2020,71.25,74.33,74.23,70.59
04/11/2020,73.75,74.95,75.73,73.66
04/10/2020,74.72,81.55,75.15,73.68
04/09/2020,79.1,75.79,83.43,79.06
04/08/2020,74.55,72.72,76.34,74.41
04/07/2020,74.58,72.63,81.31,71.16
04/06/2020,72.57,67.69,74.9,71.6
04/05/2020,67.63,68.36,67.97,66.85
04/04/2020,67.94,67.42,68.78,67.92
04/03/2020,67.08,68.9,68.15,66.79
04/02/2020,69.09,65.48,69.55,67.46
04/01/2020,65.56,63.84,66.57,65.13
03/31/2020,64.44,65.54,65.11,63.53
03/30/2020,65.49,61.83,66.38,65.05
03/29/2020,61.93,64.78,62.08,60.5
03/28/2020,64.77,64.62,65.76,64.47
03/27/2020,63.17,68.58,67.69,62.54
03/26/2020,68.72,68.27,69.17,68.2
03/25/2020,68.13,67.27,68.58,67.6
03/24/2020,67.33,69.18,69.89,67.2
03/23/2020,69.54,63.6,71.02,62.68
03/22/2020,63.74,72.78,64.12,61.52
03/21/2020,72.43,72.84,72.43,70.54
03/20/2020,72.81,64.61,75.21,70.16
03/19/2020,64.8,58.56,67.5,63.8
03/18/2020,58.9,46.27,62.74,51.58
03/17/2020,46.22,45.55,46.3,45.21
03/16/2020,45.58,46.77,46.02,42.43
03/15/2020,46.56,45.7,47.59,46.2
03/14/2020,45.74,50.02,46.98,45.61
03/13/2020,50.09,43.75,51.09,48.58
03/12/2020,42.82,68.44,45.7,32.27
03/11/2020,68.25,74.55,72.58,68.23
03/10/2020,74.55,73.45,75.27,73.98
03/09/2020,73.36,72.96,74.22,72.65
03/08/2020,72.7,85.41,75.33,71.9
03/07/2020,85.49,92.24,88.23,84.46
03/06/2020,92.3,89.33,94.09,92.08
