Date,Close/Last,Open,High,Low
04/20/2020,2.5144,2.6375,2.5411,2.4991
04/19/2020,2.6361,2.7174,2.6598,2.5825
04/18/2020,2.7135,2.649,2.7359,2.6551
04/17/2020,2.6471,2.6464,2.67,2.6114
04/16/2020,2.6482,2.3951,2.6691,2.6098
04/15/2020,2.3996,2.488,2.4115,2.3394
04/14/2020,2.4855,2.4693,2.4977,2.4295
04/13/2020,2.4662,2.3935,2.4744,2.4393
04/12/2020,2.3938,2.4657,2.497,2.3516
04/11/2020,2.4724,2.5233,2.5204,2.4678
04/10/2020,2.5213,2.6609,2.5258,2.4835
04/09/2020,2.6551,2.7061,2.7467,2.6514
04/08/2020,2.7098,2.7325,2.7604,2.6968
04/07/2020,2.7291,2.7345,2.7501,2.5842
04/06/2020,2.7304,2.3698,2.8234,2.6778
04/05/2020,2.3647,2.3465,2.3822,2.3480000000000003
04/04/2020,2.3513,2.3048,2.3752,2.3466
04/03/2020,2.3077,2.3129,2.3404,2.294
04/02/2020,2.3131,2.2709,2.3266,2.2804
04/01/2020,2.2653,2.2119,2.3002,2.2527
03/31/2020,2.2093,2.2173,2.2202,2.1827
03/30/2020,2.2197,2.1394,2.257,2.211
03/29/2020,2.1392,2.193,2.1457,2.1117
03/28/2020,2.194,2.1513,2.2146,2.1795
03/27/2020,2.1562,2.3322,2.2016,2.1276
03/26/2020,2.3335,2.3245,2.356,2.314
03/25/2020,2.3226,2.313,2.3432,2.2953
03/24/2020,2.2914,2.3242,2.3472,2.2802
03/23/2020,2.2976,2.1509,2.3321,2.2789
03/22/2020,2.1931,2.3028,2.2006,2.0785
03/21/2020,2.3259,2.2528,2.3303,2.2535
03/20/2020,2.237,2.2840000000000003,2.2853,2.1695
03/19/2020,2.2705,1.9818,2.322,2.261
03/18/2020,1.9884,1.9898,2.0272,1.9713
03/17/2020,1.9972,1.9679,2.0027,1.9646
03/16/2020,1.976,2.0389,2.0142,1.8737
03/15/2020,2.016,1.9716,2.0533,2.0032
03/14/2020,1.9634,2.0806,1.9982,1.9406
03/13/2020,2.1137,1.6779,2.1265,2.0089
03/12/2020,1.8188,2.9207,2.003,1.3956
03/11/2020,2.9212,3.0869,3.0797,2.8895
03/10/2020,3.1012,3.0552,3.1163,3.065
03/09/2020,3.0736,3.0639,3.095,3.039
03/08/2020,3.0631,3.584,3.1294,3.0143
03/07/2020,3.6008,3.804,3.6424,3.5775
03/06/2020,3.7906,3.7556,3.8388,3.7823
03/05/2020,3.7378,3.6352,3.7809,3.7202
03/04/2020,3.6058,3.6496,3.6713,3.5698
03/03/2020,3.6561,3.6788,3.6713,3.6010000000000004
03/02/2020,3.6801,3.5729,3.7184,3.6453
03/01/2020,3.5712,3.5632,3.5849,3.4954
02/29/2020,3.5684,3.6366,3.6189,3.4969
02/28/2020,3.6362,3.6054,3.6525,3.5125
02/27/2020,3.6136,3.5559,3.6802,3.5924
02/26/2020,3.5380000000000003,3.914,3.5901,3.3996
02/25/2020,3.919,4.066,4.1123,3.8318
02/24/2020,4.0684,4.2217,4.1448,4.0506
02/23/2020,4.2118,4.2515,4.397,4.1616
02/22/2020,4.2468,4.0314,4.2849,4.0863
02/21/2020,4.0258,4.1001,4.1007,4.0093
02/20/2020,4.1051,4.0276,4.1487,3.9561
02/19/2020,4.0415,4.5401,4.075,3.9379
02/18/2020,4.5436,4.4914,4.6022,4.5035
02/17/2020,4.1922,4.6023,4.3972,4.0343
02/16/2020,4.0919,4.8099,4.3972,4.0343
02/15/2020,4.8065,5.2652,4.8655,4.6642
02/14/2020,5.2719,5.3468,5.3917,5.2438
02/13/2020,5.3493,5.3825,5.4421,5.2829
02/12/2020,5.3813,5.3556,5.4979,5.3276
02/11/2020,5.3731,4.8199,5.3796,5.2451
02/10/2020,4.8108,4.877,4.9103,4.7967
02/09/2020,4.8729,4.9267,5.0315,4.8188
02/08/2020,4.9355,4.5658,4.9473,4.7634
02/07/2020,4.57,4.6047,4.6098,4.436
02/06/2020,4.6127,4.5463,4.6960000000000015,4.5712
02/05/2020,4.5335,4.2384,4.569,4.4587
