Date,Close/Last,Open,High,Low
04/20/2020,171.69,183.41,173.5,169.85
04/19/2020,183.88,187.28,184.16,178.9
04/18/2020,187.02,173.34,188.23,184.82
04/17/2020,172.71,170.96,173.95,170.61
04/16/2020,171.42,153.09,173.14,170.19
04/15/2020,153.08,159.8,153.55,148.91
04/14/2020,160.06,157.44,160.13,155.94
04/13/2020,157.98,153.94,158.35,155.52
04/12/2020,152.56,156.91,158.76,150.6
04/11/2020,155.9,159.81,159.36,155.75
04/10/2020,159.77,168.29,160.36,157.75
04/09/2020,163.45,170.21,170.1,163.22
04/08/2020,170.26,168.76,173.18,169.87
04/07/2020,172.2,169.92,172.85,163.73
04/06/2020,170.57,143.6,175.78,167.58
04/05/2020,144.01,144.46,144.55,142.55
04/04/2020,143.9,139.92,145.26,143.44
04/03/2020,140.0,142.26,142.02,139.36
04/02/2020,141.99,136.22,142.7,140.42
04/01/2020,135.73,132.48,137.93,135.26
03/31/2020,132.84,133.0,133.4,131.27
03/30/2020,132.45,127.01,134.0,131.14
03/29/2020,126.85,130.02,127.45,125.02
03/28/2020,130.17,126.5,131.74,129.26
03/27/2020,126.5,139.26,132.3,125.48
03/26/2020,139.27,137.06,140.99,137.95
03/25/2020,136.84,136.25,137.85,135.32
03/24/2020,136.54,134.12,141.1,135.35
03/23/2020,134.7,125.33,136.74,134.39
03/22/2020,125.4,135.91,125.95,120.2
03/21/2020,135.56,134.12,135.76,130.75
03/20/2020,133.26,133.78,137.33,129.92
03/19/2020,133.81,116.03,138.58,132.74
03/18/2020,116.18,116.98,119.21,115.61
03/17/2020,116.84,117.45,117.36,115.24
03/16/2020,117.36,122.51,120.6,109.67
03/15/2020,122.03,121.2,124.38,120.77
03/14/2020,121.21,133.4,123.75,120.93
03/13/2020,133.74,124.09,134.58,129.72
03/12/2020,124.23,183.27,137.06,88.5
03/11/2020,182.97,201.72,195.4,182.95
03/10/2020,201.6,202.36,202.96,200.1
03/09/2020,202.58,201.43,204.6,200.13
03/08/2020,200.89,231.65,206.62,198.25
03/07/2020,231.68,243.09,237.3,229.75
03/06/2020,243.19,229.11,245.85,242.39
03/05/2020,229.17,226.72,230.69,227.71
03/04/2020,224.23,228.6,228.66,221.74
03/03/2020,227.2,229.86,228.66,222.66
03/02/2020,229.92,220.99,232.15,227.76
03/01/2020,221.05,222.55,221.89,216.23
02/29/2020,222.75,231.89,225.34,216.48
02/28/2020,231.91,229.18,232.45,226.79
02/27/2020,230.27,218.2,234.55,227.0
02/26/2020,218.28,240.59,224.52,210.36
02/25/2020,240.6,261.33,250.05,236.8
02/24/2020,261.34,267.69,266.17,261.08
02/23/2020,267.13,266.17,276.81,266.08
02/22/2020,266.02,261.06,267.9,261.24
02/21/2020,260.78,260.83,266.71,260.75
02/20/2020,260.87,260.55,263.69,254.15
02/19/2020,260.24,278.69,264.22,257.67
02/18/2020,278.91,270.99,282.61,277.7
02/17/2020,248.81,265.86,261.25,242.11
02/16/2020,245.2,272.75,261.25,242.11
02/15/2020,271.87,281.25,273.81,258.89
02/14/2020,282.01,266.87,287.93,278.59
02/13/2020,267.16,269.48,269.9,264.84
02/12/2020,269.35,245.01,274.21,265.23
02/11/2020,245.68,218.56,247.11,236.73
02/10/2020,218.39,224.59,223.44,218.22
02/09/2020,224.54,227.72,229.28,222.59
02/08/2020,228.07,220.03,228.84,223.07
02/07/2020,220.39,218.62,224.43,213.75
02/06/2020,219.52,205.94,220.92,213.14
02/05/2020,205.23,190.26,206.51,201.29
02/04/2020,189.95,187.23,190.13,188.26
02/03/2020,187.56,190.78,191.48,187.13
02/02/2020,191.22,181.9,194.92,187.44
02/01/2020,181.94,182.0,183.68,179.49
01/31/2020,182.53,182.34,184.17,179.36
01/30/2020,182.36,174.27,185.67,182.34
01/29/2020,174.28,176.39,174.5,171.2
