Date,Close/Last,Open,High,Low
04/20/2020,54.401,57.25,54.905,54.016000000000005
04/19/2020,57.448,57.381,57.57,56.385
04/18/2020,57.335,56.32,58.095,56.641000000000005
04/17/2020,56.06,56.00899999999999,56.537,55.398999999999994
04/16/2020,56.596000000000004,52.413000000000004,56.881,55.931000000000004
04/15/2020,52.777,54.245,52.843999999999994,51.383
04/14/2020,54.236999999999995,52.847,54.453,53.391000000000005
04/13/2020,53.143,51.647,53.183,52.096000000000004
04/12/2020,51.431999999999995,52.74100000000001,53.276,51.165
04/11/2020,52.608000000000004,53.583,53.513000000000005,52.582
04/10/2020,53.636,57.135,53.708999999999996,52.562
04/09/2020,56.494,56.553999999999995,57.735,56.471000000000004
04/08/2020,56.415,56.511,57.958999999999996,56.306999999999995
04/07/2020,57.51,57.465,57.745,55.408
04/06/2020,57.244,53.673,59.968999999999994,57.18
04/05/2020,53.8,53.376999999999995,53.906000000000006,53.018
04/04/2020,53.285,52.394,53.928999999999995,53.198
04/03/2020,52.263999999999996,50.761,53.051,51.961000000000006
04/02/2020,50.736000000000004,47.869,50.894,50.05
04/01/2020,47.799,46.842,48.394,47.658
03/31/2020,47.028,46.747,47.65,46.5
03/30/2020,46.4,44.573,46.963,46.208
03/29/2020,44.559,46.73,44.757,43.782
03/28/2020,46.312,46.343,47.111999999999995,46.187
03/27/2020,45.272,49.353,47.57899999999999,44.989
03/26/2020,49.308,48.266000000000005,50.98,49.12
03/25/2020,48.148999999999994,45.906000000000006,48.342,46.937
03/24/2020,45.816,44.355,47.081,45.643
03/23/2020,43.997,38.602,45.136,43.867
03/22/2020,39.282,42.21,39.399,37.835
03/21/2020,42.135,40.909,42.317,40.788000000000004
03/20/2020,40.874,40.654,41.809,39.64
03/19/2020,40.759,36.455999999999996,41.696999999999996,40.506
03/18/2020,36.556999999999995,36.481,37.433,36.135
03/17/2020,36.539,36.232,36.621,35.893
03/16/2020,35.984,36.893,36.39,33.625
03/15/2020,36.883,35.949,38.439,36.883
03/14/2020,35.866,37.429,36.849000000000004,35.829
03/13/2020,37.476,34.828,37.929,35.842
03/12/2020,34.241,50.526,37.650999999999996,25.474
03/11/2020,50.458999999999996,54.952,54.433,50.42
03/10/2020,54.915,55.143,55.996,54.588
03/09/2020,55.068999999999996,55.481,55.62,54.872
03/08/2020,55.093,64.243,57.299,55.06
03/07/2020,64.376,68.445,65.554,63.681999999999995
03/06/2020,68.524,67.998,69.17399999999999,68.334
03/05/2020,67.898,67.768,68.753,67.512
03/04/2020,66.493,66.745,67.94800000000001,65.67
03/03/2020,67.34899999999999,68.441,67.575,65.67
03/02/2020,68.461,65.544,68.954,67.387
03/01/2020,65.498,67.1,65.729,64.351
02/29/2020,66.928,68.585,67.72399999999999,65.707
02/28/2020,68.595,70.775,69.029,67.982
02/27/2020,70.982,69.074,71.495,69.934
02/26/2020,69.002,74.34100000000001,70.71300000000001,66.876
02/25/2020,74.439,78.281,78.101,74.35300000000001
02/24/2020,78.191,83.24799999999999,79.64399999999999,77.902
02/23/2020,83.22200000000001,81.432,86.333,82.346
02/22/2020,81.459,81.306,81.848,78.818
02/21/2020,80.762,78.35300000000001,82.896,79.57
02/20/2020,78.51,77.75,79.249,75.88600000000001
02/19/2020,77.78,85.255,78.903,76.96
02/18/2020,85.51,84.774,86.54899999999999,85.162
02/17/2020,82.71799999999999,88.37899999999999,89.074,79.884
02/16/2020,82.54700000000001,91.656,89.074,81.34100000000001
02/15/2020,91.523,93.484,91.958,88.295
02/14/2020,93.641,92.024,95.35,93.148
02/13/2020,92.13,93.994,92.723,91.734
02/12/2020,93.928,92.55799999999999,96.525,93.35700000000001
02/11/2020,92.46799999999999,82.95299999999999,93.24600000000001,90.18299999999999
02/10/2020,82.85799999999999,85.493,84.855,82.837
02/09/2020,85.512,82.125,87.834,85.103
02/08/2020,82.007,78.497,82.01,80.574
02/07/2020,78.258,79.079,79.554,77.025
02/06/2020,79.077,78.134,80.369,78.192
02/05/2020,78.008,75.223,78.426,76.473
02/04/2020,75.155,75.869,75.331,74.564
02/03/2020,75.855,75.613,77.193,75.76899999999999
02/02/2020,75.608,72.316,76.81,74.421
02/01/2020,72.34899999999999,73.164,73.32,71.32
01/31/2020,73.11,71.071,73.351,71.46
01/30/2020,71.264,69.997,75.89399999999999,71.26100000000001
01/29/2020,70.048,67.865,70.189,68.891
01/28/2020,67.8,65.946,68.033,67.533
01/27/2020,66.015,64.421,67.209,65.556
01/26/2020,64.46600000000001,61.645,64.495,63.64
01/25/2020,61.68600000000001,60.099,61.744,61.01
01/24/2020,60.083999999999996,59.415,61.629,60.065
01/23/2020,59.511,63.706,62.643,59.486999999999995
01/22/2020,63.683,65.804,65.13600000000001,63.659
01/21/2020,65.675,65.94,66.385,65.389
01/20/2020,65.876,64.271,66.227,64.775
01/19/2020,64.456,68.392,65.41,64.384
01/18/2020,68.316,66.65100000000001,68.858,66.681
01/17/2020,66.737,65.845,70.19,66.627
01/16/2020,65.825,63.152,65.835,64.164
01/15/2020,63.257,62.912,68.842,62.65
01/14/2020,63.082,60.528999999999996,69.161,61.908
01/13/2020,60.483000000000004,58.34,60.496,57.773
01/12/2020,58.387,58.466,59.222,58.213
01/11/2020,58.494,59.872,59.053000000000004,57.442
01/10/2020,59.871,57.941,61.058,58.026
01/09/2020,57.864,57.773,59.111999999999995,57.82
01/08/2020,57.703,58.258,59.306999999999995,57.305
01/07/2020,58.168,57.278999999999996,60.006,57.926
