Date,Close/Last,Open,High,Low
04/20/2020,7.2247,7.7456,7.3572,7.1884
04/19/2020,7.7464,7.9105,7.7672,7.5565
04/18/2020,7.9069,7.5763,7.9163,7.7778
04/17/2020,7.5865,7.5407,7.6214,7.4665
04/16/2020,7.5654,6.9839,7.6715,7.5089999999999995
04/15/2020,6.9837,7.3393,7.0135,6.8342
04/14/2020,7.3321,7.297000000000001,7.3394,7.1819
04/13/2020,7.34,7.1925,7.3495,7.24
04/12/2020,7.1236,7.2487,7.3763,7.0573
04/11/2020,7.2244,7.4097,7.3563,7.2111
04/10/2020,7.4136,7.9124,7.4562,7.2709
04/09/2020,7.7421,7.9854,8.0385,7.7385
04/08/2020,7.9419,7.7988,8.1037,7.909
04/07/2020,7.9525,7.7589,7.977,7.6542
04/06/2020,7.7549,7.0757,8.008,7.685
04/05/2020,7.0883,7.1705,7.1186,7.0138
04/04/2020,7.1403,6.9335,7.2410000000000005,7.1195
04/03/2020,6.917999999999999,7.0206,7.0637,6.8833
04/02/2020,7.0244,6.8302,7.0489,6.9366
04/01/2020,6.8536,6.7258,6.8906,6.7846
03/31/2020,6.7386,6.6363,6.8107,6.6713
03/30/2020,6.6161,6.2726,6.6803,6.5765
03/29/2020,6.2925,6.5305,6.3051,6.1918
03/28/2020,6.5760000000000005,6.4655,6.6802,6.5074
03/27/2020,6.2965,7.086,6.5475,6.2843
03/26/2020,7.0492,6.8237,7.1538,6.9879999999999995
03/25/2020,6.8514,6.7471,6.9787,6.7986
03/24/2020,6.7362,6.7277,6.9408,6.684
03/23/2020,6.6993,6.0208,6.7688,6.5346
03/22/2020,6.0932,6.2884,6.1195,5.8566
03/21/2020,6.364,6.3372,6.3824,6.129
03/20/2020,6.2094,6.421,6.4452,6.1427
03/19/2020,6.4286,5.6962,6.6057,6.4147
03/18/2020,5.7159,5.6849,5.8135,5.6785
03/17/2020,5.6782,5.7057,5.6977,5.5935
03/16/2020,5.6771,5.8205,5.7352,5.3199
03/15/2020,5.8242,5.7612,5.9951,5.8214
03/14/2020,5.7708,6.2325,5.8545,5.699
03/13/2020,6.2277,5.9954,6.2747,6.0083
03/12/2020,6.0318,8.7791,6.3797,3.9786
03/11/2020,8.7637,9.9213,9.5547,8.7549
03/10/2020,9.8912,9.8024,9.9969,9.8111
03/09/2020,9.805,10.0421,9.962,9.711
03/08/2020,9.9791,11.3305,10.296,9.8318
03/07/2020,11.3456,12.3404,11.6013,11.2624
03/06/2020,12.3531,11.9594,12.411,12.2167
