Date,Close/Last,Open,High,Low
04/20/2020,1.0028,1.0039,1.0033,1.0019
04/19/2020,1.0033,1.0032,1.0049,1.0025
04/18/2020,1.003,1.0042,1.0037,1.002
04/17/2020,1.0043,1.0033,1.0054,1.0025
04/16/2020,1.003,1.0052,1.0036,1.0026
04/15/2020,1.0049,1.0043,1.0063,1.0026
04/14/2020,1.0043,1.0038,1.0056,1.0023
04/13/2020,1.0036,1.003,1.0044,1.0031
04/12/2020,1.0029,1.0039,1.0044,1.0023
04/11/2020,1.0039,1.0029,1.0045,1.0027
04/10/2020,1.0029,1.0026,1.0031,1.0024
04/09/2020,1.0027,1.0025,1.003,1.0018
04/08/2020,1.002,1.002,1.0026,1.0018
04/07/2020,1.002,1.0024,1.0028,1.0012
04/06/2020,1.0021,1.0048,1.0033,1.0014
04/05/2020,1.0046,1.005,1.006,1.0029
04/04/2020,1.0053,1.0046,1.0061,1.0048
04/03/2020,1.0046,1.0038,1.005,1.0041
04/02/2020,1.0035,1.005,1.004,1.0021
04/01/2020,1.0051,1.005,1.0057,1.0042
03/31/2020,1.0053,1.0058,1.0059,1.0036
03/30/2020,1.0054,1.0058,1.0065,1.004
03/29/2020,1.0059,1.0047,1.0063,1.0053
03/28/2020,1.0048,1.0036,1.005,1.0034
03/27/2020,1.0038,1.0055,1.0061,1.0036
03/26/2020,1.0055,1.0046,1.0062,1.0049
03/25/2020,1.0046,1.0042,1.0048,1.0032
03/24/2020,1.0039,1.0057,1.0059,1.0038
03/23/2020,1.0057,1.0038,1.0065,1.0051
03/22/2020,1.0043,1.0045,1.0048,1.0033
03/21/2020,1.0043,1.0033,1.0054,1.0032
03/20/2020,1.0031,1.0032,1.0033,1.0017
03/19/2020,1.0034,1.0066,1.004,1.0032
03/18/2020,1.0067,1.0075,1.0081,1.0061
03/17/2020,1.0075,1.0087,1.0088,1.0069
03/16/2020,1.0218,1.0042,1.0222,1.0059
03/15/2020,1.0043,1.0062,1.0051,1.0023
03/14/2020,1.0054,1.0068,1.021,1.0053
03/13/2020,1.0070000000000001,1.022,1.0097,1.0059
03/12/2020,1.0242,1.0069,1.0667,1.0088
03/11/2020,1.0068,1.0057,1.008,1.0046
03/10/2020,1.0056,1.0048,1.0059,1.0037
03/09/2020,1.0047,1.0064,1.0051,1.0038
03/08/2020,1.0063,1.0061,1.008,1.0062
03/07/2020,1.0062,1.0071,1.0074,1.0047
03/06/2020,1.0068,1.006,1.008,1.0067
03/05/2020,1.0057,1.005,1.0065,1.0052
03/04/2020,1.0036,1.005,1.0059,1.0029
03/03/2020,1.004,1.0048,1.0059,1.0038
03/02/2020,1.0048,1.0058,1.0058,1.0045
03/01/2020,1.0059,1.006,1.0065,1.0053
02/29/2020,1.0057,1.0045,1.0069,1.0055
02/28/2020,1.0045,1.0049,1.0048,1.0037
02/27/2020,1.005,1.0041,1.0055,1.002
02/26/2020,1.004,1.0033,1.0053,1.0027
02/25/2020,1.0033,1.0021,1.0039,1.002
02/24/2020,1.0018,1.0021,1.0024,1.0012
02/23/2020,1.0021,1.0049,1.0042,1.0019
02/22/2020,1.0046,1.0024,1.0057,1.0043
02/21/2020,1.0024,1.0031,1.003,1.0019
02/20/2020,1.003,1.0011,1.0033,1.0017
