Date, Close/Last, Volume, Open, High, Low
04/20/2020, 219.39, N/A, 236.11, 222.49, 218.23
04/19/2020, 236.18, N/A, 244.37, 237.88, 230.37
04/18/2020, 244.51, N/A, 233.82, 244.96, 240.13
04/17/2020, 233.9, N/A, 233.92, 235.67, 231.63
04/16/2020, 234.11, N/A, 212.64, 235.96, 231.54
04/15/2020, 212.17, N/A, 224.16, 214.98, 206.63
04/14/2020, 224.12, N/A, 226.93, 224.55, 220.09
04/13/2020, 227.06, N/A, 225.39, 227.44, 223.23
04/12/2020, 225.18, N/A, 228.52, 233.19, 223.59
04/11/2020, 228.67, N/A, 235.41, 235.23, 227.73
04/10/2020, 234.9, N/A, 245.02, 235.63, 232.19
04/09/2020, 244.31, N/A, 265.33, 258.82, 244.28
04/08/2020, 264.9, N/A, 274.2, 274.03, 264.04
04/07/2020, 274.96, N/A, 256.58, 276.35, 250.44
04/06/2020, 256.44, N/A, 234, 261.95, 252.69
04/05/2020, 233.91, N/A, 237.24, 236.06, 230.77
04/04/2020, 237.34, N/A, 233.69, 239.71, 236.87
04/03/2020, 233.75, N/A, 233.79, 237.41, 232.16
04/02/2020, 234.37, N/A, 224.54, 235.57, 230.94
04/01/2020, 223.79, N/A, 217.9, 227.08, 222.21
03/31/2020, 217.64, N/A, 219.37, 220.53, 215.43
03/30/2020, 219.73, N/A, 209.83, 223.73, 219.12
03/29/2020, 209.8, N/A, 213.15, 210.36, 205.54
03/28/2020, 213.39, N/A, 206.18, 216.93, 212.26
03/27/2020, 206.56, N/A, 231.86, 213.31, 203.34
03/26/2020, 231.92, N/A, 225.69, 232.99, 227.74
03/25/2020, 225.01, N/A, 221.61, 225.44, 220.32
03/24/2020, 222.04, N/A, 220.59, 227.59, 221.17
03/23/2020, 221.92, N/A, 208.57, 225.92, 220.2
03/22/2020, 209.25, N/A, 230.65, 210.42, 199.84
03/21/2020, 227.95, N/A, 223.73, 229.5, 216.79
03/20/2020, 221.64, N/A, 218.53, 228.58, 210.19
03/19/2020, 218.58, N/A, 179.95, 224.7, 217.55
03/18/2020, 179.75, N/A, 185.04, 186.79, 177.84
03/17/2020, 185.02, N/A, 179.69, 185.66, 181.45
03/16/2020, 178.79, N/A, 179.5, 183.78, 170.01
