Date, Close/Last, Volume, Open, High, Low
04/20/2020, 54.401, N/A, 57.25, 54.905, 54.016
04/19/2020, 57.448, N/A, 57.381, 57.57, 56.385
04/18/2020, 57.335, N/A, 56.32, 58.095, 56.641
04/17/2020, 56.06, N/A, 56.009, 56.537, 55.399
04/16/2020, 56.596, N/A, 52.413, 56.881, 55.931
04/15/2020, 52.777, N/A, 54.245, 52.844, 51.383
04/14/2020, 54.237, N/A, 52.847, 54.453, 53.391
04/13/2020, 53.143, N/A, 51.647, 53.183, 52.096
04/12/2020, 51.432, N/A, 52.741, 53.276, 51.165
04/11/2020, 52.608, N/A, 53.583, 53.513, 52.582
04/10/2020, 53.636, N/A, 57.135, 53.709, 52.562
04/09/2020, 56.494, N/A, 56.554, 57.735, 56.471
04/08/2020, 56.415, N/A, 56.511, 57.959, 56.307
04/07/2020, 57.51, N/A, 57.465, 57.745, 55.408
04/06/2020, 57.244, N/A, 53.673, 59.969, 57.18
04/05/2020, 53.8, N/A, 53.377, 53.906, 53.018
04/04/2020, 53.285, N/A, 52.394, 53.929, 53.198
04/03/2020, 52.264, N/A, 50.761, 53.051, 51.961
04/02/2020, 50.736, N/A, 47.869, 50.894, 50.05
04/01/2020, 47.799, N/A, 46.842, 48.394, 47.658
03/31/2020, 47.028, N/A, 46.747, 47.65, 46.5
03/30/2020, 46.4, N/A, 44.573, 46.963, 46.208
03/29/2020, 44.559, N/A, 46.73, 44.757, 43.782
03/28/2020, 46.312, N/A, 46.343, 47.112, 46.187
03/27/2020, 45.272, N/A, 49.353, 47.579, 44.989
03/26/2020, 49.308, N/A, 48.266, 50.98, 49.12
03/25/2020, 48.149, N/A, 45.906, 48.342, 46.937
03/24/2020, 45.816, N/A, 44.355, 47.081, 45.643
03/23/2020, 43.997, N/A, 38.602, 45.136, 43.867
03/22/2020, 39.282, N/A, 42.21, 39.399, 37.835
03/21/2020, 42.135, N/A, 40.909, 42.317, 40.788
03/20/2020, 40.874, N/A, 40.654, 41.809, 39.64
03/19/2020, 40.759, N/A, 36.456, 41.697, 40.506
03/18/2020, 36.557, N/A, 36.481, 37.433, 36.135
03/17/2020, 36.539, N/A, 36.232, 36.621, 35.893
03/16/2020, 35.984, N/A, 36.893, 36.39, 33.625
03/15/2020, 36.883, N/A, 35.949, 38.439, 36.883
03/14/2020, 35.866, N/A, 37.429, 36.849, 35.829
03/13/2020, 37.476, N/A, 34.828, 37.929, 35.842
03/12/2020, 34.241, N/A, 50.526, 37.651, 25.474
03/11/2020, 50.459, N/A, 54.952, 54.433, 50.42
03/10/2020, 54.915, N/A, 55.143, 55.996, 54.588
03/09/2020, 55.069, N/A, 55.481, 55.62, 54.872
03/08/2020, 55.093, N/A, 64.243, 57.299, 55.06
03/07/2020, 64.376, N/A, 68.445, 65.554, 63.682
03/06/2020, 68.524, N/A, 67.998, 69.174, 68.334
03/05/2020, 67.898, N/A, 67.768, 68.753, 67.512
03/04/2020, 66.493, N/A, 66.745, 67.948, 65.67
03/03/2020, 67.349, N/A, 68.441, 67.575, 65.67
03/02/2020, 68.461, N/A, 65.544, 68.954, 67.387
03/01/2020, 65.498, N/A, 67.1, 65.729, 64.351
02/29/2020, 66.928, N/A, 68.585, 67.724, 65.707
02/28/2020, 68.595, N/A, 70.775, 69.029, 67.982
02/27/2020, 70.982, N/A, 69.074, 71.495, 69.934
02/26/2020, 69.002, N/A, 74.341, 70.713, 66.876
02/25/2020, 74.439, N/A, 78.281, 78.101, 74.353
02/24/2020, 78.191, N/A, 83.248, 79.644, 77.902
02/23/2020, 83.222, N/A, 81.432, 86.333, 82.346
02/22/2020, 81.459, N/A, 81.306, 81.848, 78.818
02/21/2020, 80.762, N/A, 78.353, 82.896, 79.57
02/20/2020, 78.51, N/A, 77.75, 79.249, 75.886
02/19/2020, 77.78, N/A, 85.255, 78.903, 76.96
02/18/2020, 85.51, N/A, 84.774, 86.549, 85.162
02/17/2020, 82.718, N/A, 88.379, 89.074, 79.884
02/16/2020, 82.547, N/A, 91.656, 89.074, 81.341
02/15/2020, 91.523, N/A, 93.484, 91.958, 88.295
