Date, Close/Last, Volume, Open, High, Low
04/20/2020, 1.084, N/A, 1.0862, 1.0872, 1.0825
04/19/2020, 1.0859, N/A, 1.0876, 1.0878, 1.0857
04/17/2020, 1.0872, N/A, 1.0835, 1.0892, 1.0813
04/16/2020, 1.0869, N/A, 1.0835, 1.088, 1.0835
04/15/2020, 1.0873, N/A, 1.0907, 1.0913, 1.0873
04/14/2020, 1.0978, N/A, 1.0979, 1.0991, 1.0975
04/13/2020, 1.0948, N/A, 1.0913, 1.0967, 1.0893
04/12/2020, 1.0934, N/A, 1.0935, 1.0947, 1.0925
04/10/2020, 1.0937, N/A, 1.0927, 1.0952, 1.0919
04/09/2020, 1.0941, N/A, 1.0927, 1.0944, 1.0919
04/08/2020, 1.0868, N/A, 1.0856, 1.088, 1.0854
04/07/2020, 1.0861, N/A, 1.0889, 1.0902, 1.086
04/06/2020, 1.0817, N/A, 1.0791, 1.0819, 1.0784
04/05/2020, 1.0818, N/A, 1.0808, 1.0823, 1.0799
04/03/2020, 1.0806, N/A, 1.0856, 1.0863, 1.0773
04/02/2020, 1.0844, N/A, 1.0856, 1.0863, 1.0834
04/01/2020, 1.0937, N/A, 1.0962, 1.0969, 1.0931
03/31/2020, 1.102, N/A, 1.1029, 1.1039, 1.1006
03/30/2020, 1.1029, N/A, 1.1046, 1.1055, 1.0991
03/29/2020, 1.1083, N/A, 1.114, 1.1144, 1.108
03/27/2020, 1.1136, N/A, 1.1028, 1.1147, 1.0955
03/26/2020, 1.1083, N/A, 1.1028, 1.1087, 1.1023
03/25/2020, 1.0915, N/A, 1.088, 1.0934, 1.087
03/24/2020, 1.0808, N/A, 1.0787, 1.0824, 1.0761
03/23/2020, 1.0802, N/A, 1.0721, 1.0823, 1.0722
03/22/2020, 1.0713, N/A, 1.0694, 1.0731, 1.0637
03/20/2020, 1.0702, N/A, 1.069, 1.0832, 1.0638
03/19/2020, 1.0735, N/A, 1.069, 1.075, 1.0653
03/18/2020, 1.0896, N/A, 1.0913, 1.0981, 1.0878
03/17/2020, 1.1005, N/A, 1.0996, 1.1023, 1.0985
03/16/2020, 1.118, N/A, 1.1181, 1.1189, 1.1159
03/15/2020, 1.1126, N/A, 1.1105, 1.12, 1.1077
03/13/2020, 1.1107, N/A, 1.1183, 1.1221, 1.1055
03/12/2020, 1.1217, N/A, 1.1183, 1.1217, 1.1153
03/11/2020, 1.1313, N/A, 1.1267, 1.1333, 1.1251
03/10/2020, 1.1332, N/A, 1.1279, 1.1338, 1.1277
03/09/2020, 1.1395, N/A, 1.1447, 1.1459, 1.1373
03/08/2020, 1.1402, N/A, 1.1285, 1.1493, 1.1336
03/06/2020, 1.1291, N/A, 1.1239, 1.1356, 1.1213
03/05/2020, 1.1233, N/A, 1.1239, 1.1249, 1.1213
03/04/2020, 1.1105, N/A, 1.1171, 1.1186, 1.1096
03/03/2020, 1.116, N/A, 1.1171, 1.1185, 1.1155
03/02/2020, 1.1149, N/A, 1.1132, 1.1156, 1.112
03/01/2020, 1.1057, N/A, 1.1025, 1.1074, 1.1037
02/28/2020, 1.1027, N/A, 1.0998, 1.1053, 1.0951
02/27/2020, 1.0997, N/A, 1.0998, 1.1006, 1.0982
02/26/2020, 1.0909, N/A, 1.0879, 1.0915, 1.0879
02/25/2020, 1.0867, N/A, 1.0879, 1.0884, 1.0863
02/24/2020, 1.0862, N/A, 1.0852, 1.0868, 1.0845
02/23/2020, 1.0821, N/A, 1.0843, 1.0843, 1.0815
02/21/2020, 1.0846, N/A, 1.0783, 1.0863, 1.0783
02/20/2020, 1.0794, N/A, 1.0783, 1.0795, 1.0783
02/19/2020, 1.0797, N/A, 1.0804, 1.0816, 1.0792
02/18/2020, 1.0796, N/A, 1.0791, 1.0804, 1.0791
02/17/2020, 1.0838, N/A, 1.083, 1.0851, 1.0834
02/16/2020, 1.084, N/A, 1.083, 1.0844, 1.0834
02/14/2020, 1.0831, N/A, 1.084, 1.0861, 1.0828
02/13/2020, 1.0833, N/A, 1.084, 1.0843, 1.0828
02/12/2020, 1.0866, N/A, 1.0871, 1.0877, 1.0866
02/11/2020, 1.0913, N/A, 1.0914, 1.0923, 1.0912
02/10/2020, 1.0909, N/A, 1.0909, 1.0917, 1.0908
02/09/2020, 1.0955, N/A, 1.0943, 1.0956, 1.0942
02/07/2020, 1.0946, N/A, 1.098, 1.0985, 1.0942
02/06/2020, 1.0979, N/A, 1.098, 1.0985, 1.0978
02/05/2020, 1.0995, N/A, 1.0997, 1.1001, 1.0995
02/04/2020, 1.1033, N/A, 1.1042, 1.1047, 1.1033
02/03/2020, 1.1061, N/A, 1.1058, 1.1064, 1.1056
02/02/2020, 1.1083, N/A, 1.1093, 1.1095, 1.108
01/31/2020, 1.1094, N/A, 1.103, 1.1096, 1.1017
01/30/2020, 1.1025, N/A, 1.103, 1.1036, 1.1022
01/29/2020, 1.1016, N/A, 1.1009, 1.1018, 1.1007
01/28/2020, 1.1014, N/A, 1.102, 1.1028, 1.1013
01/27/2020, 1.1021, N/A, 1.1016, 1.1025, 1.1015
01/26/2020, 1.1029, N/A, 1.1023, 1.1037, 1.1021
01/24/2020, 1.1024, N/A, 1.1052, 1.1061, 1.102
01/23/2020, 1.105, N/A, 1.1052, 1.1058, 1.105
01/22/2020, 1.1082, N/A, 1.1091, 1.1099, 1.108
01/21/2020, 1.1082, N/A, 1.1082, 1.1087, 1.1077
01/20/2020, 1.1098, N/A, 1.1094, 1.1099, 1.1088
01/19/2020, 1.1096, N/A, 1.1088, 1.1099, 1.1088
01/17/2020, 1.109, N/A, 1.1135, 1.1143, 1.1086
01/16/2020, 1.1132, N/A, 1.1135, 1.1143, 1.1131
01/15/2020, 1.1153, N/A, 1.1149, 1.1159, 1.1148
01/14/2020, 1.1134, N/A, 1.1127, 1.1134, 1.1125
01/13/2020, 1.1137, N/A, 1.1133, 1.1142, 1.1132
01/12/2020, 1.113, N/A, 1.112, 1.1131, 1.1113
01/10/2020, 1.112, N/A, 1.1105, 1.113, 1.1086
01/09/2020, 1.1107, N/A, 1.1105, 1.1111, 1.1102
01/08/2020, 1.1115, N/A, 1.1103, 1.1119, 1.1103
01/07/2020, 1.1147, N/A, 1.1151, 1.1169, 1.1145
01/06/2020, 1.1193, N/A, 1.1193, 1.1198, 1.1188
01/05/2020, 1.1163, N/A, 1.1158, 1.1172, 1.1156
01/03/2020, 1.1158, N/A, 1.117, 1.118, 1.1125
01/02/2020, 1.1171, N/A, 1.117, 1.1179, 1.1169
01/01/2020, 1.1207, N/A, 1.121, 1.1225, 1.1206
12/31/2019, 1.1212, N/A, 1.121, 1.1214, 1.1212
12/30/2019, 1.1204, N/A, 1.1197, 1.1219, 1.1198
12/29/2019, 1.1201, N/A, 1.1175, 1.1211, 1.1171
12/27/2019, 1.1184, N/A, 1.1096, 1.1184, 1.1096
12/26/2019, 1.1121, N/A, 1.1096, 1.1121, 1.1096
12/25/2019, 1.109, N/A, 1.109, 1.1096, 1.1088
12/24/2019, 1.1084, N/A, 1.1087, 1.109, 1.1079
12/23/2019, 1.1088, N/A, 1.1086, 1.1096, 1.107
