Date, Close/Last, Volume, Open, High, Low
04/20/2020, 76.625, N/A, 76.57, 76.811, 76.575
04/19/2020, 76.53, N/A, 76.54, 76.559, 76.455
04/17/2020, 76.55, N/A, 76.79, 76.821, 76.254
04/16/2020, 76.63, N/A, 76.79, 76.821, 76.53
04/15/2020, 76.685, N/A, 76.559, 76.685, 76.55
04/14/2020, 76.017, N/A, 76.01, 76.072, 76.007
04/13/2020, 76.289, N/A, 76.245, 76.352, 76.249
04/12/2020, 76.205, N/A, 75.869, 76.227, 75.879
04/10/2020, 75.879, N/A, 76.295, 76.3, 75.847
04/09/2020, 75.885, N/A, 76.295, 76.3, 75.86
04/08/2020, 76.04, N/A, 75.93, 76.1, 75.945
04/07/2020, 75.85, N/A, 75.62, 75.85, 75.625
04/06/2020, 75.895, N/A, 75.96, 75.985, 75.863
04/05/2020, 76.226, N/A, 76.236, 76.24, 76.185
04/03/2020, 76.24, N/A, 76.395, 76.4, 75.795
04/02/2020, 76.09, N/A, 76.395, 76.4, 75.95
04/01/2020, 76.404, N/A, 75.333, 76.421, 75.32
03/31/2020, 75.32, N/A, 75.333, 75.343, 75.32
03/30/2020, 75.505, N/A, 75.39, 75.535, 75.375
03/29/2020, 75.215, N/A, 75.469, 75.472, 75.125
03/27/2020, 75.472, N/A, 74.885, 75.528, 74.365
03/26/2020, 74.76, N/A, 74.885, 74.889, 74.625
03/25/2020, 75.84, N/A, 76.36, 76.375, 75.82
03/24/2020, 76.379, N/A, 76.32, 76.385, 75.946
03/23/2020, 76.045, N/A, 76.32, 76.335, 76.005
03/22/2020, 76.125, N/A, 75.394, 76.15, 75.37
03/20/2020, 75.399, N/A, 74.782, 75.399, 74.715
03/19/2020, 74.74, N/A, 74.782, 74.89, 74.715
03/18/2020, 74.838, N/A, 74.546, 75.02, 74.55
03/17/2020, 74.062, N/A, 74.062, 74.062, 74.062
03/16/2020, 74.145, N/A, 73.997, 74.185, 74.003
03/15/2020, 74.155, N/A, 73.839, 74.175, 73.84
03/13/2020, 73.84, N/A, 74.572, 74.576, 73.734
03/12/2020, 74.406, N/A, 74.572, 74.576, 74.36
03/11/2020, 74.181, N/A, 73.68, 74.345, 73.682
03/10/2020, 73.852, N/A, 74.147, 74.15, 73.776
03/09/2020, 74.248, N/A, 74.191, 74.248, 74.195
03/08/2020, 73.993, N/A, 74.001, 74.035, 73.931
03/06/2020, 74.004, N/A, 74.004, 74.075, 73.507
03/05/2020, 73.715, N/A, 73.502, 74.075, 73.507
03/04/2020, 73.256, N/A, 73.03, 73.632, 72.903
03/03/2020, 73.387, N/A, 73.03, 73.416, 72.903
03/02/2020, 72.737, N/A, 72.878, 72.882, 72.435
03/01/2020, 72.251, N/A, 72.534, 72.539, 72.041
02/28/2020, 72.539, N/A, 71.65, 72.573, 71.655
02/27/2020, 71.929, N/A, 71.65, 71.957, 71.655
02/26/2020, 71.666, N/A, 71.577, 71.686, 71.58
02/25/2020, 71.754, N/A, 71.81, 71.88, 71.735
02/24/2020, 71.88, N/A, 71.92, 71.935, 71.802
02/23/2020, 71.814, N/A, 71.87, 71.942, 71.811
02/21/2020, 71.885, N/A, 71.67, 72.02, 71.66
02/20/2020, 71.847, N/A, 71.67, 71.858, 71.66
02/19/2020, 71.692, N/A, 71.59, 71.815, 71.6
02/18/2020, 71.585, N/A, 71.32, 71.598, 71.34
02/17/2020, 71.372, N/A, 71.527, 71.528, 71.26
02/16/2020, 71.458, N/A, 71.527, 71.528, 71.39
02/14/2020, 71.529, N/A, 71.32, 71.602, 71.285
02/13/2020, 71.308, N/A, 71.32, 71.34, 71.285
02/12/2020, 71.449, N/A, 71.29, 71.456, 71.306
