Date,Close/Last,Open,High,Low
04/20/2020,5.3169,5.3168,5.3175,5.3169
04/17/2020,5.235,5.2333,5.275,5.2079
04/16/2020,5.2343,5.2367,5.2671,5.2015
04/15/2020,5.2385,5.2367,5.2385,5.2384
04/14/2020,5.1639,5.1994,5.2116,5.1502
04/13/2020,5.1994,5.1063,5.207999999999999,5.1053
04/10/2020,5.1068,5.1068,5.1072,5.1068
04/09/2020,5.1062,5.1233,5.1527,5.0498
04/08/2020,5.1201,5.2214,5.247999999999999,5.1116
04/07/2020,5.2245,5.2863,5.2862,5.1839
04/06/2020,5.2817,5.2863,5.2817,5.2816
04/03/2020,5.3513,5.2533,5.3539,5.2546
04/02/2020,5.2566,5.2533,5.2566,5.2546
04/01/2020,5.2495,5.2493,5.2498,5.2495
03/31/2020,5.2061,5.1936,5.2143,5.169
03/30/2020,5.1943,5.0997,5.1945,5.101
03/27/2020,5.1,5.0212,5.1279,5.0221
03/26/2020,5.0235,5.0212,5.0235,5.0221
03/25/2020,5.035,5.0353,5.0366,5.0348
03/24/2020,5.0995,5.0983,5.0995,5.0972
03/23/2020,5.1432,5.1444,5.1457,5.1432
03/20/2020,5.0637,5.0957,5.0967,4.9830000000000005
03/19/2020,5.096,5.0957,5.0967,5.096
03/18/2020,5.1075,5.1075,5.1075,5.1075
03/17/2020,5.0112,5.0084,5.0118,5.0073
03/16/2020,4.9998,4.8580000000000005,5.0680000000000005,4.8595
03/13/2020,4.8596,4.791,4.881,4.6452
03/12/2020,4.7991,4.8136,5.0280000000000005,4.75
03/11/2020,4.8266,4.6425,4.8274,4.64
03/10/2020,4.6439,4.7231,4.7246,4.6348
03/09/2020,4.7246,4.7246,4.7246,4.7246
03/06/2020,4.6282,4.6073,4.6711,4.6076
03/05/2020,4.6076,4.5847,4.6665,4.5843
03/04/2020,4.5277,4.5144,4.5287,4.5036
03/03/2020,4.5139,4.474,4.5176,4.4535
03/02/2020,4.4739,4.474,4.4744,4.4739
02/28/2020,4.4771,4.4861,4.5141,4.4645
02/27/2020,4.4863,4.4863,4.4863,4.4863
02/26/2020,4.4505,4.4505,4.4505,4.4505
02/25/2020,4.3883,4.3883,4.3883,4.3883
02/24/2020,4.3883,4.3883,4.3883,4.3883
02/21/2020,4.3895,4.3933,4.4064,4.3717
02/20/2020,4.3939,4.3933,4.3939,4.3936
02/19/2020,4.3656,4.3649,4.3656,4.3653
02/18/2020,4.3564,4.3557,4.3564,4.3559
02/17/2020,4.3122,4.2974,4.316,4.2969
02/14/2020,4.2976,4.3498,4.3504,4.2911
02/13/2020,4.3504,4.3498,4.3504,4.3502
02/12/2020,4.3559,4.3548,4.3559,4.3552
02/11/2020,4.3319,4.3316,4.3319,4.3318
02/10/2020,4.3246,4.3248,4.3251,4.3246
02/07/2020,4.3206,4.2822,4.3233,4.2793
02/06/2020,4.2824,4.2822,4.2825,4.2824
02/05/2020,4.2352,4.2353,4.2357,4.2352
02/04/2020,4.2552,4.2545,4.2552,4.2547
02/03/2020,4.248,4.2476,4.248,4.248
01/31/2020,4.2826,4.243,4.2899,4.2432
01/30/2020,4.2438,4.243,4.2438,4.2432
01/29/2020,4.2304,4.2303,4.2306,4.2304
01/28/2020,4.1948,4.1943,4.1948,4.1945
01/27/2020,4.2077,4.2077,4.2077,4.2077
01/24/2020,4.1816,4.1703,4.1913,4.1658
01/23/2020,4.1707,4.1703,4.1707,4.1707
01/22/2020,4.1829,4.1829,4.1829,4.1829
01/21/2020,4.2126,4.1898,4.2158,4.1839
01/20/2020,4.1902,4.1616,4.192,4.162
01/17/2020,4.162,4.1847,4.1932,4.1593
01/16/2020,4.1851,4.1847,4.1851,4.1851
01/15/2020,4.1756,4.1326,4.1869,4.131
01/14/2020,4.133,4.1466,4.1613,4.1227
01/13/2020,4.1474,4.1466,4.1474,4.1468
01/10/2020,4.0961,4.0925,4.1043,4.0617
01/09/2020,4.0936,4.0925,4.0936,4.0927
01/08/2020,4.0645,4.0647,4.0649,4.0645
