Date,Close/Last,Open,High,Low
04/20/2020,1.4161,1.4145,1.4178,1.4111
04/19/2020,1.4076,1.3998,1.4079,1.4017
04/17/2020,1.3999,1.4079,1.4118,1.3998
04/16/2020,1.4037,1.4079,1.4089,1.4003
04/15/2020,1.4115,1.4111,1.4137,1.4101
04/14/2020,1.3897,1.3881,1.3913,1.3874
04/13/2020,1.3867,1.3902,1.3907,1.3862
04/12/2020,1.3952,1.3952,1.4002,1.3925
04/10/2020,1.3957,1.3973,1.4009,1.3946
04/09/2020,1.3974,1.3973,1.4009,1.3963
04/08/2020,1.4021,1.4012,1.4036,1.3999
04/07/2020,1.4046,1.3993,1.4046,1.3986
04/06/2020,1.4102,1.4109,1.4143,1.4081
04/05/2020,1.4181,1.4201,1.4262,1.4176
04/03/2020,1.4192,1.4131,1.4225,1.4093
04/02/2020,1.4159,1.4131,1.4172,1.4115
04/01/2020,1.4171,1.4188,1.4196,1.4145
03/31/2020,1.4102,1.4059,1.4119,1.4061
03/30/2020,1.4175,1.4169,1.4208,1.4152
03/29/2020,1.4057,1.3977,1.4083,1.4018
03/27/2020,1.3991,1.4016,1.4154,1.392
03/26/2020,1.4001,1.4016,1.4072,1.3998
03/25/2020,1.4244,1.419,1.4269,1.4185
03/24/2020,1.4391,1.4459,1.4482,1.4376
03/23/2020,1.4421,1.4496,1.4534,1.4398
03/22/2020,1.4419,1.4362,1.4488,1.4348
03/20/2020,1.4341,1.4509999999999998,1.4538,1.415
03/19/2020,1.4405,1.4509999999999998,1.4538,1.4376
03/18/2020,1.4622,1.4503,1.4668,1.4423
03/17/2020,1.4206,1.4199,1.4248,1.4192
03/16/2020,1.3975,1.4016,1.402,1.3962
03/15/2020,1.3843,1.3803,1.3884,1.3733
03/13/2020,1.3806,1.3926,1.3994,1.3780000000000001
03/12/2020,1.392,1.3926,1.3949,1.391
03/11/2020,1.3787,1.3776,1.3821,1.3765
03/10/2020,1.3697,1.3722,1.3745,1.3693
03/09/2020,1.3634,1.3701,1.3708,1.3627
03/08/2020,1.3638,1.3423,1.3758,1.354
03/06/2020,1.3425,1.3405,1.3439,1.3378
03/05/2020,1.3407,1.3405,1.3414,1.3385
03/04/2020,1.3347,1.3385,1.3388,1.3328
03/03/2020,1.3355,1.3385,1.3388,1.3342
03/02/2020,1.334,1.3322,1.3352,1.3318
03/01/2020,1.3346,1.3396,1.344,1.3334
02/28/2020,1.3397,1.3388,1.3464,1.3376
02/27/2020,1.344,1.3388,1.3447,1.3376
02/26/2020,1.3342,1.3330000000000002,1.3348,1.3325
02/25/2020,1.3279,1.3277,1.3295,1.3272
02/24/2020,1.3287,1.3292,1.3297,1.3278
02/23/2020,1.3265,1.3222,1.3268,1.3245
02/21/2020,1.3224,1.3259,1.3269,1.32
02/20/2020,1.3252,1.3259,1.3267,1.3244
02/19/2020,1.3228,1.3218,1.324,1.3209
02/18/2020,1.3247,1.3256,1.3261,1.3242
02/17/2020,1.3234,1.3252,1.3252,1.3224
02/16/2020,1.3237,1.3252,1.3252,1.3236
02/14/2020,1.3251,1.3267,1.327,1.3233
02/13/2020,1.3258,1.3267,1.327,1.3253
