Date,Close/Last,Open,High,Low
04/20/2020,0.9706,0.9677,0.9714,0.9675
04/19/2020,0.9686,0.9671,0.9688,0.9667
04/17/2020,0.9670000000000001,0.9703,0.9725,0.9658
04/16/2020,0.9685,0.9703,0.9709,0.9675
04/15/2020,0.9677,0.9644,0.9679,0.9645
04/14/2020,0.9611,0.96,0.9616,0.9596
04/13/2020,0.9643,0.9672,0.9683,0.9640000000000001
04/12/2020,0.9655,0.9661,0.9669,0.9652
04/10/2020,0.966,0.9657,0.968,0.9640000000000001
04/09/2020,0.9655,0.9657,0.968,0.9653
04/08/2020,0.9715,0.9717,0.973,0.9705
04/07/2020,0.9726,0.9692,0.9727,0.9688
04/06/2020,0.9766,0.9786,0.9794,0.9764
04/05/2020,0.9772,0.9777,0.9785,0.9761
04/03/2020,0.9774,0.9736,0.9796,0.9727
04/02/2020,0.9735,0.9736,0.9754,0.9727
04/01/2020,0.9682,0.9654,0.9688,0.965
03/31/2020,0.9615,0.9608,0.9631,0.9602
03/30/2020,0.9597,0.9583,0.9623,0.9579
03/29/2020,0.9540000000000001,0.9512,0.9545,0.9502
03/27/2020,0.9515,0.963,0.9656,0.9505
03/26/2020,0.9596,0.963,0.9645,0.9587
03/25/2020,0.9735,0.9767,0.9778,0.973
03/24/2020,0.9798,0.9815,0.9837,0.9790000000000001
03/23/2020,0.9795,0.9845,0.9851,0.9784
03/22/2020,0.9837,0.9865,0.9901,0.9819
03/20/2020,0.986,0.9858,0.9902,0.9744
03/19/2020,0.9807,0.9858,0.9891,0.98
03/18/2020,0.9707,0.9678,0.9736,0.9638
03/17/2020,0.9597,0.9609,0.9619,0.9591
03/16/2020,0.9486,0.9469,0.95,0.9457
03/15/2020,0.9503,0.9496,0.9536,0.9443
03/13/2020,0.9498,0.9437,0.9570000000000001,0.9422
03/12/2020,0.9432,0.9437,0.9479,0.9431
03/11/2020,0.9332,0.9387,0.9407,0.9321
03/10/2020,0.9355,0.9397,0.9405,0.9353
03/09/2020,0.9318,0.925,0.9327,0.9245
03/08/2020,0.9265,0.9372,0.934,0.9192
03/06/2020,0.9374,0.9453,0.9468,0.9318
03/05/2020,0.9443,0.9453,0.9468,0.9437
03/04/2020,0.9570000000000001,0.956,0.9597,0.9533
03/03/2020,0.9569,0.956,0.9573,0.9549
03/02/2020,0.9578,0.9591,0.9598,0.9573
03/01/2020,0.9638,0.9653,0.9656,0.9619
02/28/2020,0.9656,0.9676,0.9696,0.961
02/27/2020,0.968,0.9676,0.9696,0.9675
02/26/2020,0.9737,0.9767,0.9771,0.9736
02/25/2020,0.9773,0.976,0.9778,0.9752
02/24/2020,0.9788,0.9787,0.9806,0.9781
02/23/2020,0.9805,0.978,0.9809,0.9783
02/21/2020,0.9783,0.9839,0.9846,0.9771
02/20/2020,0.9833,0.9839,0.9846,0.9831
02/19/2020,0.9840000000000001,0.9837,0.9843,0.9823
02/18/2020,0.9834,0.9831,0.9837,0.9825
02/17/2020,0.9823,0.982,0.9828,0.9812
02/16/2020,0.9821,0.982,0.9828,0.9814
