Date,Close/Last,Open,High,Low
04/20/2020,3.75,3.76,4.05,3.7
04/17/2020,4.21,4.15,4.26,4.1
04/16/2020,4.36,4.4,4.41,4.15
04/15/2020,4.43,4.43,4.47,4.3
04/14/2020,4.66,4.755,4.8,4.53
04/13/2020,4.93,4.965,5.07,4.85
04/09/2020,4.98,5.4,5.78,4.8
04/08/2020,5.37,5.08,5.4,4.94
04/07/2020,5.09,5.46,5.53,4.89
04/06/2020,5.48,5.62,5.707000000000001,5.37
04/03/2020,5.9,5.7,6.02,5.44
04/02/2020,5.11,4.58,5.67,4.5
04/01/2020,4.38,4.24,4.38,4.13
03/31/2020,4.21,4.37,4.37,4.16
03/30/2020,4.23,4.21,4.28,4.03
03/27/2020,4.47,4.515,4.53,4.33
03/26/2020,4.83,4.9,4.96,4.64
03/25/2020,5.08,4.89,5.16,4.75
03/24/2020,4.98,5.06,5.07,4.79
03/23/2020,4.88,4.77,4.9,4.525
03/20/2020,4.94,5.275,5.37,4.68
03/19/2020,5.37,4.79,5.67,4.6
03/18/2020,4.71,5.06,5.18,4.29
03/17/2020,5.71,6.04,6.15,5.63
03/16/2020,6.05,6.09,6.38,5.82
03/13/2020,6.96,6.89,7.13,6.54
03/12/2020,6.54,6.44,6.8,6.43
03/11/2020,6.94,7.02,7.09,6.8386
03/10/2020,7.24,7.09,7.33,6.855
03/09/2020,6.52,6.82,7.3,6.5
03/06/2020,8.73,9.26,9.27,8.6
03/05/2020,9.61,9.81,9.85,9.55
03/04/2020,9.86,10.105,10.13,9.76
03/03/2020,9.89,10.0,10.175,9.7233
03/02/2020,9.92,9.67,9.92,9.54
02/28/2020,9.45,9.42,9.5,9.17
02/27/2020,9.78,9.72,9.99,9.6
02/26/2020,10.19,10.38,10.55,10.105
02/25/2020,10.4,10.76,10.775,10.4
02/24/2020,10.74,10.63,10.805,10.55
02/21/2020,11.16,11.08,11.205,10.99
02/20/2020,11.28,11.31,11.425,11.245
02/19/2020,11.18,11.13,11.23,11.02
02/18/2020,10.95,10.76,10.95,10.75
02/14/2020,10.95,10.96,10.99,10.84
02/13/2020,10.84,10.82,10.9,10.75
02/12/2020,10.81,10.82,10.86,10.71
02/11/2020,10.5,10.63,10.64,10.45
02/10/2020,10.42,10.48,10.56,10.38
02/07/2020,10.58,10.6,10.72,10.535
02/06/2020,10.74,10.64,10.77,10.55
02/05/2020,10.7,10.75,10.89,10.59
02/04/2020,10.44,10.68,10.7,10.4
02/03/2020,10.49,10.745,10.8352,10.48
01/31/2020,10.84,10.88,10.98,10.7
