Date,Close/Last,Open,High,Low
04/21/2020,3159.54,3219.47,3228.63,3148.94
04/20/2020,3265.43,3265.88,3310.11,3264.12
04/17/2020,3301.3,3303.7,3304.06,3250.84
04/16/2020,3230.5,3200.58,3239.22,3172.14
04/15/2020,3175.36,3162.45,3196.43,3149.43
04/14/2020,3215.69,3165.96,3220.6,3162.03
04/13/2020,3105.69,3100.39,3110.49,3048.03
04/09/2020,3111.34,3105.1,3137.14,3080.11
04/08/2020,3075.94,3025.23,3086.98,3002.05
04/07/2020,3001.37,3092.2,3103.28,2996.36
04/06/2020,2999.08,2914.41,3008.95,2901.95
04/03/2020,2809.62,2843.21,2860.59,2779.56
04/02/2020,2845.02,2777.55,2859.09,2777.55
04/01/2020,2798.51,2827.1,2865.04,2772.61
03/31/2020,2919.71,2921.46,2966.7,2902.52
03/30/2020,2943.65,2884.18,2950.04,2862.72
03/27/2020,2860.8,2871.29,2938.13,2852.73
03/26/2020,2965.04,2840.28,2971.18,2840.17
03/25/2020,2822.4,2805.36,2928.03,2774.71
03/24/2020,2798.71,2709.81,2799.3,2709.42
03/23/2020,2579.34,2602.13,2649.36,2524.41
03/20/2020,2601.98,2735.17,2790.93,2597.49
03/19/2020,2706.08,2670.98,2768.18,2601.36
03/18/2020,2680.27,2666.41,2758.36,2544.19
03/17/2020,2846.89,2762.48,2885.06,2672.97
03/16/2020,2703.14,2874.54,2897.73,2695.43
03/13/2020,3038.55,2984.65,3039.31,2811.66
03/12/2020,2838.26,2900.03,3013.98,2835.65
03/11/2020,3118.17,3172.57,3202.71,3079.03
03/10/2020,3256.62,3213.78,3257.02,3093.8
03/09/2020,3121.11,3122.85,3217.55,3108.25
03/06/2020,3334.19,3259.35,3345.91,3259.17
03/05/2020,3374.85,3377.17,3436.96,3348.32
03/04/2020,3472.49,3382.9,3472.92,3368.9
03/03/2020,3335.08,3404.4,3473.21,3303.73
03/02/2020,3416.2,3290.46,3416.27,3260.36
02/28/2020,3277.87,3214.11,3282.29,3196.31
02/27/2020,3312.65,3385.88,3442.43,3311.1
02/26/2020,3444.39,3478.89,3514.94,3436.49
02/25/2020,3454.13,3583.56,3587.69,3449.85
02/24/2020,3561.06,3579.3,3593.24,3537.02
02/21/2020,3670.35,3685.66,3690.59,3655.88
02/20/2020,3699.88,3703.46,3719.77,3660.99
02/19/2020,3718.88,3705.69,3725.82,3704.65
02/18/2020,3689.3,3676.32,3692.76,3670.55
02/14/2020,3673.2,3669.62,3674.89,3661.15
02/13/2020,3660.42,3644.08,3672.69,3638.48
02/12/2020,3660.39,3637.79,3660.76,3635.58
02/11/2020,3619.85,3613.12,3628.61,3609.19
02/10/2020,3595.78,3577.18,3595.78,3576.64
02/07/2020,3579.29,3588.42,3592.72,3573.48
02/06/2020,3609.32,3604.01,3616.65,3595.03
02/05/2020,3596.33,3610.15,3612.64,3579.1
02/04/2020,3589.4,3557.79,3605.82,3550.59
02/03/2020,3501.89,3483.04,3515.51,3482.48
01/31/2020,3449.82,3490.48,3497.56,3439.45
01/30/2020,3504.72,3457.41,3505.94,3456.85
01/29/2020,3484.63,3504.8,3505.03,3480.2
01/28/2020,3500.92,3483.17,3511.41,3476.63
01/27/2020,3463.86,3437.62,3479.18,3435.58
01/24/2020,3508.52,3559.59,3560.54,3491.43
01/23/2020,3556.1,3541.87,3558.4,3524.3
01/22/2020,3552.63,3560.72,3577.6,3549.36
01/21/2020,3545.0,3546.61,3553.12,3535.01
01/17/2020,3568.06,3571.45,3572.8,3559.48
01/16/2020,3563.72,3551.65,3563.86,3546.59
01/15/2020,3539.02,3536.98,3554.37,3532.1
01/14/2020,3537.56,3525.73,3545.3,3520.17
01/13/2020,3530.36,3512.56,3533.1,3505.95
01/10/2020,3503.45,3519.87,3520.69,3498.31
01/09/2020,3509.3,3505.09,3515.25,3499.36
01/08/2020,3487.21,3467.67,3503.48,3465.69
01/07/2020,3467.94,3463.68,3471.68,3454.45
01/06/2020,3467.89,3437.62,3468.11,3435.43
01/03/2020,3457.05,3434.94,3464.36,3434.59
01/02/2020,3481.54,3476.15,3483.32,3460.06
12/31/2019,3454.78,3441.4,3456.25,3438.87
12/30/2019,3447.16,3469.39,3469.79,3441.21
12/27/2019,3468.54,3479.36,3479.51,3460.06
12/26/2019,3472.14,3474.65,3476.96,3465.21
12/24/2019,3470.96,3465.51,3470.96,3463.11
12/23/2019,3463.47,3477.78,3478.18,3461.74
12/20/2019,3468.01,3448.68,3469.09,3448.67
12/19/2019,3447.28,3430.42,3449.38,3430.42
12/18/2019,3427.68,3427.0,3432.18,3421.88
12/17/2019,3419.44,3423.81,3425.01,3415.63
12/16/2019,3421.7,3416.66,3428.06,3415.43
12/13/2019,3394.88,3394.68,3415.91,3383.95
12/12/2019,3398.84,3367.0,3404.68,3363.06
12/11/2019,3364.82,3363.29,3372.01,3357.17
12/10/2019,3358.48,3359.15,3369.81,3349.5
12/09/2019,3360.31,3378.75,3381.35,3359.79
12/06/2019,3377.68,3378.0,3388.3,3376.51
12/05/2019,3346.01,3353.51,3353.51,3331.8
12/04/2019,3345.58,3341.05,3352.79,3339.64
12/03/2019,3330.99,3320.66,3331.98,3306.43
12/02/2019,3347.65,3373.87,3373.87,3337.13
11/29/2019,3374.19,3382.35,3385.89,3371.84
11/27/2019,3387.42,3375.3,3388.92,3373.6
11/26/2019,3365.35,3357.73,3366.68,3352.5
11/25/2019,3364.43,3345.44,3365.22,3344.6
11/22/2019,3327.05,3325.79,3329.09,3301.93
11/21/2019,3316.13,3317.23,3319.73,3303.13
11/20/2019,3315.91,3324.05,3335.89,3298.63
11/19/2019,3334.94,3329.36,3341.77,3318.07
11/18/2019,3318.62,3316.2,3319.66,3310.82
11/15/2019,3320.29,3316.4,3320.69,3310.06
11/14/2019,3303.52,3298.44,3304.95,3285.29
11/13/2019,3300.78,3294.5,3307.95,3289.68
11/12/2019,3306.3,3309.77,3318.76,3299.32
11/11/2019,3308.73,3298.42,3308.73,3297.89
11/08/2019,3313.28,3299.46,3313.44,3292.9
11/07/2019,3300.58,3321.28,3324.71,3295.28
11/06/2019,3312.74,3318.39,3318.39,3302.09
11/05/2019,3317.08,3322.1,3336.63,3314.52
11/04/2019,3320.54,3331.56,3333.26,3317.13
