Date, Close/Last, Volume, Open, High, Low
04/21/2020, 4856.8, 0, 5004.56, 5015.74, 4834.64
04/20/2020, 5076.43, 0, 5084.48, 5163.6, 5075.12
04/17/2020, 5156.76, 0, 5179.81, 5181.43, 5095.13
04/16/2020, 5086.88, 0, 5057.26, 5101.79, 4998.42
04/15/2020, 4992.71, 0, 4990.65, 5027.39, 4940.91
04/14/2020, 5095.82, 0, 5001.91, 5101.82, 4997.67
04/13/2020, 4892.85, 0, 4840.43, 4897.41, 4807.26
04/09/2020, 4872.04, 0, 4953.86, 4993.33, 4836.12
04/08/2020, 4905.42, 0, 4817.59, 4920.74, 4767.18
04/07/2020, 4757.95, 0, 4929.57, 4929.74, 4752.23
04/06/2020, 4783.16, 0, 4578.61, 4800.69, 4548.84
04/03/2020, 4378.9, 0, 4447.49, 4484.88, 4337.4
04/02/2020, 4459.01, 0, 4336.92, 4482.24, 4336.92
04/01/2020, 4378.75, 0, 4434.91, 4539.87, 4341.62
03/31/2020, 4606.71, 0, 4667.55, 4741.03, 4579.06
03/30/2020, 4687.48, 0, 4556.37, 4696.5, 4534.72
03/27/2020, 4502.7, 0, 4562.49, 4641.59, 4495.42
03/26/2020, 4726.88, 0, 4500, 4733.67, 4500
03/25/2020, 4441.51, 0, 4479.19, 4639.44, 4370.55
03/24/2020, 4478.83, 0, 4332.85, 4479.13, 4314.41
03/23/2020, 4091.46, 0, 4057.34, 4170.28, 3946.87
03/20/2020, 4030.77, 0, 4261.57, 4342.41, 4025.76
03/19/2020, 4178.29, 0, 4063.65, 4274.91, 3969.4
03/18/2020, 4072.6, 0, 4057.98, 4246.61, 3905.49
03/17/2020, 4373.62, 0, 4139.58, 4389.62, 3980.07
03/16/2020, 4043.34, 0, 4322.44, 4397.2, 4033.03
03/13/2020, 4660.58, 0, 4504.49, 4661.12, 4241.63
03/12/2020, 4229.47, 0, 4348.96, 4557.06, 4226.32
03/11/2020, 4694.43, 0, 4786.96, 4837.29, 4633.68
03/10/2020, 4928.09, 0, 4853.29, 4929.05, 4675.53
03/09/2020, 4690.86, 0, 4689.54, 4900.2, 4684.41
03/06/2020, 5086.42, 0, 5031.31, 5122.84, 4958.08
03/05/2020, 5197.42, 0, 5209.36, 5314.81, 5158.54
03/04/2020, 5367.52, 0, 5227.14, 5367.71, 5180.32
03/03/2020, 5138.99, 0, 5308.14, 5382.94, 5093.88
03/02/2020, 5314.01, 0, 5189.26, 5315.59, 5082.2
02/28/2020, 5135.31, 0, 4903.32, 5146.43, 4903.32
02/27/2020, 5077.97, 0, 5149.61, 5272.98, 5075.33
02/26/2020, 5325.34, 0, 5364.17, 5448.71, 5296.6
02/25/2020, 5320.84, 0, 5545.37, 5552.15, 5299.81
02/24/2020, 5481.01, 0, 5466.68, 5554.14, 5458.1
02/21/2020, 5723.17, 0, 5834.77, 5844.11, 5696.01
02/20/2020, 5872.84, 0, 5929.75, 5944.99, 5791.03
02/19/2020, 5954.62, 0, 5919.94, 5968.6, 5919.9
02/18/2020, 5867.2, 0, 5840.07, 5874.64, 5835.88
02/14/2020, 5907.67, 0, 5937.44, 5942.53, 5878.9
02/13/2020, 5909.47, 0, 5855.64, 5935.31, 5855.33
02/12/2020, 5915.5, 0, 5893.75, 5917.4, 5882.78
02/11/2020, 5847.53, 0, 5841.13, 5882.3, 5826.46
02/10/2020, 5798.66, 0, 5690.25, 5798.99, 5690.03
02/07/2020, 5721.41, 0, 5764.82, 5765.26, 5717.31
02/06/2020, 5803.72, 0, 5783.49, 5807.27, 5749.53
02/05/2020, 5761.13, 0, 5812.33, 5821.29, 5723.97
02/04/2020, 5712.62, 0, 5675.34, 5715.39, 5651.25
02/03/2020, 5564.53, 0, 5498.69, 5574.82, 5498.11
01/31/2020, 5473.45, 0, 5561.49, 5590.46, 5455.21
01/30/2020, 5621.13, 0, 5567.16, 5623.28, 5535.16
01/29/2020, 5617.78, 0, 5680.36, 5681.08, 5617.42
01/28/2020, 5673.06, 0, 5626.25, 5687.63, 5605.14
01/27/2020, 5580.69, 0, 5571.25, 5616.72, 5565.29
01/24/2020, 5742.86, 0, 5846.38, 5853.47, 5709.91
01/23/2020, 5799.71, 0, 5761.56, 5800.71, 5734.21
01/22/2020, 5752.17, 0, 5770.92, 5802.26, 5744.85
01/21/2020, 5733.2, 0, 5709.7, 5751.3, 5709.7
01/17/2020, 5736.06, 0, 5740.79, 5742.36, 5703.28
01/16/2020, 5723.8, 0, 5683.73, 5724.17, 5679.94
01/15/2020, 5643.19, 0, 5666.39, 5677.37, 5625.63
01/14/2020, 5669.49, 0, 5678.1, 5707.37, 5652.98
01/13/2020, 5681.61, 0, 5650.16, 5682.03, 5640.32
01/10/2020, 5622.4, 0, 5665.48, 5666.14, 5611.44
01/09/2020, 5640.1, 0, 5647.86, 5657.2, 5598.88
01/08/2020, 5595.44, 0, 5560.81, 5622.37, 5551.47
01/07/2020, 5558.13, 0, 5532.54, 5573.66, 5511.18
01/06/2020, 5500.13, 0, 5446.62, 5501.52, 5441.01
01/03/2020, 5512.15, 0, 5484.94, 5541.02, 5481.96
01/02/2020, 5577.23, 0, 5515.02, 5577.55, 5513.32
12/31/2019, 5457.73, 0, 5421.14, 5459.26, 5418.43
12/30/2019, 5441.67, 0, 5474.24, 5474.24, 5407.28
12/27/2019, 5480.09, 0, 5510.97, 5511.48, 5466.25
12/26/2019, 5492.35, 0, 5483.12, 5497.59, 5475.48
12/24/2019, 5471.91, 0, 5475.09, 5476.22, 5456.08
12/23/2019, 5468.66, 0, 5478.17, 5488.26, 5463.03
12/20/2019, 5460.6, 0, 5433.34, 5469.27, 5433
12/19/2019, 5422.66, 0, 5398, 5423.2, 5388.61
12/18/2019, 5380.34, 0, 5375.94, 5395.3, 5368.32
12/17/2019, 5368.6, 0, 5386.77, 5388.7, 5355.61
12/16/2019, 5363.47, 0, 5359.74, 5394.28, 5359.25
12/13/2019, 5303.91, 0, 5299.63, 5352.81, 5286.89
12/12/2019, 5303.86, 0, 5207.8, 5311.05, 5203.66
12/11/2019, 5216.72, 0, 5165.84, 5219.43, 5164.98
12/10/2019, 5149.71, 0, 5155.92, 5182.71, 5141.17
12/09/2019, 5140.84, 0, 5162.33, 5182.87, 5139.89
12/06/2019, 5166.49, 0, 5154.63, 5175.05, 5149.52
12/05/2019, 5104.43, 0, 5111.43, 5125.47, 5089.99
12/04/2019, 5095.08, 0, 5092.3, 5111.69, 5084.36
12/03/2019, 5050.18, 0, 5010.05, 5052.16, 4990.02
12/02/2019, 5103.87, 0, 5190.34, 5190.53, 5092.87
11/29/2019, 5187.08, 0, 5198.2, 5209.07, 5185.18
11/27/2019, 5222.52, 0, 5195.57, 5223.14, 5191.68
11/26/2019, 5178.33, 0, 5176.02, 5185.29, 5158.77
11/25/2019, 5177.95, 0, 5124.13, 5179.16, 5124.13
11/22/2019, 5093.32, 0, 5103.7, 5114.65, 5067.92
11/21/2019, 5083.02, 0, 5096.57, 5119.19, 5065.26
11/20/2019, 5121.56, 0, 5137.39, 5164.37, 5085.15
11/19/2019, 5159.81, 0, 5186.38, 5186.47, 5134.84
11/18/2019, 5162.08, 0, 5152.98, 5175.65, 5133.34
11/15/2019, 5167.26, 0, 5160.63, 5175.81, 5150
11/14/2019, 5118.21, 0, 5105.69, 5122.9, 5088.13
11/13/2019, 5129.42, 0, 5092.85, 5139.66, 5092.32
11/12/2019, 5127.48, 0, 5124.57, 5154.54, 5108.91
11/11/2019, 5107.73, 0, 5087.96, 5117.3, 5076.37
11/08/2019, 5125.79, 0, 5079.92, 5125.8, 5064.05
11/07/2019, 5104.02, 0, 5115.96, 5141.62, 5082.67
11/06/2019, 5058.86, 0, 5072.23, 5072.23, 5028.32
11/05/2019, 5087.67, 0, 5105.43, 5106.74, 5070.29
11/04/2019, 5086.83, 0, 5074.05, 5092.47, 5064.2
11/01/2019, 5017.88, 0, 4970.83, 5018.3, 4960.74
10/31/2019, 4932.7, 0, 4960.72, 4961.99, 4898.26
10/30/2019, 4979.18, 0, 4979.81, 4983.51, 4935.83
10/29/2019, 4958.13, 0, 4993.98, 5002.67, 4956.96
10/28/2019, 4985.4, 0, 4960.35, 4991.71, 4959.66
10/25/2019, 4923.94, 0, 4883.37, 4931.84, 4882.03
10/24/2019, 4878.45, 0, 4835.01, 4880.27, 4830.98
10/23/2019, 4780.9, 0, 4764.37, 4801.39, 4753.52
10/22/2019, 4816.72, 0, 4889.89, 4894.62, 4815.15
10/21/2019, 4873.15, 0, 4850.21, 4875.67, 4832.89
10/18/2019, 4808.76, 0, 4851.88, 4863.49, 4775.2
10/17/2019, 4864.06, 0, 4898.25, 4906, 4841.57
10/16/2019, 4859.83, 0, 4875.63, 4891.08, 4848.82
10/15/2019, 4923.56, 0, 4862.96, 4936.89, 4862.02
10/14/2019, 4844.24, 0, 4835.49, 4853.02, 4825.67
10/11/2019, 4842, 0, 4831.75, 4888.44, 4826.66
10/10/2019, 4749.27, 0, 4708.95, 4778.9, 4708.39
10/09/2019, 4712.53, 0, 4701.48, 4735.08, 4688.74
10/08/2019, 4642.53, 0, 4715, 4719.54, 4642.19
10/07/2019, 4764.9, 0, 4774.02, 4804.59, 4763.99
10/04/2019, 4786.63, 0, 4737.42, 4789.63, 4731.57
10/03/2019, 4711.69, 0, 4648.34, 4714.44, 4592.78
10/02/2019, 4646.22, 0, 4672.11, 4682, 4617.14
10/01/2019, 4719.83, 0, 4800.04, 4827.67, 4707.91
09/30/2019, 4771.68, 0, 4747.6, 4786.06, 4735.2
09/27/2019, 4731.77, 0, 4821.2, 4825.48, 4694.39
