Date,Close/Last,Open,High,Low
<<<<<<< HEAD
04/21/2020,8263.23,8460.69,8480.29,8215.69
04/20/2020,8560.73,8553.37,8684.91,8553.37
04/17/2020,8650.14,8667.48,8670.3,8531.69
04/16/2020,8532.36,8479.11,8560.16,8393.27
04/15/2020,8393.18,8355.96,8464.66,8308.79
04/14/2020,8515.74,8353.21,8531.11,8338.09
04/13/2020,8192.42,8127.69,8200.44,8035.95
04/09/2020,8153.58,8169.01,8227.91,8072.32
04/08/2020,8090.9,7975.72,8114.43,7901.94
04/07/2020,7887.26,8129.99,8146.43,7881.22
04/06/2020,7913.24,7660.17,7938.33,7617.79
04/03/2020,7373.08,7477.27,7518.72,7288.11
04/02/2020,7487.31,7317.45,7501.7,7307.95
04/01/2020,7360.58,7459.5,7566.37,7301.98
03/31/2020,7700.1,7740.06,7880.31,7642.86
03/30/2020,7774.15,7583.46,7784.35,7539.97
03/27/2020,7502.38,7554.25,7716.24,7491.13
03/26/2020,7797.54,7462.21,7809.82,7462.21
03/25/2020,7384.3,7421.36,7671.21,7276.4
03/24/2020,7417.86,7196.15,7418.37,7169.86
03/23/2020,6860.67,6847.28,6984.94,6631.42
03/20/2020,6879.52,7248.07,7354.44,6854.67
03/19/2020,7150.58,6996.45,7341.38,6858.38
03/18/2020,6989.84,6902.32,7182.83,6686.36
03/17/2020,7334.78,7072.0,7406.23,6828.91
03/16/2020,6904.59,7392.73,7422.2,6882.86
03/13/2020,7874.88,7610.39,7875.93,7219.09
03/12/2020,7201.8,7398.58,7712.33,7194.67
03/11/2020,7952.05,8136.25,8181.36,7850.95
03/10/2020,8344.25,8219.76,8347.4,7930.43
03/09/2020,7950.68,7957.93,8243.31,7943.16
03/06/2020,8575.62,8469.02,8612.36,8375.13
03/05/2020,8738.6,8790.09,8921.08,8677.39
03/04/2020,9018.09,8834.1,9019.96,8757.66
03/03/2020,8684.09,8965.1,9070.32,8602.89
03/02/2020,8952.16,8667.14,8952.81,8543.35
02/28/2020,8567.37,8269.74,8591.82,8264.16
02/27/2020,8566.48,8744.03,8904.11,8562.05
02/26/2020,8980.77,9011.55,9148.32,8927.8
02/25/2020,8965.61,9301.2,9315.26,8940.49
02/24/2020,9221.28,9188.44,9322.88,9166.01
02/21/2020,9576.59,9708.01,9715.95,9542.33
02/20/2020,9750.96,9799.2,9820.86,9636.94
02/19/2020,9817.18,9782.81,9838.37,9777.1
02/18/2020,9732.74,9679.04,9747.68,9675.8
02/14/2020,9731.18,9728.9,9746.36,9693.05
02/13/2020,9711.97,9657.04,9748.32,9650.02
02/12/2020,9725.96,9688.6,9728.77,9666.68
02/11/2020,9638.94,9680.89,9714.74,9617.21
02/10/2020,9628.39,9493.63,9628.66,9493.63
02/07/2020,9520.51,9526.64,9570.09,9496.53
02/06/2020,9572.15,9540.98,9575.66,9505.68
02/05/2020,9508.68,9574.1,9574.94,9454.93
02/04/2020,9467.97,9398.39,9485.38,9374.05
02/03/2020,9273.4,9190.72,9299.85,9188.55
01/31/2020,9150.94,9284.93,9324.8,9123.22
