Date,Close/Last,Open,High,Low
<<<<<<< HEAD
04/21/2020,10706.44,10763.67,10861.79,10667.29
04/20/2020,11003.88,11016.88,11181.81,10985.06
04/17/2020,11208.29,11101.32,11231.27,11030.42
04/16/2020,10818.03,10882.83,10891.68,10718.13
04/15/2020,10843.92,10861.97,10903.06,10760.96
04/14/2020,11172.2,11151.16,11241.23,11064.63
04/13/2020,10949.53,11136.61,11136.61,10817.15
04/09/2020,11136.61,11070.32,11272.48,11019.82
04/08/2020,10902.59,10641.51,10939.97,10538.65
04/07/2020,10537.04,10894.2,10912.56,10534.74
04/06/2020,10515.24,10264.13,10560.73,10233.04
04/03/2020,9880.63,10012.47,10075.91,9774.24
04/02/2020,10062.37,9815.27,10142.01,9813.51
04/01/2020,9844.85,9917.31,10029.0,9766.8
03/31/2020,10301.87,10387.73,10499.8,10237.22
03/30/2020,10434.74,10238.13,10455.77,10131.6
03/27/2020,10187.21,10135.73,10449.22,10064.5
03/26/2020,10536.28,10060.48,10556.9,10060.48
03/25/2020,9961.38,9749.8,10303.9,9591.74
03/24/2020,9658.32,9276.64,9672.01,9276.64
03/23/2020,8777.38,9014.58,9053.49,8664.94
03/20/2020,9133.16,9577.9,9676.94,9108.15
03/19/2020,9461.31,9313.76,9622.21,9048.36
03/18/2020,9384.6,9562.49,9666.57,8953.6
03/17/2020,10063.36,9726.18,10154.16,9484.65
03/16/2020,9567.53,10851.98,10851.98,9559.23
03/13/2020,10851.98,10445.44,10851.98,10060.35
03/12/2020,10060.76,10466.7,10646.92,10054.47
03/11/2020,11177.29,11523.94,11523.94,11053.79
03/10/2020,11793.27,11635.22,11794.01,11246.52
03/09/2020,11298.43,11748.61,11748.61,11240.77
03/06/2020,12352.03,12593.03,12593.03,12106.74
03/05/2020,12593.03,12740.86,12786.64,12489.77
03/04/2020,13009.96,12696.61,13011.45,12673.9
03/03/2020,12542.74,12845.06,13015.66,12432.52
03/02/2020,12827.99,12441.43,12830.05,12316.18
02/28/2020,12380.97,12547.25,12547.25,12024.45
02/27/2020,12547.25,12841.4,12977.18,12544.99
02/26/2020,13046.62,13194.31,13323.34,13041.94
02/25/2020,13143.73,13570.21,13582.74,13110.09
02/24/2020,13534.12,13654.0,13654.0,13493.68
02/21/2020,13975.78,14014.63,14014.63,13931.13
02/20/2020,14061.48,14061.04,14104.92,13955.75
02/19/2020,14087.13,14077.51,14115.95,14066.24
02/18/2020,14039.01,14047.91,14072.69,13990.7
02/14/2020,14097.34,14104.77,14110.19,14046.6
02/13/2020,14099.04,14069.25,14132.88,14049.13
02/12/2020,14136.98,14117.83,14148.24,14108.52
02/11/2020,14054.08,13984.48,14100.27,13984.48
02/10/2020,13984.48,13904.02,13984.55,13899.53
02/07/2020,13931.93,13987.51,13987.51,13912.04
02/06/2020,14034.95,14066.9,14069.33,14023.48
02/05/2020,14024.86,13964.0,14029.91,13947.59
02/04/2020,13862.84,13826.1,13920.63,13826.1
02/03/2020,13677.92,13655.89,13765.33,13655.89
01/31/2020,13614.1,13783.81,13788.22,13573.04
01/30/2020,13861.92,13745.2,13869.64,13699.81
01/29/2020,13843.81,13912.79,13922.44,13843.79
01/28/2020,13877.6,13812.65,13913.59,13798.34
01/27/2020,13769.6,13746.63,13826.43,13742.01
01/24/2020,13978.47,14120.02,14120.02,13920.57
01/23/2020,14102.04,14064.28,14109.59,14003.28
01/22/2020,14110.24,14147.89,14168.2,14104.06
01/21/2020,14109.98,14126.12,14153.02,14102.39
01/17/2020,14183.2,14168.14,14183.26,14156.4
01/16/2020,14141.78,14103.53,14142.31,14094.88
01/15/2020,14053.23,14022.3,14089.94,14021.18
01/14/2020,14037.13,14024.23,14068.58,14005.63
01/13/2020,14042.65,13980.47,14042.65,13963.87
01/10/2020,13957.97,14018.12,14021.65,13941.52
01/09/2020,13997.65,13974.07,14004.42,13960.17
01/08/2020,13934.44,13897.01,13986.69,13896.59
01/07/2020,13898.45,13911.19,13923.51,13880.53
01/06/2020,13941.8,13856.72,13943.3,13852.73
01/03/2020,13917.05,13877.48,13950.74,13870.74
01/02/2020,14002.49,13913.03,14003.39,13913.03
12/31/2019,13913.03,13852.6,13915.74,13843.98
12/30/2019,13876.15,13951.26,13952.78,13864.57
12/27/2019,13944.14,13976.85,13978.61,13928.15
12/26/2019,13940.42,13911.16,13941.56,13895.2
12/24/2019,13895.14,13902.96,13902.96,13885.56
12/23/2019,13899.99,13906.87,13908.16,13888.59
12/20/2019,13889.25,13831.67,13914.28,13831.67
12/19/2019,13831.67,13801.73,13838.99,13798.78
12/18/2019,13799.21,13805.2,13819.7,13790.24
12/17/2019,13795.35,13795.15,13813.31,13787.72
12/16/2019,13795.15,13781.65,13825.76,13781.65
12/13/2019,13697.34,13711.25,13773.13,13655.45
12/12/2019,13697.41,13587.7,13725.35,13581.08
12/11/2019,13579.92,13554.09,13590.74,13547.68
12/10/2019,13545.31,13551.0,13574.22,13521.24
12/09/2019,13555.07,13570.54,13600.14,13555.07
12/06/2019,13588.29,13515.48,13612.06,13515.48
12/05/2019,13482.3,13466.73,13491.21,13429.3
12/04/2019,13457.97,13408.08,13484.41,13408.08
12/03/2019,13366.09,13363.66,13373.88,13280.04
12/02/2019,13448.26,13554.29,13554.29,13443.1
11/29/2019,13545.21,13595.86,13607.67,13537.67
11/27/2019,13607.62,13577.52,13611.49,13563.34
11/26/2019,13559.71,13532.56,13564.63,13513.11
11/25/2019,13532.89,13471.52,13534.59,13471.52
11/22/2019,13440.95,13412.27,13451.42,13404.54
11/21/2019,13406.42,13420.33,13430.71,13366.99
11/20/2019,13419.3,13460.34,13460.34,13360.66
11/19/2019,13466.35,13489.78,13508.88,13448.27
11/18/2019,13483.81,13488.48,13498.08,13464.01
11/15/2019,13492.96,13432.76,13492.96,13426.98
11/14/2019,13392.0,13385.05,13397.04,13346.76
11/13/2019,13385.05,13387.62,13400.8,13325.52
11/12/2019,13387.62,13391.97,13438.76,13366.88
11/11/2019,13388.12,13347.3,13395.65,13333.91
11/08/2019,13407.8,13376.34,13407.81,13343.02
11/07/2019,13395.55,13376.93,13436.97,13376.93
11/06/2019,13351.57,13339.84,13364.94,13319.79
11/05/2019,13339.59,13368.24,13385.03,13323.06
11/04/2019,13355.44,13321.18,13387.49,13321.18
11/01/2019,13300.27,13231.18,13300.35,13231.18
10/31/2019,13171.81,13239.43,13239.43,13116.58
10/30/2019,13244.01,13215.87,13248.65,13152.96
10/29/2019,13209.63,13170.9,13239.2,13156.75
10/28/2019,13186.43,13183.9,13223.19,13183.9
