Symbol,Correlation,Capacity
DNJR,nan,36503003.25
ALGRU,nan,0.0
GPAQU,nan,0.0
TZACU,nan,0.0
VIIX,0.9017145156457906,66621642.36
YVR,0.8879992499257372,17395904.1
TVIX,0.8832987712380568,1269359627.0
ZM,0.8539614302568179,41568450768.0
KR,0.8295028290599941,24838086036.0
CLX,0.8262917282737288,24072915643.0
DSLV,0.8242396724187542,22798647.2
IFMK,0.8144876251570831,24790237.95
CNTG,0.8094380861708339,317781440.0
TDOC,0.804967116327423,13442179182.0
REGN,0.7989400446866937,62490151314.0
LOACU,0.7987696463329339,0.0
AREC,0.7926918890834409,26836695.83
SMMT,0.7885094675105129,89703978.16
WVE,0.7743080295164171,281513469.5
VHC,0.7646025818120208,405194378.2
KFS,0.7630435402090785,41403329.3
EVBG,0.7420561685901009,4282914906.0
LMNX,0.730514348945867,1506623106.0
GILD,0.7239609258685942,102308000000.0
AHPI,0.717068773265642,56390194.85
VIRT,0.7129329808937852,4573794481.0
BJ,0.7093320666876828,3615621894.0
NMRD,0.7003738856991849,105333938.4
COG,0.6986172556239928,8537487424.0
SRRK,0.6927634023334766,516277573.7
ICLK,0.6893986112746829,166780346.9
ZTO,0.6689954576303709,22324600097.0
AIH,0.6669998522589377,22700000.0
VIR,0.6590690253893812,3403908655.0
AZRE,0.6543814391759941,726450189.5
QDEL,0.6521630057626387,4583384504.0
CCOI,0.6435022937551949,4238486417.0
NTGN,0.6413848839548852,71751305.44
QGEN,0.6383317181311802,9270178659.0
LM,0.6375539441951491,4368951879.0
WTRH,0.6325657034244974,86219992.29
CODX,0.6197584526216094,400056260.6
TBIO,0.6186528495171892,597893361.8
OPGN,0.6147610367156258,33915974.8
ALT,0.6143001486811249,49618161.8
TOCA,0.6078566646413475,28690724.4
BNTX,0.6056303301149576,456139985.0
EQT,0.604588075437548,3974864240.0
HTBX,0.6017134934574359,47455767.75
RAD,0.5911166327313668,763623752.7
IBIO,0.5839120552732686,92831657.05
AAME,0.5728065789467387,37873499.7
MEDS,0.5721406237982344,49640163.5
COE,0.5605823855307489,609637677.7
HIHO,0.5592309053362283,7717804.22
PLAG,0.5555984372332319,34511841.1
MRNA,0.5506676346904927,17006179026.0
RGCO,0.5499721207399106,206380066.6
AIM,0.5472395268795434,66302584.8
VXRT,0.543926080978455,167639762.5
AYTU,0.5398810846405737,108994035.3
LAKE,0.5367702073717622,129950494.9
GCAP,0.5287501503922556,222409133.1
INO,0.510837480320095,1320531655.0
BMRA,0.5037521025689373,91458987.1
DRAD,0.5001877930327662,6787681.29
AMRK,0.4994192781693848,96541808.5
SGLB,0.494454111048581,6149678.4
TEDU,0.4924646210085029,131891920.5
GSX,0.49238617792693906,8522033448.0
VTIQU,0.49156812686989776,0.0
APT,0.4915357317993276,180731210.9
DRADP,0.4901089034597027,0.0
DXR,0.48724165900001376,56235467.66
PAVMW,0.48300699743337394,0.0
MUDSU,0.46565299911784813,0.0
LFACU,0.4614881247981454,0.0
TCO,0.4603534254902274,2492401496.0
VNET,0.45364692935615525,1152372354.0
GHSI,0.44831493666537303,38607974.79
STMP,0.4470819696599219,2444164637.0
NVAX,0.44241166306514057,1226386416.0
APRN,0.4421210564087347,154960662.4
MOHO,0.4211236835423462,22720500.0
OPES,0.40752583806827886,83528595.68
IOTS,0.39967469002559886,362089938.8
VAPO,0.39515602537101635,373677285.4
RCUS,0.3938049345886799,1382903605.0
