Industry,avg_cor1,avg_cor2,count
Electronics Distribution,-0.08296539809852285,0.6682536817685651,1.0
Food Chains,-0.2180915703110184,0.21694440918666894,10.0
Medical/Nursing Services,-0.4956596090303799,0.5795529509766467,19.0
Other Pharmaceuticals,-0.5039574473486942,0.6838909500623762,7.0
General Bldg Contractors - Nonresidential Bldgs,-0.5322699084290893,-0.3062139236971938,1.0
Miscellaneous manufacturing industries,-0.5690102140745998,0.4519785277017909,9.0
Food Distributors,-0.569604200484474,0.46030067293856947,14.0
Biotechnology: Biological Products (No Diagnostic Substances),-0.5789275155278392,0.5676735291914704,127.0
Ordnance And Accessories,-0.6069211676057159,0.7408610858569147,6.0
Investment Bankers/Brokers/Service,-0.6089396742803479,0.4468235113968105,59.0
Catalog/Specialty Distribution,-0.618664832862263,0.5334601515660807,24.0
Other Consumer Services,-0.6206337035803973,0.3376320281221352,70.0
Packaged Foods,-0.6234633514564007,0.7490121322465467,38.0
Medical/Dental Instruments,-0.6239998372252923,0.6457735828071038,109.0
Medical Specialities,-0.6261650986783065,0.5485659232591302,42.0
Department/Specialty Retail Stores,-0.6398393666423937,0.4621557102766217,18.0
Biotechnology: Electromedical & Electrotherapeutic Apparatus,-0.6435760741869786,0.4807607213846946,28.0
Major Pharmaceuticals,-0.6647739004374156,0.5815459054098806,470.0
Engineering & Construction,-0.6674630132999416,0.2609600869786887,12.0
Trucking Freight/Courier Services,-0.6797111797399207,0.5258511862717136,20.0
Construction/Ag Equipment/Trucks,-0.6806615753031686,0.35223703125480565,14.0
Consumer Electronics/Video Chains,-0.6858248230810754,0.624644293605052,6.0
Multi-Sector Companies,-0.690774850526102,0.47738143120553345,13.0
Biotechnology: Commercial Physical & Biological Resarch,-0.693119295617607,0.6736255146392501,19.0
Specialty Insurers,-0.7003841980959116,0.3206046362873507,19.0
"Computer Software: Programming, Data Processing",-0.7038834768606774,0.4982256309063064,50.0
Environmental Services,-0.7066397615187849,0.5264320105819882,14.0
Life Insurance,-0.7111702935415153,0.4945366476856062,35.0
Water Supply,-0.7146102012264811,0.5020621812911865,21.0
Package Goods/Cosmetics,-0.7148104590849428,0.6500657589161466,15.0
Industrial Specialties,-0.7158128024350441,0.48547283599136587,46.0
Biotechnology: In Vitro & In Vivo Diagnostic Substances,-0.7213837974728271,0.6813812310271394,23.0
Specialty Chemicals,-0.7235976826932419,0.48204594157788483,25.0
Precious Metals,-0.7241761697188782,0.7324200413957943,83.0
Computer Software: Prepackaged Software,-0.7329612038262421,0.6583764926638993,154.0
Tobacco,-0.7379682506223656,0.6027837990620959,2.0
Farming/Seeds/Milling,-0.7422370500351493,0.2981423555657038,28.0
Finance/Investors Services,-0.7445893010384929,0.37677604680411425,4.0
Building Materials,-0.747219039197342,0.4956253058321895,12.0
EDP Services,-0.7485699245057729,0.5600411966662971,123.0
Investment Managers,-0.7515851057585504,0.5525413772257239,47.0
Semiconductors,-0.7521398155908888,0.689251969126698,93.0
Transportation Services,-0.7523179991184796,0.29112559989045034,18.0
Telecommunications Equipment,-0.7574929899897342,0.5406275545230503,111.0
Real Estate,-0.7609238995112217,0.4381843172194038,61.0
Power Generation,-0.7611096842571574,0.7191337113875282,29.0
Professional Services,-0.7658309362259487,0.5434925029401246,41.0
Other Specialty Stores,-0.7744141677848388,0.5234081061777113,35.0
Newspapers/Magazines,-0.7747205605808433,-0.025356279523265378,10.0
Diversified Electronic Products,-0.7785488354373189,0.7389557065297775,1.0
Advertising,-0.7841525700272611,0.35889094608309363,20.0
Precision Instruments,-0.7859832824438324,0.728803665986426,1.0
