Date,Close/Last,Open,High,Low,DailyIncreasingRate,DailyFlucRange,DailyFlucRate,OpenLastCloseRate
2020-04-21,317.5,324.7,325.6,314.0,-3.3779671332927586,11.600000000000023,3.6535433070866214,-1.186853317102871
2020-04-20,328.6,337.2,342.5,328.6,-3.8337723148961,13.899999999999977,4.230066950699932,-1.3169446883230904
2020-04-17,341.7,337.9,344.7,329.9,2.736019242333132,14.800000000000011,4.331284752707056,1.593505712567635
2020-04-16,332.6,322.1,338.8,317.5,2.654320987654324,21.30000000000001,6.404088995790742,-0.5864197530864128
2020-04-15,324.0,332.6,334.4,317.5,-2.114803625377648,16.899999999999977,5.216049382716043,0.4833836858006111
2020-04-14,331.0,335.5,344.4,330.0,-0.8091099790230705,14.399999999999977,4.350453172205431,0.5394066526820532
2020-04-13,333.7,326.1,334.7,322.0,3.601366035392717,12.699999999999989,3.805813605034459,1.2418503570319774
2020-04-09,322.1,312.6,322.1,295.2,5.9191055573824425,26.900000000000034,8.351443651040059,2.795133179875041
2020-04-08,304.1,309.5,313.8,300.7,-1.0735198438516447,13.100000000000023,4.307793488983894,0.6831489915419723
2020-04-07,307.4,294.1,309.0,294.1,9.007092198581557,14.899999999999977,4.847104749512029,4.29078014184398
2020-04-06,282.0,282.0,282.0,282.0,6.818181818181812,0.0,0.0,6.8181818181818175
2020-04-03,264.0,260.6,265.6,255.5,-0.03786444528588451,10.100000000000023,3.8257575757575846,-1.3252555850056795
2020-04-02,264.1,260.4,277.0,258.2,1.6551193225558203,18.80000000000001,7.118515713744797,0.23094688221707693
2020-04-01,259.8,271.1,271.2,251.5,-6.714542190305206,19.69999999999999,7.5827559661277855,-2.6570915619389504
2020-03-31,278.5,293.0,293.0,278.5,-6.070826306914001,14.5,5.206463195691203,-1.1804384485666104
2020-03-30,296.5,305.5,307.1,296.0,-4.754256344362351,11.100000000000023,3.743676222596972,-1.8631545133311955
2020-03-27,311.3,312.4,317.7,308.0,-2.9613466334164618,9.699999999999989,3.115965306778024,-2.6184538653366687
2020-03-26,320.8,316.3,322.2,311.3,2.9525032092426073,10.899999999999977,3.3977556109725615,1.5083440308087255
2020-03-25,311.6,319.6,320.0,307.9,-3.0793157076205224,12.100000000000023,3.883183568677799,-0.5909797822705996
2020-03-24,321.5,328.9,329.4,317.0,0.40599625234229997,12.399999999999977,3.8569206842923727,2.7170518425983725
2020-03-23,320.2,321.4,326.8,310.9,-0.6515668631709604,15.900000000000034,4.965646470955663,-0.27924294135899286
2020-03-20,322.3,325.9,335.4,319.0,0.7817385866166315,16.399999999999977,5.088426931430337,1.9074421513445798
2020-03-19,319.8,306.4,321.4,306.4,5.405405405405417,15.0,4.690431519699812,0.988793671720501
2020-03-18,303.4,305.4,309.9,292.9,-2.1290322580645227,17.0,5.603164139749506,-1.4838709677419428
2020-03-17,310.0,318.5,318.5,305.3,-4.61538461538461,13.199999999999989,4.2580645161290285,-2.0
2020-03-16,325.0,325.0,325.0,325.0,-5.247813411078717,0.0,0.0,-5.247813411078718
2020-03-13,343.0,331.0,344.2,317.1,3.6253776435045237,27.099999999999966,7.900874635568503,0.0
2020-03-12,331.0,331.0,331.0,331.0,-5.157593123209169,0.0,0.0,-5.157593123209169
2020-03-11,349.0,355.0,360.7,349.0,-4.3311403508771935,11.699999999999989,3.3524355300859563,-2.686403508771933
2020-03-10,364.8,369.1,370.9,352.1,2.270815811606397,18.799999999999955,5.153508771929812,3.4763106251752265
2020-03-09,356.7,369.8,369.8,356.7,-7.036747458952308,13.100000000000023,3.672553966918986,-3.6226218399791446
2020-03-06,383.7,396.7,397.4,383.7,-4.480955937266618,13.699999999999989,3.570497784727649,-1.2447099825740602
2020-03-05,401.7,403.4,410.8,401.2,-2.215189873417722,9.600000000000023,2.3898431665422013,-1.8013631937682653
2020-03-04,410.8,408.3,412.5,399.5,1.1075559931085444,13.0,3.1645569620253164,0.49224710804824023
2020-03-03,406.3,425.1,428.2,405.0,-1.119493794110482,23.19999999999999,5.710066453359584,3.4558286687758693
2020-03-02,410.9,407.9,426.0,405.7,0.0,20.30000000000001,4.940374787052814,-0.7301046483329278
2020-02-28,410.9,410.5,418.1,410.0,-3.9953271028037474,8.100000000000023,1.9712825504989107,-4.0887850467289715
2020-02-27,428.0,434.9,437.3,427.0,-3.8202247191011285,10.300000000000011,2.406542056074769,-2.2696629213483197
2020-02-26,445.0,446.7,446.9,443.4,-1.5050907481186426,3.5,0.7865168539325843,-1.1288180610889824
2020-02-25,451.8,455.5,459.5,450.0,-1.6757344940152352,9.5,2.102700309871625,-0.8705114254624592
2020-02-24,459.5,461.9,466.7,457.7,-0.130406433384056,9.0,1.958650707290533,0.39121930015213097
2020-02-21,460.1,462.0,464.5,459.2,-0.6263498920086374,5.300000000000011,1.151923494892417,-0.21598272138228944
2020-02-20,463.0,465.0,468.3,460.7,0.5865739734955522,7.600000000000023,1.6414686825054043,1.0210732131218747
